"Root","Gốc"
"Delete","Xóa bỏ"
"Save","Lưu lại"
"Use Config Settings","Sử dụng cấu hình cài đặt"
"Use All Available Attributes","Sử dụng tất cả các thuộc tính có sẵn"
"ID","ID"
"Name","Tên"
"SKU","MÃ SẢN PHẨM"
"Visibility","Hiển thị"
"Status","Trạng thái"
"Price","Giá"
"Position","Vị trí"
"Add Subcategory","Thêm nhóm nhỏ"
"Add Root Category","Thêm danh mục gốc"
"Day","Ngày"
"Month","Tháng"
"Year","Năm"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[Toàn hệ thống]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[Chế độ xem cửa hàng]"
"WYSIWYG Editor","WYSIWYG Editor"
"Add Product","Thêm sản phẩm"
"label","nhãn"
"Product Attributes","Thuộc tính sản phẩm"
"Add New Attribute","Thêm thuộc tính"
"Cancel","Hủy bỏ"
"Save Attribute","Lưu thuộc tính"
"Save in New Attribute Set","Lưu trong thiết lập thuộc tính mới"
"Enter Name for New Attribute Set","Nhập tên cho thiết lập thuộc tính mới"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Delete Attribute","Xóa thuộc tính"
"Edit Product Attribute ""%1""","Chỉnh sửa thuộc tính sản phẩm ""%1"""
"New Product Attribute","Thuộc tính Sản phẩm mới"
"Advanced Attribute Properties","Thuộc tính nâng cao"
"Attribute Code","Mã thuộc tính"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Điều này sử dụng nội bộ. Hãy chắc chắn bạn không sử dụng dấu cách hoặc nhiều biểu tượng hơn %1."
"Default Value","Giá trị mặc định"
"Unique Value","Giá trị duy nhất"
"Unique Value (not shared with other products)","Giá trị duy nhất (không được chia sẻ với các sản phẩm khác)"
"Not shared with other products.","Không được chia sẻ với các sản phẩm khác."
"Input Validation for Store Owner","Xác nhận đầu vào cho các chủ cửa hàng"
"Add to Column Options","Thêm tùy chọn cột"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Chọn ""Có"" để thêm thuộc tính này vào danh sách các cột tùy chọn trong mạng lưới sản phẩm."
"Use in Filter Options","Sử dụng trong các tùy chọn bộ lọc"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Chọn ""Có"" để thêm thuộc tính này vào danh sách tùy chọn lọc trong mạng lưới sản phẩm."
"Store View","Xem cửa hàng"
"Website","Trang web"
"Global","Toàn cầu"
"Scope","Phạm vi"
"Declare attribute value saving scope.","Khai báo giá trị thuộc tính phạm vi lưu."
"Storefront Properties","Thuộc tính Storefront"
"Use in Search","Sử dụng trong tìm kiếm"
"Visible in Advanced Search","Được nhìn thấy trong tìm kiếm nâng cao"
"Comparable on Storefront","So sánh trên Storefront"
"Use for Promo Rule Conditions","Sử dụng cho điều kiện của quy định quảng cáo"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","Cho phép các thẻ HTML trên Storefront"
"Visible on Catalog Pages on Storefront","Có thể nhìn thấy trên các trang danh mục trên Storefront"
"Used in Product Listing","Được sử dụng trong danh sách sản phẩm"
"Depends on design theme.","Phụ thuộc vào chủ đề thiết kế."
"Used for Sorting in Product Listing","Được sử dụng để phân loại trong danh sách sản phẩm"
"Media Image","Phương tiện truyền thông hình ảnh"
"Gallery","Bộ sưu tập"
"System Properties","Thuộc tính hệ thống"
"No","Không"
"Yes","Có"
"Data Type for Saving in Database","Kiểu dữ liệu để lưu trong cơ sở dữ liệu"
"Text","Nội dung"
"Varchar","Varchar"
"Static","Tĩnh"
"Datetime","Ngày"
"Decimal","Thập phân"
"Integer","Số nguyên"
