"Root","اصلی"
"Delete","حذف"
"Save","ذخيره"
"Use Config Settings","استفاده از تنظیمات پیکربندی"
"Use All Available Attributes","استفاده از تمام ویژگی‌ های موجود"
"ID","شناسه"
"Name","نام"
"SKU","کد محصول"
"Visibility","قابل مشاهده بودن"
"Status","وضعيت"
"Price","قيمت"
"Position","موقعيت"
"Add Subcategory","افزودن زیر دسته"
"Add Root Category","افزودن دسته بندی اصلی"
"Day","روز"
"Month","ماه"
"Year","سال"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[سراسری]"
"[WEBSITE]","[وب‌سایت]"
"[STORE VIEW]","[مشاهده فروشگاه]"
"WYSIWYG Editor","ویرایشگر WYSIWYG"
"Add Product","افزودن محصول"
"label","برچسب"
"Product Attributes","ویژگی‌ های محصول"
"Add New Attribute","افزودن ویژگی جدید"
"Cancel","لغو"
"Save Attribute","ذخیره‌ی ویژگی"
"Save in New Attribute Set","ذخیره در مجموعه ویژگی جدید"
"Enter Name for New Attribute Set","نام مجموعه ویژگی جدید را وارد کنید"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Delete Attribute","حذف ویژگی"
"Edit Product Attribute ""%1""","ویرایش ویژگی محصول ""%1"""
"New Product Attribute","ویژگی محصول جدید"
"Advanced Attribute Properties","خواص ویژگی پیشرفته"
"Attribute Code","کد ویژگی"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","این در داخل استفاده می شود. اطمینان حاصل کنید که از فضاهای یا بیش از %1 نشانه استفاده نکنید."
"Default Value","مقدار پیش فرض"
"Unique Value","مقدار یکتا"
"Unique Value (not shared with other products)","مقدار یکتا (با محصولات دیگر مشترک نیست)"
"Not shared with other products.","با محصولات دیگر مشترک نیست."
"Input Validation for Store Owner","ارزیابی ورودی برای مالک فروشگاه"
"Add to Column Options","گزینه های افزودن به ستون"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","""بله"" را برای اضافه کردن این ویژگی به لیست گزینه های ستون در جدول محصول انتخاب کنید."
"Use in Filter Options","استفاده از گزینه های فیلتر"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","""بله"" را برای اضافه کردن این ویژگی به لیست گزینه های فیلتر در شبکه محصول انتخاب کنید."
"Store View","نمای فروشگاه"
"Website","وب سایت"
"Global","سراسری"
"Scope","محدوده"
"Declare attribute value saving scope.","اعلام محدوده ذخیره‌ مقدار ویژگی."
"Storefront Properties","ویژگی های فروشگاه"
"Use in Search","استفاده در جستجو"
"Visible in Advanced Search","قابل مشاهده در جستجوی پیشرفته"
"Comparable on Storefront","قابل مقایسه در نمای فروشگاه"
"Use for Promo Rule Conditions","استفاده برای شرایط تبلیغی"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","برچسب های HTML در نمای فروشگاه مجاز است"
"Visible on Catalog Pages on Storefront","قابل مشاهده در صفحات کاتالوگ در نمای فروشگاه"
"Used in Product Listing","استفاده شده در لیست محصولات"
"Depends on design theme.","وابسته به تم طراحی."
