"Root","Početak"
"Delete","Obrisati"
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"Save","Sačuvaj"
"Use Config Settings","Koristi konfiguraciona podešavanja"
"Use All Available Attributes","Koristi sve raspoložive atribute"
"ID","ID"
"Name","Ime"
"SKU","Šifra"
"Visibility","Vidljivost"
"Status","Status"
"Price","Cena"
"Position","Pozicija"
"Add Subcategory","Dodati podkategoriju"
"Add Root Category","Dodavanje kategorije koren"
"Day","Dan"
"Month","Mesec"
"Year","Godina"
"from","from"
"to","to"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[PRIKAZ PRODAVNICE]"
"WYSIWYG Editor","Editor Šta vidiš to dobiješ"
"Add Product","Dodaj Proizvod"
"label","oznaka"
"Product Attributes","Atributi proizvoda"
"Add New Attribute","Dodavanje novih atributa"
"Cancel","Odustani"
"Save Attribute","Sačuvati atribut"
"Save in New Attribute Set","Sačuvati u novi komplet atributa"
"Enter Name for New Attribute Set","Unesite ime za novi komplet atributa"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Delete Attribute","Izbrisati atribut"
"Edit Product Attribute ""%1""","Uređivanje proizvoda atribut „%1”"
"New Product Attribute","Novi atributi proizvoda"
"Advanced Attribute Properties","Svojstva naprednih atributa"
"Attribute Code","Kod atributa"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","This is used internally. Make sure you don't use spaces or more than %1 symbols."
"Default Value","Podrazumevane vrednosti"
"Unique Value","Jedinstvena vrednost"
"Unique Value (not shared with other products)","Jedinstvena vrednost (ne deli se sa drugim proizvodima)"
"Not shared with other products.","Ne deli se sa drugim proizvodima."
"Input Validation for Store Owner","Ulazna validnost za vlasnika radnje"
"Add to Column Options","Dodavanje opcije kolone"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Izaberite opciju „Da” da biste dodali ovaj atribut listu opcija kolone u tablici proizvoda."
"Use in Filter Options","Koristi opcije u filteru"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Izaberite opciju „Da” da biste dodali ovaj atribut listi opcija filtera u tablici proizvoda."
"Store View","Prikaz prodavnice"
"Website","Web sajt"
"Global","Globalno"
"Scope","Opseg"
"Declare attribute value saving scope.","Deklariši vrednost atributa čuvanja opsega."
"The default date is invalid.","The default date is invalid."
"Storefront Properties","Osobine izloga prodavnice"
"Use in Search","Koristiti u pretrazi"
"Visible in Advanced Search","Vidljivo u naprednoj pretrazi"
"Comparable on Storefront","Uporedivo na izlogu prodavnice"
"Use for Promo Rule Conditions","Koristi za uslove Promo pravila"
"Allow HTML Tags on Storefront","Dozvoli HTML oznake na izlogu"
"Visible on Catalog Pages on Storefront","Vidljivo na stranicama izlog kataloga"
"Used in Product Listing","Koristi se u listingu proizvoda"
"Depends on design theme.","Zavisi od dizajna teme."
"Used for Sorting in Product Listing","Koriste se za sortiranje u listingu proizvoda"
"Media Image","Slika medija"
"Gallery","Galerija"
"System Properties","Osobine sistema"
"No","Ne"
"Yes","Da"
"Data Type for Saving in Database","Tip podataka za čuvanje u bazi podataka"
"Text","Tekst"
"Varchar","Varchar"
"Static","Static"
"Datetime","Datetime"
"Decimal","Decimalni broj"
"Integer","Ceo broj"
"Globally Editable","Globalno se može uređivati"
"Attribute Information","Atribut informacije"
"Properties","Svojstva"
"Manage Labels","Upravljanje oznakama"
"Visible","Vidljivo"
"Web Site","Web lokacija"
"Searchable","Mogu se pretraživati"
"Comparable","Uporedivo"
"Delete Selected Group","Izbriši izabrane grupe"
"Add New","Dodaj Novo"
"Back","Nazad"
"Reset","Reset"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Ako nastavite, izbrisaćete sve proizvode u ovom skupu atributa. Sigurni ste da želite to uraditi?"
"New Set Name","Nov skup imena"
"Edit Attribute Set '%1'","Uređivanje skupa atributa „%1”"
"Empty","Prazno"
"Add Attribute","Dodaj atribut"
"Add New Group","Dodavanje nove grupe"
"Add Group","Dodaj grupu"
"For internal use","Za internu upotrebu"
"Based On","Zasnovano Na"
"Edit Attribute Set Name","Uređivanje skupa atributa imena „%1”"
"Attribute Set Information","Attribute Set Information"
"Add New Attribute Set","Dodaj novi skup atributa"
"Add Attribute Set","Dodaj skup atributa"
"Attribute Sets","Atributi skupa"
"Close Window","Zatvori prozor"
"New Product","Novi proizvod"
"Save & Edit","Čuvanje i uređivanje"
"Save & New","Sačuvaj i novo"
"Save & Duplicate","Sačuvaj & dupliraj"
"Save & Close","Sačuvaj i zatvori"
"Attributes","Atributi"
"Change","Promena"
"Advanced Inventory","Napredne zaliha"
"Websites","Web stranice"
"Products Information","Informacije o proizvodima"
"Create Category","Napravi kategoriju"
"Category Name","Naziv kategorije"
"Parent Category","Matična kategorija"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Ako ne postoje prilagođene nadređene kategorije, molimo koristite podrazumevane nadređene kategorije. Možete je u bilo kom trenutku ponovo dodeliti u <a href=""%1"" target=""_blank"">Proizvodi ></a> Kategorije."
"Price Alert Subscriptions","Pretplata na upozorenje cene"
"Stock Alert Subscriptions","Pretplata na upozorenje akcije"
"There are no customers for this alert.","Nema korisnika za ovo upozorenje."
"First Name","Ime"
