"Root","Почетак"
"Delete","Обрисати"
"Save","Сачувај"
"Use Config Settings","Користи конфигурациона подешавања"
"Use All Available Attributes","Користи све расположиве атрибуте"
"ID","ИД"
"Name","Име"
"SKU","Шифра"
"Visibility","Видљивост"
"Status","Статус"
"Price","Цена"
"Position","Позиција"
"Add Subcategory","Додати подкатегорију"
"Add Root Category","Додавање категорије корен"
"Day","Дан"
"Month","Месец"
"Year","Година"
"<label class=""label""><span>from</span></label>","<лабел цласс=""лабел""><спан>од</спан></лабел>"
"<label class=""label""><span>to</span></label>","<лабел цласс=""лабел""><спан>за</спан></лабел>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[ПРИКАЗ ПРОДАВНИЦЕ]"
"WYSIWYG Editor","Едитор Шта видиш то добијеш"
"Add Product","Додај Производ"
"label","ознака"
"Product Attributes","Атрибути производа"
"Add New Attribute","Додавање нових атрибута"
"Cancel","Откажи"
"Save Attribute","Сачувати атрибут"
"Save in New Attribute Set","Сачувати у нови комплет атрибута"
"Enter Name for New Attribute Set","Унесите име за нови комплет атрибута"
"Save and Continue Edit","Сачувај и настави уређивање"
"Delete Attribute","Избрисати атрибут"
"Edit Product Attribute ""%1""","Уређивање производа атрибут „%1”"
"New Product Attribute","Нови атрибути производа"
"Advanced Attribute Properties","Својства напредних атрибута"
"Attribute Code","Код атрибута"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Користи се интерно. Не користите размак или више од %1 симбола."
"Default Value","Подразумеване вредности"
"Unique Value","Јединствена вредност"
"Unique Value (not shared with other products)","Јединствена вредност (не дели се са другим производима)"
"Not shared with other products.","Не дели се са другим производима."
"Input Validation for Store Owner","Улазна валидност за власника радње"
"Add to Column Options","Додавање опције колоне"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Изаберите опцију „Да” да бисте додали овај атрибут листу опција колоне у таблици производа."
"Use in Filter Options","Користи опције у филтеру"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Изаберите опцију „Да” да бисте додали овај атрибут листи опција филтера у таблици производа."
"Store View","Приказ продавнице"
"Website","Wеб сајт"
"Global","Глобално"
"Scope","Опсег"
"Declare attribute value saving scope.","Деклариши вредност атрибута чувања опсега."
"Storefront Properties","Особине излога продавнице"
"Use in Search","Користити у претрази"
"Visible in Advanced Search","Видљиво у напредној претрази"
"Comparable on Storefront","Упоредиво на излогу продавнице"
"Use for Promo Rule Conditions","Користи за услове Промо правила"
"Enable WYSIWYG","Омогућити – WYСИWYГ"
"Allow HTML Tags on Storefront","Дозволи ХТМЛ ознаке на излогу"
"Visible on Catalog Pages on Storefront","Видљиво на страницама излог каталога"
"Used in Product Listing","Користи се у листингу производа"
"Depends on design theme.","Зависи од дизајна теме."
"Used for Sorting in Product Listing","Користе се за сортирање у листингу производа"
"Media Image","Слика медија"
"Gallery","Галерија"
"System Properties","Особине система"
"No","Не"
"Yes","Да"
"Data Type for Saving in Database","Тип података за чување у бази података"
"Text","Текст"
"Varchar","Варцхар"
"Static","Статички"
"Datetime","Датум И време"
"Decimal","Децимални број"
"Integer","Цео број"
"Globally Editable","Глобално се може уређивати"
"Attribute Information","Атрибут информације"
"Properties","Својства"
"Manage Labels","Управљање ознакама"
"Visible","Видљиво"
"Web Site","Wеб локација"
"Searchable","Могу се претраживати"
"Comparable","Упоредиво"
"Delete Selected Group","Избриши изабране групе"
"Add New","Додај Ново"
"Back","Назад"
"Reset","Ресетовати"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Ако наставите, избрисаћете све производе у овом скупу атрибута. Сигурни сте да желите то урадити?"
"New Set Name","Нов скуп имена"
"Edit Attribute Set '%1'","Уређивање скупа атрибута „%1”"
"Empty","Празно"
"Add Attribute","Додај атрибут"
"Add New Group","Додавање нове групе"
"Add Group","Додај групу"
"Edit Attribute Set Name","Уређивање скупа атрибута имена „%1”"
"For internal use","За интерну употребу"
"Based On","Засновано На"
"Add New Attribute Set","Додај нови скуп атрибута"
"Add Attribute Set","Додај скуп атрибута"
"Attribute Sets","Атрибути скупа"
"Close Window","Затвори прозор"
"New Product","Нови производ"
"Save & Edit","Чување и уређивање"
"Save & New","Сачувај и ново"
"Save & Duplicate","Сачувај & дуплирај"
"Save & Close","Сачувај и затвори"
"Attributes","Атрибути"
"Change","Промена"
"Advanced Inventory","Напредне залиха"
"Websites","Wеб странице"
"Products Information","Информације о производима"
"Create Category","Направи категорију"
"Category Name","Назив категорије"
"Parent Category","Матична категорија"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Ако не постоје прилагођене надређене категорије, молимо користите подразумеване надређене категорије. Можете је у било ком тренутку поново доделити у <а хреф=""%1"" таргет=""_бланк"">Производи ></а> Категорије."
"Price Alert Subscriptions","Претплата на упозорење цене"
"Stock Alert Subscriptions","Претплата на упозорење акције"
"There are no customers for this alert.","Нема корисника за ово упозорење."
"First Name","Име"
"Last Name","Презиме"
"Email","Е-пошта"
"Subscribe Date","Датум претплате"
"Last Notified","Последњи пут обавештени"
"Send Count","Послати број"
"New Attribute","Нови атрибут"
"Type","Тип"
"Attribute Set","Скуп атрибута"
"Add New Option","Додати нову опцију"
"Import Options","Увоз опција"
"Use Default","Користи подразумевано"
"Import","Увести"
"Add New Row","Додавање новог реда"
"Delete Row","Брисање реда"
"Tier Pricing","Ценовник за слој"
"Default Price","Подразумевана цена"
"All Websites","Све Wеб локације"
"ALL GROUPS","СВЕ ГРУПЕ"
"Add Price","Додавање цена"
"Default Values","Подразумеване вредности"
"Related Products","Слични производи"
"Up-sells","Уп-продаје"
"Cross-sells","Цросс-продаје"
"Size for %1","Величина за %1"
"Watermark File for %1","Водени жиг датотеку за %1"
"Position of Watermark for %1","Положај водени жиг за %1"
"Name in %1","Име у %1"
"Quantity","Количина"
"Edit","Измени"
"Are you sure?","Да ли сте сигурни?"
"Change Status","Промена статуса"
"Update Attributes","Ажурирати атрибуте"
"start typing to search category","почните да куцате за претрагу категорија"
"New Category","Нова Категорија"
"Images (.gif, .jpg, .png)","Слике (.гиф, .јпг, .пнг)"
"Add New Images","Додати нове слике"
"Inc. Tax","Износ са Пдв"
"Does this have a weight?","Да ли ово има тежину?"
"Product","Производ"
"Notify Low Stock RSS","Пријави малу количину на стању РСС"
"Low Stock Products","Ниско стање производа"
"%1 has reached a quantity of %2.","%1 је достигао количину од %2."
"Home","Почетна"
"Go to Home Page","Иди на почетну страницу"
"Subscribe to RSS Feed","Пријави се на РСС Феед"
"Products Comparison List","Листа производа за поређење"
"N/A","Н/А - није доступно"
"AM","Пре подне"
"PM","После подне"
"-- Please Select --","-- Молим одаберите --"
"None","Ништа"
"New Products from %1","Нови производи од %1"
"New Products","Нови производи"
"%1 - Special Products","%1 - специјални производи"
"Click for price","Кликните за цену"
"Special Expires On: %1","Специјална понуда истиче: %1"
"Price: %1","Цена: %1"
"Special Price: %1","Посебна цена: %1"
"Special Products","Специјални производи"
"Manage Catalog Categories","Управљање каталогом категорија"
"Manage Categories","Управљање категоријама"
"You deleted the category.","Обрисали сте категорију."
"Something went wrong while trying to delete the category.","Дошло је до грешке приликом брисања категорије."
"Categories","Категорије"
"Category is not available for requested store.","Категорија није доступна за тражену продавницу."
"There was a category move error.","Дошло је до грешке при померању категорије."
"You moved the category.","Преместили сте категорију."
"Attribute ""%1"" is required.","Атрибут ""%1"" је обавезан."
"You saved the category.","Сачували сте категорију."
"Something went wrong while saving the category.","Дошло је до грешке приликом снимања категорије."
"Please select products for attributes update.","Одаберите производе за ажурирање атрибута."
"Please make sure to define SKU values for all processed products.","Уверите се да сте дефинисали вредност шифри за све обрађене производе."
"A total of %1 record(s) were updated.","Укупно %1 запис(а) је ажурирано."
"Something went wrong while updating the product(s) attributes.","Дошло је до грешке приликом ажурирања атрибута производ(а)."
"Unable to add attribute","Није могуће додати атрибут"
"Please, specify attributes","Молимо, навести атрибуте"
"Catalog","Каталог"
"Manage Product Attributes","Управљање атрибутима производа"
"We can't delete the attribute.","Не можете обрисати атрибут."
"You deleted the product attribute.","Избрисали сте атрибут производа."
"We can't find an attribute to delete.","Не можемо пронаћи атрибуте за брисање."
"This attribute no longer exists.","Овај атрибут више не постоји."
"This attribute cannot be edited.","Овај атрибут се не може изменити."
"Edit Product Attribute","Изменити атрибут производа"
"An attribute set named '%1' already exists.","Једна група атрибута под називом '%1' већ постоји."
"Something went wrong while saving the attribute.","Дошло је до грешке приликом снимања атрибута."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Шифра атрибут „%1” је неважећа. Молимо вас да користите само слова (а-з), бројеве (0-9) или доњу црту (_) у овом пољу, први знак треба да буде слово."
"We can't update the attribute.","Не можемо ажурирати атрибут."
"You saved the product attribute.","Сачували сте атрибут производа."
"An attribute with this code already exists.","Атрибут са овим кодом већ постоји."
"An attribute with the same code (%1) already exists.","Атрибут са истим кодом (%1) већ постоји."
"The value of Admin must be unique.","Вредност атрибута Админ мора бити јединствен."
"The value of Admin scope can't be empty.","Вредност админ подручја не може бити празно."
"You duplicated the product.","Дуплирали сте производ."
