"Root","최상위"
"Delete","삭제"
"Save","저장"
"Use Config Settings","스토어 설정값 사용"
"Use All Available Attributes","사용 가능한 모든 어트리뷰트 사용"
"ID","ID"
"Name","이름 "
"SKU","SKU"
"Visibility","가시성"
"Status","상태"
"Price","가격"
"Position","기본"
"Add Subcategory","하위 카테고리 추가"
"Add Root Category","최상위 카테고리 추가"
"Day","일"
"Month","월"
"Year","연도"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[글로벌]"
"[WEBSITE]","[웹사이트]"
"[STORE VIEW]","[스토어뷰]"
"WYSIWYG Editor","WYSIWYG 에디터"
"Add Product","상품 추가"
"label","라벨"
"Product Attributes","상품 어트리뷰트"
"Add New Attribute","신규 어트리뷰트 추가"
"Cancel","취소"
"Save Attribute","어트리뷰트 저장"
"Save in New Attribute Set","신규 어트리뷰트 세트에 저장"
"Enter Name for New Attribute Set","신규 어트리뷰트 세트의 이름을 입력하십시오."
"Save and Continue Edit","저장하고 계속 편집하기"
"Delete Attribute","어트리뷰트 삭제"
"Edit Product Attribute ""%1""","상품 어트리뷰트 ""%1"" 수정"
"New Product Attribute","신규 상품 어트리뷰트"
"Advanced Attribute Properties","고급 어트리뷰트 속성"
"Attribute Code","어트리뷰트 코드"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","This is used internally. Make sure you don't use spaces or more than %1 symbols."
"Default Value","기본값"
"Unique Value","고유한 값"
"Unique Value (not shared with other products)","고유한 값(다른 상품과 공유하지 않음)"
"Not shared with other products.","다른 상품과 공유하지 않음"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Add to Column Options","컬럼 옵션에 추가"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Select ""Yes"" to add this attribute to the list of column options in the product grid."
"Use in Filter Options","필터 옵션에 사용"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Select ""Yes"" to add this attribute to the list of filter options in the product grid."
"Store View","스토어뷰"
"Website","웹사이트"
"Global","글로벌"
"Scope","적용범위"
"Declare attribute value saving scope.","속성값 적용 범위를 선언하십시오."
"Storefront Properties","스토어프론트 속성"
"Use in Search","검색에 사용"
"Visible in Advanced Search","고급 검색에 노출"
"Comparable on Storefront","Comparable on Storefront"
"Use for Promo Rule Conditions","Use for Promo Rule Conditions"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","스토어프론트에 HTML 태그 허용"
"Visible on Catalog Pages on Storefront","스토어프론트의 카테고리 페이지에 노출"
"Used in Product Listing","상품 목록에 사용"
"Depends on design theme.","Depends on design theme."
"Used for Sorting in Product Listing","상품 목록의 정렬 기준으로 사용"
"Media Image","미디어 이미지"
"Gallery","갤러리"
"System Properties","시스템 속성"
"No","아니오"
"Yes","네"
"Data Type for Saving in Database","Data Type for Saving in Database"
"Text","텍스트"
"Varchar","Varchar"
"Static","Static"
"Datetime","날짜"
"Decimal","소수"
"Integer","정수형"
"Globally Editable","Globally Editable"
"Attribute Information","어트리뷰트 정보"
"Properties","속성"
"Manage Labels","라벨 관리"
"Visible","Visible"
"Web Site","웹사이트"
"Searchable","검색가능"
"Comparable","비교가능"
"Delete Selected Group","선택 그룹 삭제"
"Add New","신규 추가"
"Back","이전"
"Reset","초기화"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","You are about to delete all products in this attribute set. Are you sure you want to do that?"
"New Set Name","신규 세트 이름"
"Edit Attribute Set '%1'","%1 어트리뷰트 세트 수정"
"Empty","Empty"
"Add Attribute","어트리뷰트 추가"
"Add New Group","신규 그룹 추가"
"Add Group","그룹 추가"
"Edit Attribute Set Name"," 어트리뷰트 세트 이름 수정"
"For internal use","내부용"
"Based On","Based On"
"Add New Attribute Set","신규 어트리뷰트 세트 추가"
"Add Attribute Set","어트리뷰트 세트 추가"
"Attribute Sets","어트리뷰트 세트"
"Close Window","창 닫기"
"New Product","신규 상품"
"Save & Edit","저장하고 수정"
"Save & New","저장하고 새로 만들기"
"Save & Duplicate","저장하고 복제하기"
"Save & Close","저장하고 닫기"
"Attributes","어트리뷰트"
"Change","변경"
"Advanced Inventory","Advanced Inventory"
"Websites","웹사이트"
"Products Information","상품 정보"
"Create Category","분류 생성"
"Category Name","분류명"
"Parent Category","상위 카테고리"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">
 Products > Categories</a>
 ."
"Price Alert Subscriptions","Price Alert Subscriptions"
"Stock Alert Subscriptions","Stock Alert Subscriptions"
"There are no customers for this alert.","There are no customers for this alert."
"First Name","이름"
"Last Name","성"
"Email","이메일 주소"
"Subscribe Date","Subscribe Date"
"Last Notified","Last Notified"
"Send Count","Send Count"
"New Attribute","신규 어트리뷰트"
"Type","타입"
"Attribute Set","어트리뷰트 세트"
"Add New Option","신규 옵션 추가"
"Import Options","가져오기 옵션"
"Use Default","기본값 사용"
"Import","가져오기"
"Add New Row","신규 열 추가"
"Delete Row","열 삭제"
"Tier Pricing","Tier Pricing"
"Default Price","기본 가격"
"All Websites","모든 웹사이트 "
"ALL GROUPS","모든 그룹 "
"Add Price","가격 추가"
"Default Values","기본값"
"Related Products","관련 상품"
"Up-sells","상향판매"
"Cross-sells","교차판매"
"Size for %1","Size for %1"
"Watermark File for %1","Watermark File for %1"
"Position of Watermark for %1","Position of Watermark for %1"
"Name in %1","Name in %1"
"Quantity","수량"
"Edit","수정"
"Are you sure?","확실합니까?"
"Change Status","상태 변경"
"Update Attributes","어트리뷰트 업데이트"
"start typing to search category","start typing to search category"
"New Category","신규 카테고리"
"Images (.gif, .jpg, .png)","이미지 (.gif, .jpg, .png)"
"Add New Images","신규 이미지 추가"
"Inc. Tax","세금 포함"
"Does this have a weight?","중량이 있습니까?"
"Product","상품"
"Notify Low Stock RSS","재고부족 알림 RSS"
"Low Stock Products","재고부족 상품"
"%1 has reached a quantity of %2.","%1 는 %2의 양에 도달 했습니다."
"Home","홈 "
"Go to Home Page","홈페이지 가기 "
"Subscribe to RSS Feed","RSS 구독"
"Products Comparison List","상품 비교 리스트"
"N/A","해당없음"
"AM","AM"
"PM","PM"
"-- Please Select --","--선택하세요--"
"None","없음"
"New Products from %1","%1에서 새로운 제품"
"New Products","신규 상품"
"%1 - Special Products","%1 - 특별 상품"
"Click for price","클릭하여 가격확인"
"Special Expires On: %1","Special Expires On: %1"
"Price: %1","가격: %1"
"Special Price: %1","특별 가격: %1"
"Special Products","특별 상품"
"Manage Catalog Categories","카탈로그 카테고리 관리"
"Manage Categories","카테고리 관리"
"You deleted the category.","카테고리를 삭제하였습니다."
"Something went wrong while trying to delete the category.","카테고리 삭제중 문제가 발생했습니다."
"Categories","분류"
"Category is not available for requested store.","요청한 스토어에서 해당 카테고리를 사용할 수 없습니다."
"There was a category move error.","카테고리 이동중 에러가 발생했습니다."
"You moved the category.","카테고리를 옮겼습니다."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","카테고리를 저장했습니다."
"Something went wrong while saving the category.","카테고리 저장중 문제가 발생했습니다."
"Please select products for attributes update.","어트리뷰트 업데이트를 위한 상품을 선택해 주십시오."
"Please make sure to define SKU values for all processed products.","Please make sure to define SKU values for all processed products."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","상품 어트리뷰트 업데이트중 문제가 발생했습니다."
"Unable to add attribute","어트리뷰트를 추가할 수 없습니다."
"Please, specify attributes","Please, specify attributes"
"Catalog","카탈로그"
"Manage Product Attributes","상품 어트리뷰트 관리"
