"Root","Rot"
"Delete","Slett"
"Save","Lagre"
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"Use All Available Attributes","Bruke alle tilgjengelige attributter"
"ID","ID"
"Name","Navn"
"SKU","Varenummer"
"Visibility","Synlighet"
"Status","Status"
"Price","Pris"
"Position","Posisjon"
"Add Subcategory","Legg til underkategori"
"Add Root Category","Legg til rotkategori"
"Day","Dag"
"Month","Måned"
"Year","År"
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>fra</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>til</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[NETTSTED]"
"[STORE VIEW]","[LAGERVISNING]"
"WYSIWYG Editor","WYSIWYG Editor"
"Add Product","Legg til produkt"
"label","etikett"
"Product Attributes","Produkt-attributter"
"Add New Attribute","Legge til nytt attributt"
"Cancel","Avbryt"
"Save Attribute","Lagre attributt"
"Save in New Attribute Set","Lagre i nye attributtsettet"
"Enter Name for New Attribute Set","Angi navn på nytt attributtsettet"
"Save and Continue Edit","Lagre og fortsett redigering"
"Delete Attribute","Slett attributt"
"Edit Product Attribute ""%1""","Rediger produktattributtet ""%1"""
"New Product Attribute","Nytt produktattributt"
"Advanced Attribute Properties","Avanserte egenskaper for attributt"
"Attribute Code","Attributtkode"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dette brukes internt. Kontroller at du ikke bruker mellomrom eller mer enn %1 symboler."
"Default Value","Standardverdi"
"Unique Value","Unik verdi"
"Unique Value (not shared with other products)","Unik verdi (ikke delt med andre produkter)"
"Not shared with other products.","Ikke delt med andre produkter."
"Input Validation for Store Owner","Validering av inndata for butikkeier"
"Add to Column Options","Legge til kolonnealternativer"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Velg ""Ja"" for å legge til attributtet i listen av kolonnealternativer i produktrutenettet."
"Use in Filter Options","Bruk filteralternativene"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Velg ""Ja"" for å legge til attributtet i listen over filtreringsalternativene i produktrutenettet."
"Store View","Butikkvisning"
"Website","Nettsted"
"Global","Global"
"Scope","Omfang"
"Declare attribute value saving scope.","Erklær attributtverdiens lagre-omfang."
"Storefront Properties","Butikkegenskaper"
"Use in Search","Bruk i Søk"
"Visible in Advanced Search","Synlig i avansert søk"
"Comparable on Storefront","Sammenlignbare på butikk"
"Use for Promo Rule Conditions","Bruk i Promo-regelbetingelser"
"Enable WYSIWYG","Aktiver WYSIWYG"
"Allow HTML Tags on Storefront","Tillat HTML-koder på butikk"
"Visible on Catalog Pages on Storefront","Synlig på katalogsider på butikk"
"Used in Product Listing","Brukes i produktliste"
"Depends on design theme.","Avhenger av utformingstemaet."
"Used for Sorting in Product Listing","Brukes til sortering i produktliste"
"Media Image","Mediebildet"
"Gallery","Galleri"
"System Properties","Systemegenskaper"
"No","Nei"
"Yes","Ja"
"Data Type for Saving in Database","Datatype for lagring i databasen"
"Text","Tekst"
"Varchar","Varchar"
"Static","Statisk"
"Datetime","DateTime"
"Decimal","Desimaltall"
"Integer","Heltall"
"Globally Editable","Globalt redigerbare"
"Attribute Information","Attributtinformasjon"
"Properties","Egenskaper"
"Manage Labels","Administrer bannere"
"Visible","Synlig"
"Web Site","Webområde"
"Searchable","Søkbar"
"Comparable","Sammenlignbare"
"Delete Selected Group","Slett valgt gruppe"
"Add New","Legg til ny"
"Back","Tilbake"
"Reset","Nullstill"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Du er ferd med å slette alle produkter i dette attributtet. Er du sikker på at du vil gjøre det?"
"New Set Name","Nytt sett navn"
"Edit Attribute Set '%1'","Rediger attributtsett '%1'"
"Empty","Tom"
"Add Attribute","Legge til attributt"
"Add New Group","Legge til ny gruppe"
"Add Group","Legg til gruppe"
"Edit Attribute Set Name","Rediger attributtsettnavn"
"For internal use","For intern bruk"
"Based On","Basert på"
"Add New Attribute Set","Legg til ny attributtssett"
"Add Attribute Set","Legg til attributtsett"
"Attribute Sets","Attributtsett"
"Close Window","Lukk vindu"
"New Product","Nytt produkt"
"Save & Edit","Lagre & Rediger"
"Save & New","Lagre & Ny"
"Save & Duplicate","Lagre & dupliser"
"Save & Close","Lagre & lukk"
"Attributes","Attributter"
"Change","Endre"
"Advanced Inventory","Avansert lager"
"Websites","Nettsider"
"Products Information","Produktinformasjon"
"Create Category","Opprett kategori"
"Category Name","Kategorinavn"
"Parent Category","Overordnet kategori"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Hvis det er ingen egendefinerte overordnede kategorier, kan du bruke standard overordnet kategori. Du kan tilordne kategori når som helst i <a href=""%1"" target=""_blank"">produkter > kategorier</a>."
"Price Alert Subscriptions","Pris varslings abonnement"
