"Root","Wurzel"
"Delete","Löschen"
"Save","Speichern"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"Use All Available Attributes","Alle verfügbaren Attribute verwenden"
"ID","Id"
"Name","Name"
"SKU","Artikelnummer"
"Visibility","Sichtbarkeit"
"Status","Status"
"Price","Preis"
"Position","Reihenfolge"
"Add Subcategory","Neue Unterkategorie"
"Add Root Category","Neue Haupt-Kategorie"
"Day","Tag"
"Month","Monat"
"Year","Jahr"
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>von</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""> <span>bis</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"WYSIWYG Editor","WYSIWYG-Editor"
"Add Product","Neuer Artikel"
"label","Kennzeichen"
"Product Attributes","Artikelattribute"
"Add New Attribute","Neues Attribut"
"Cancel","Stornieren"
"Save Attribute","Attribut speichern"
"Save in New Attribute Set","In neuem Attribut-Set speichern"
"Enter Name for New Attribute Set","Namen für neues Attribut-Set eingeben"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Delete Attribute","Attribut löschen"
"Edit Product Attribute ""%1""","Produkt-Attribut ""%1"" bearbeiten"
"New Product Attribute","Neues Produkt-Attribut"
"Advanced Attribute Properties","Erweiterte Attributeigenschaften"
"Attribute Code","Attribut-Code"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dies wird intern verwendet. Stellen Sie sicher, dass Sie keine Leerzeichen und nicht mehr als %1 Zeichen verwenden."
"Default Value","Standardwert"
"Unique Value","Einmaliger Wert"
"Unique Value (not shared with other products)","Eindeutiger Wert (nicht mit anderen Produkten geteilt)"
"Not shared with other products.","Nicht mit anderen Produkten geteilt."
"Input Validation for Store Owner","Eingabeüberprüfung für Shopbetreiber"
"Add to Column Options","Spaltenoptionen hinzufügen"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Wählen Sie ""Ja"", um dieses Attribut der Liste der Spaltenoptionen im Produkt-Datenblatt hinzuzufügen."
"Use in Filter Options","In den Filter-Optionen verwenden"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Wählen Sie ""Ja"", um dieses Attribut der Liste der Filteroptionen im Produkt-Datenblatt hinzuzufügen."
"Store View","Store View"
"Website","Webseite"
"Global","Global"
"Scope","Geltungsbereich"
"Declare attribute value saving scope.","In welchem Scope soll das Attribut gespeichert werden?"
"Storefront Properties","Frontend-Eigenschaften"
"Use in Search","In Suche verwenden"
"Visible in Advanced Search","Sichtbar in erweiterter Suche"
"Comparable on Storefront","Vergleichbar im Frontend"
"Use for Promo Rule Conditions","Für Preisregeln verwenden"
"Enable WYSIWYG","WYSIWYG aktivieren"
"Allow HTML Tags on Storefront","HTML im Frontend erlauben"
"Visible on Catalog Pages on Storefront","Auf Katalogseiten im Frontend sichtbar"
"Used in Product Listing","In Artikelliste verwendet"
"Depends on design theme.","Abhängig vom Design-Thema."
"Used for Sorting in Product Listing","Für die Sortierung in der Artikelliste verfügbar"
"Media Image","Bild"
"Gallery","Gallerie"
"System Properties","Systemeigenschaften"
"No","Nein"
"Yes","Ja"
"Data Type for Saving in Database","Datentyp in der Datenbank"
"Text","Text"
"Varchar","Varchar (Zeichenfolge variabler Länge)"
"Static","Statisch"
"Datetime","Datum und Zeit"
"Decimal","Dezimal"
"Integer","Ganzzahl"
"Globally Editable","Global änderbar"
"Attribute Information","Attributinformation"
"Properties","Eigenschaften"
"Manage Labels","Feldnamen verwalten"
"Visible","Suchbar"
"Web Site","Website"
"Searchable","Durchsuchbar"
"Comparable","Vergleichbar"
"Delete Selected Group","Ausgewählte Gruppe löschen"
"Add New","Neu"
"Back","Zurück"
"Reset","Zurücksetzen"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Sie sind dabei, alle Produkte in diesem Attribut-Set zu löschen. Sind Sie sicher, dass Sie das tun wollen?"
"New Set Name","Neuer Set Name"
"Edit Attribute Set '%1'","Attribut-Set '%1' bearbeiten"
"Empty","Zeige"
"Add Attribute","Attribut hinzufügen"
"Add New Group","Neue Gruppe"
"Add Group","Gruppe hinzufügen"
"Edit Attribute Set Name","Name des Attribut-Sets bearbeiten"
"For internal use","Intern verwendet"
"Based On","Bitte bestätigen Sie, dass Sie die Seite wechseln möchten. Dadurch gehen alle nicht gespeicherten Informationen verloren!"
"Add New Attribute Set","Neues Attribut-Set hinzufügen"
"Add Attribute Set","Attribut-Set hinzufügen"
"Attribute Sets","Attribut-Sets"
"Close Window","Fenster schließen"
"New Product","Neuer Artikel"
"Save & Edit","Speichern & Bearbeiten"
"Save & New","Speichern & Neu"
"Save & Duplicate","Speichern & Duplizieren"
"Save & Close","Speichern & Schließen"
"Attributes","Attribute"
"Change","Ändern"
"Advanced Inventory","Erweitertes Inventar"
"Websites","Webseiten"
"Products Information","Produkt-Informationen"
"Create Category","Kategorie erstellen"
"Category Name","Kategorie-Name"
"Parent Category","Übergeordnete Kategorie"
