"Root","Sakne"
"Delete","Dzēst"
"Save","Saglabāt"
"Use Config Settings","Lietot konfigurācijas iestatījumus"
"Use All Available Attributes","Izmantot visus pieejamos atribūtus"
"ID","ID"
"Name","Vārds"
"SKU","Artikuls"
"Visibility","Redzamība"
"Status","Statuss"
"Price","Cena"
"Position","Pozīcija"
"Add Subcategory","Pievienot apakškategoriju"
"Add Root Category","Pievienot saknes kategoriju"
"Day","Diena"
"Month","Mēnesis"
"Year","Gads"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[GLOBĀLI]"
"[WEBSITE]","[Majaslapa]"
"[STORE VIEW]","[STORE VIEW]"
"WYSIWYG Editor","WYSIWYG redaktors"
"Add Product","Pievienot produktu"
"label","birka"
"Product Attributes","Produkta atribūti"
"Add New Attribute","Pievienot Jaunu Atribūtu"
"Cancel","Atcelt"
"Save Attribute","Saglabāt atribūtu"
"Save in New Attribute Set","Saglabāt jaunu atribūtu kopu"
"Enter Name for New Attribute Set","Ievadiet nosaukumu jaunai atribūtu kopai"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Delete Attribute","Dzēst atribūtu"
"Edit Product Attribute ""%1""","Labot produkta atribūtu ""%1"""
"New Product Attribute","Jauns produkta atribūts"
"Advanced Attribute Properties","Papildus atribūta iestatījumi"
"Attribute Code","Atribūta kods"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Tiek lietots iekšpusē. Pārliecinaties ka nelietojat atstarpes vai vairāk kā %1 simbolus."
"Default Value","Noklusētā vērtība"
"Unique Value","Unikāla vērtība"
"Unique Value (not shared with other products)","Unikāla vērtība (nav kopīga ar citiem produktiem)"
"Not shared with other products.","Netiek koplietota ar citiem produktiem."
"Input Validation for Store Owner","Ievades validācija veikala īpašniekam"
"Add to Column Options","Pievienot kolonnai opcijas"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Izvēlieties ""Jā"" lai pievienotu šo atribūtu kolonnas opcijas sarakstā produktu režģī."
"Use in Filter Options","Lietot filtrēšanas opcijās"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Izvēlieties ""Jā"" lai pievienotu šo atribūtu filtru opcijām produktu režģī."
"Store View","Veikala skats"
"Website","Mājas lapa"
"Global","Globāls"
"Scope","Apgabals"
"Declare attribute value saving scope.","Deklarēt atribūta saglabāšanas vērtības apgabalu."
"Storefront Properties","Veikala priekšpuses iestatījumi"
"Use in Search","Lietot meklēšanā"
"Visible in Advanced Search","Redzmas izvērstā meklēšanā"
"Comparable on Storefront","Salīdzināms veikala priekšpusē"
"Use for Promo Rule Conditions","Lietot priekš promo noteikuma nosacījumiem"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","Atļaut HTML tagus veikala priekšpusē"
"Visible on Catalog Pages on Storefront","Redzams kataloga lapās veikala priekšpusē"
"Used in Product Listing","Izmantots produktu sarakstā"
"Depends on design theme.","Atkarīgs no dizaina tēmas."
"Used for Sorting in Product Listing","Lietojams šķirošanai produktu sarakstā"
"Media Image","Mēdiju attēls"
"Gallery","Galerija"
"System Properties","Sistēmas iestatījumi"
"No","Nē"
"Yes","Jā"
"Data Type for Saving in Database","Datu veids saglabāšanai datu bāzē"
"Text","Teksts"
"Varchar","Varchar"
"Static","Statisks"
"Datetime","Datetime"
"Decimal","Decimal"
"Integer","Integer"
