"Root","Rot"
"Delete","Ta bort"
"Save","Spara"
"Use Config Settings","Använd konfigurationsinställningarna"
"Use All Available Attributes","Använd alla tillgängliga attribut"
"ID","ID"
"Name","Namn"
"SKU","Art.nr"
"Visibility","Synlighet"
"Status","Status"
"Price","Pris"
"Position","Plats"
"Add Subcategory","Lägg till underkategori"
"Add Root Category","Lägg till huvud kategori"
"Day","Dag"
"Month","Månad"
"Year","År"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[GLOBALT]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[BUTIKSVY]"
"WYSIWYG Editor","Wysiwyg-redigerare"
"Add Product","Lägg till produkt"
"label","etikett"
"Product Attributes","Produktattribut"
"Add New Attribute","Lägg till nytt attribut"
"Cancel","Avbryt"
"Save Attribute","Spara attribut"
"Save in New Attribute Set","Spara i ny attribut grupp"
"Enter Name for New Attribute Set","Ange namnet för den nya attribut gruppen"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Delete Attribute","Ta bort attribut"
"Edit Product Attribute ""%1""","Ändra produkt attribut ""%1"""
"New Product Attribute","Nytt produktattribut"
"Advanced Attribute Properties","Avancerade attribut egenskaper"
"Attribute Code","Attributkod"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Detta används internt. Se till att du inte använder mellanslag eller mer än %1 symboler."
"Default Value","Standardvärde"
"Unique Value","Unikt värde"
"Unique Value (not shared with other products)","Unikt värde (Får inte delas med andra produkter)"
"Not shared with other products.","Får inte delas med andra produkter."
"Input Validation for Store Owner","Indata för butiksägaren"
"Add to Column Options","Lägg till kolumnalternativ"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Välj ""Ja"" för att lägga till detta attribut till listan av kolumnval i produkt rutnätet"
"Use in Filter Options","Använd i filteralternativ"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Välj ""Ja"" för att lägga till detta attribut till listan av kolumnval i produkt rutnätet."
"Store View","Butiksvy"
"Website","Webbplats"
"Global","Global"
"Scope","Omfattning"
"Declare attribute value saving scope.","Deklarera attributvärdet och spara omfattningen."
"Storefront Properties","Storefront egenskaper"
"Use in Search","Använd i sök"
"Visible in Advanced Search","Synlig i avancerad sök"
"Comparable on Storefront","Jämförbar i frontend"
"Use for Promo Rule Conditions","Använd för kampanjreglernas villkor"
"Enable WYSIWYG","Aktivera WYSIWYG"
"Allow HTML Tags on Storefront","Tillåt HTML taggar på storefront"
"Visible on Catalog Pages on Storefront","Synliga katalogsidor på storefront"
"Used in Product Listing","Använd i produktlistningen "
"Depends on design theme.","Beror på design temat."
"Used for Sorting in Product Listing","Används för sortering i produktlistan"
"Media Image","Media bild"
"Gallery","Galleri"
"System Properties","System egenskaper"
"No","Nej"
"Yes","Ja"
"Data Type for Saving in Database","Datatyp för sparandet i databasen"
"Text","Text"
"Varchar","Varchar"
"Static","Statisk"
"Datetime","Datumtid"
"Decimal","Decimaltal"
"Integer","Heltal"
"Globally Editable","Globalt redigerbar"
"Attribute Information","Attributsinformation "
"Properties","Egenskaper"
"Manage Labels","Hantera märkningar"
"Visible","Synlig"
"Web Site","Webbplats"
"Searchable","Sökbar"
"Comparable","Jämförbar"
"Delete Selected Group","Ta bort vald grupp"
"Add New","Lägg till ny"
"Back","Tillbaka"
"Reset","Återställ"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Du är påväg att ta bort alla produkter i detta attributset. Är du säker att du vill göra detta?"
"New Set Name","Nytt set namn"
"Edit Attribute Set '%1'","Redigera attributset '%1'"
"Empty","Tom"
"Add Attribute","Lägg till Attribut"
"Add New Group","Lägg till ny grupp"
"Add Group","Lägg till grupp"
"Edit Attribute Set Name","Redigera attribut set namn"
"For internal use","För internt bruk"
"Based On","Baserat på"
"Add New Attribute Set","Lägg till nytt attributset"
"Add Attribute Set","Lägg till attributset"
"Attribute Sets","Attributsets"
"Close Window","Stäng fönster"
"New Product","Ny produkt"
"Save & Edit","Spara & Redigera"
"Save & New","Spara & Ny"
"Save & Duplicate","Spara & Duplicera"
"Save & Close","Spara & stäng"
"Attributes","Attribut"
"Change","Ändra"
"Advanced Inventory","Avancerad inventering"
"Websites","Webbplatser"
"Products Information","Produkt information"
"Create Category","Skapa kategori"
"Category Name","Kategorinamn"
"Parent Category","Överordnad kategori"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Om det inte finns några anpassade ordnade kategorier, använd standardöverordnade kategorin. Du kan tilldela kategorin när som helst <a href=""%1"" target=""_blank""> Produkter> Kategorier </a>."
"Price Alert Subscriptions","Pris notifiera prenumeranter"
"Stock Alert Subscriptions","Lagersaldo notifiera prenumeranter "
"There are no customers for this alert.","Det finns inga kunder för denna notifiering "
"First Name","Förnamn"
"Last Name","Efternamn"
"Email","E-post"
"Subscribe Date","Prenumerationsdatum "
"Last Notified","Senast notifierad "
"Send Count","Send Count"
"New Attribute","Nytt attribut"
"Type","Typ"
"Attribute Set","Attributgrupp"
"Add New Option","Lägg till ny egenskap"
"Import Options","Importera egenskaper "
"Use Default","Använd standard"
"Import","Importera"
"Add New Row","Lägg till ny rad"
"Delete Row","Ta bort rad"
"Tier Pricing","Tier prissättning"
"Default Price","Standard pris"
"All Websites","Alla webbplatser"
"ALL GROUPS","ALLA GRUPPER"
"Add Price","Lägg till pris"
"Default Values","Standardvärden"
"Related Products","Relaterade produkter"
"Up-sells","Merförsäljning"
"Cross-sells","Korsförsäljning"
"Size for %1","Storlek för %1"
"Watermark File for %1","Vattenstämpels fil för %1"
"Position of Watermark for %1","Vattenstämpelns position för %1"
"Name in %1","Namn i %1"
"Quantity","Antal"
"Edit","Redigera"
"Are you sure?","Är du säker?"
"Change Status","Ändra status"
"Update Attributes","Uppdatera attribut"
"start typing to search category","Börja skriva för att söka i kategorin"
"New Category","Ny kategori"
"Images (.gif, .jpg, .png)","Bilder (.gif, .jpg, .png)"
"Add New Images","Lägg till nya bilder"
"Inc. Tax","Inkl. moms"
"Does this have a weight?","Har denna en vikt?"
"Product","Produkt"
"Notify Low Stock RSS","Notifikation lågt lagersaldo RSS"
"Low Stock Products","Produkter med lågt lagersaldo"
"%1 has reached a quantity of %2.","%1 har nått ett lagersaldo av %2."
"Home","Hem"
"Go to Home Page","Gå till startsidan"
"Subscribe to RSS Feed","Prenumerera på RSS flöde"
"Products Comparison List","Produkter jämförelselista"
"N/A","Ej tillgängligt"
"AM","FM"
"PM","EM"
"-- Please Select --","--Vänligen välj--"
"None","Inga"
"New Products from %1","Nya produkter från %1"
"New Products","Nya produkter"
"%1 - Special Products","%1 - Reaprodukter"
"Click for price","Klicka för pris"
"Special Expires On: %1","Rean avslutas: %1"
"Price: %1","Pris: %1"
"Special Price: %1","Reapris: %1"
"Special Products","Reaprodukter"
"Manage Catalog Categories","Hantera katalogkategorier"
"Manage Categories","Hantera kategorier"
"You deleted the category.","Du tog bort kategorin."
"Something went wrong while trying to delete the category.","Något gick fel när du försökte ta bort kategorin."
"Categories","Kategorier"
"Category is not available for requested store.","Kategorin finns inte i vald butik."
"There was a category move error.","Det uppstod ett fel vid flytt av kategori."
"You moved the category.","Du flyttade kategorin."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","Du sparade kategorin."
"Something went wrong while saving the category.","Ett fel uppstod vid sparande av kategorin."
"Please select products for attributes update.","Välj produkter för attribut-uppdatering."
"Please make sure to define SKU values for all processed products.","Kontrollera att alla bearbetade produkter har ett artikelnummer."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Något gick fel vid uppdatering av attribut på produkt(er)."
"Unable to add attribute","Det gick inte att lägga till attribut"
"Please, specify attributes","Please, specify attributes"
"Catalog","Katalog"
"Manage Product Attributes","Hantera produktattribut"
"We can't delete the attribute.","Vi kan inte ta bort attributet."
"You deleted the product attribute.","Du tog bort produktattributet."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"This attribute no longer exists.","Detta attribut finns inte längre."
"This attribute cannot be edited.","Detta attribut kan inte redigeras."
"Edit Product Attribute","Redigera produktattribut"
"An attribute set named '%1' already exists.","Ett attribut som heter '%1' finns redan."
"Something went wrong while saving the attribute.","Något gick fel när attributet sparades."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","Vi kan inte uppdatera attributet."
"You saved the product attribute.","Du sparade produktens attribut."
"An attribute with this code already exists.","Ett attribut med denna kod existerar redan."
"An attribute with the same code (%1) already exists.","Ett attribut med samma kod (%1) existerar redan."
"The value of Admin must be unique.","Värdet för Admin måste vara unikt."
"The value of Admin scope can't be empty.","Värdet för Admin scope kan inte vara tomt."
"You duplicated the product.","Du duplicerade produkten"
"This product doesn't exist.","Denna produkt existerar inte."
"Invalid product id. Should be numeric value greater than 0","Ogiltigt produkt-id. Bör vara ett numeriskt värde större än 0"
"Products","Produkter"
"A group with the same name already exists.","En grupp med samma namn existerar redan."
"Something went wrong while saving this group.","Något gick fel :) när denna grupp sparades."
"A total of %1 record(s) have been deleted.","Totalt %1 uppgift(er) har blivit borttagna."
"A total of %1 record(s) have been updated.","Ett total av %1 uppgift(er) har blivit uppdaterade."
"Something went wrong while updating the product(s) status.","Något gick fel under uppdateringen av produkt(ernas) status."
"Unable to save product","Unable to save product"
"You saved the product.","Du sparade produkten."
"SKU for product %1 has been changed to %2.","SKU för produkt %1 har ändrats till %2."
"The image cannot be removed as it has been assigned to the other image role","Bilden kan inte tas bort då den har blivit tillförd till den andra bildens roll."
"New Attribute Set","Ny attributgrupp "
"The attribute set has been removed.","Attributgruppen har blivit raderad."
"We can't delete this set right now.","We can't delete this set right now."
"New Set","Ny grupp"
"Manage Product Sets","Redigera produktgrupper"
"Manage Attribute Sets","Redigera attributgrupper"
"This attribute set no longer exists.","Detta attribut existerar inte längre."
"You saved the attribute set.","Du sparade attributgruppen."
"Something went wrong while saving the attribute set.","Något gick fel när attributgruppen sparades."
"You added product %1 to the comparison list.","Du har lagt till produkt %1 till jämförelselistan."
"You cleared the comparison list.","Du rensade jämförelselistan."
"Something went wrong  clearing the comparison list.","Något gick fel när jämförelselistan rensades. "
"You removed product %1 from the comparison list.","Du tog bort produkt %1 från jämförelselistan."
"1 item","1 artikel"
"%1 items","%1 artiklar"
"Are you sure you want to remove this item from your Compare Products list?","Är du säker på att du vill ta bort objektet från Jämförelselistan?"
"Are you sure you want to remove all items from your Compare Products list?","Är du säker på att du vill ta bort alla objekt från Jämförelselistan?"
"Invalid attribute %1","Ogiltigt attribut %1"
"Grid","Rutnät"
"List","Listvy"
"All","Alla"
"Bad controller interface for showing product","Bad controller interface for showing product"
"Product is not loaded","Produkten är inte laddad."
"Make sure the To Date is later than or the same as the From Date.","Försäkra att Till datumet är senare eller detsamma som Från datumet."
"Sorry, but we can't find the new parent category you selected.","Sorry, but we can't find the new parent category you selected."
"Sorry, but we can't find the new category you selected.","Sorry, but we can't find the new category you selected."
"We can't move the category because the parent category name matches the child category name.","We can't move the category because the parent category name matches the child category name."
"Something went wrong while getting the image url.","Något gick fel när bild urlen hämtades."
"Can't delete root category.","Kan inte ta bort rotkategorin."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"No layout updates","Inga layout uppdateringar"
"Products only","Endast produkter"
"Static block only","Endast statiska block"
"Static block and products","Statiska block och produkter"
"Please select a static block.","Vänligen välj ett statiskt block."
"frontend_label","Frontend_märkning"
"Could not save product ""%1"" with position %2 to category %3","Kunde inte spara produkt ""%1"" med position %2 till kategori %3"
"Category does not contain specified product","Category does not contain specified product"
"Could not save product ""%product"" with position %position to category %category","Kunde inte spara produkten ""%product"" med poistion %position till kategorin %category"
"Operation do not allow to move a parent category to any of children category","Operationen tillåter inte förflyttning till en föräldrar kategori av någon barn kategori"
"Could not move category","Kunde inte flytta kategorin"
"Could not save category: %1","Kunde inte spara kategori: %1"
"Cannot delete category with id %1","Kan inte radera kategorin med id %1"
"-- Please Select a Category --","-- Vänligen välj en kategori --"
"Grid Only","Endast Rutnät"
"List Only","Endast lista"
"Grid (default) / List","Rutnät (standard) / Lista"
"List (default) / Grid","Lista (standard) / Rutnät"
"Automatic (equalize price ranges)","Automatisk (Jämna ut pris spannet)"
"Automatic (equalize product counts)","Automatisk (jämna ut produkt count)"
"Manual","Manuellt"
"Fixed","Fast"
"Percent","Procent"
"Discount","Rabatt"
"-- Please select --","--Vänligen välj--"
