"Root","ルート"
"Delete","削除"
"Save","保存"
"Use Config Settings","設定を使用"
"Use All Available Attributes","全ての利用可能な属性で使用する"
"ID","ID"
"Name","名前"
"SKU","商品番号"
"Visibility","表示"
"Status","ステータス"
"Price","価格"
"Position","おすすめ"
"Add Subcategory","サブカテゴリを追加"
"Add Root Category","ルートカテゴリを追加"
"Day","日"
"Month","月"
"Year","年"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>から</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>まで</span></label>"
"[GLOBAL]","[グローバル]"
"[WEBSITE]","[ウェブサイト]"
"[STORE VIEW]","[ストアビュー]"
"WYSIWYG Editor","WYSIWYGエディタ"
"Add Product","新規商品の追加"
"label","ラベル"
"Product Attributes","商品属性"
"Add New Attribute","新しい属性を追加"
"Cancel","キャンセル"
"Save Attribute","属性保存"
"Save in New Attribute Set","新しい属性セットに保存"
"Enter Name for New Attribute Set","新しい属性セットのために名前入力"
"Save and Continue Edit","保存して編集を続ける"
"Delete Attribute","属性を削除"
"Edit Product Attribute ""%1""","製品属性 ""%1"" を編集"
"New Product Attribute","新規商品属性"
"Advanced Attribute Properties","拡張属性プロパティ"
"Attribute Code","属性コード"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","これは内部用です。スペースまたは%1シンボル以上を使わないようにしてください。"
"Default Value","標準の値"
"Unique Value","一意な値"
"Unique Value (not shared with other products)","一意な値 (他の商品と共有しない)"
"Not shared with other products.","他の属性と共有しない。"
"Input Validation for Store Owner","管理画面で値チェックを行う"
"Add to Column Options","カラムオプションに追加"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","""はい"" を選択してこの属性を製品グリッド内のカラムオプションのリストに追加。"
"Use in Filter Options","フィルターオプション内で使用"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","""はい"" を選択してこの属性を製品グリッド内のフィルターオプションのリストに追加。"
"Store View","ストアビュー"
"Website","ウェブサイト"
"Global","グローバル"
"Scope","スコープ"
"Declare attribute value saving scope.","属性の値を保存するスコープを定義します。"
"Storefront Properties","ストアフロントプロパティ"
"Use in Search","検索で使用"
"Visible in Advanced Search","詳細検索で表示する"
"Comparable on Storefront","比較リストで使用"
"Use for Promo Rule Conditions","プロモーションルールの条件で使用する"
"Enable WYSIWYG","WYSIWYGエディタを有効にする"
"Allow HTML Tags on Storefront","HTMLタグをストアフロントにて許可"
"Visible on Catalog Pages on Storefront","ストアフロントのカタログページで表示"
"Used in Product Listing","商品リスト表示で使用する"
"Depends on design theme.","デザインテーマに依存"
"Used for Sorting in Product Listing","商品リスト表示の並べ替え順で使用する"
"Media Image","メディアイメージ"
"Gallery","ギャラリー"
"System Properties","システムプロパティ"
"No","No"
"Yes","Yes"
"Data Type for Saving in Database","データベースに保存するデータタイプ"
"Text","テキスト"
"Varchar","varchar"
"Static","固定"
"Datetime","日時"
"Decimal","10進数"
"Integer","整数"
"Globally Editable","全体で編集可能"
"Attribute Information","属性情報"
"Properties","プロパティ"
"Manage Labels","ラベル管理"
"Visible","表示"
"Web Site","ウェブサイト"
"Searchable","検索可能"
"Comparable","比較可能"
"Delete Selected Group","選択したグループの削除"
"Add New","新規作成"
"Back","戻る"
"Reset","リセット"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","この属性セットの全ての商品を削除しようとしています。本当に実行しますか？"
"New Set Name","新規セット名"
"Edit Attribute Set '%1'","属性セット編集 '%1'"
"Empty","空"
"Add Attribute","属性の追加"
"Add New Group","新規グループの追加"
"Add Group","グループの追加"
"Edit Attribute Set Name","属性セット名を編集"
"For internal use","内部用"
"Based On","基準にするフォーム"
"Add New Attribute Set","新規属性の追加"
"Add Attribute Set","属性セット追加"
"Attribute Sets","属性セット"
"Close Window","ウインドウを閉じる"
"New Product","新規商品"
"Save & Edit","保存 & 編集"
"Save & New","保存 & 新規作成"
"Save & Duplicate","保存 & 複製"
"Save & Close","保存と終了"
"Attributes","属性"
"Change","変更"
"Advanced Inventory","拡張在庫設定"
"Websites","ウェブサイト"
"Products Information","商品情報"
"Create Category","カテゴリ作成"
"Category Name","カテゴリ名"
"Parent Category","親カテゴリ"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","カスタム親カテゴリがない場合、デフォルトの親カテゴリを使用してください。 <a href=""%1"" target=""_blank"">Products >カテゴリにていつでもカテゴリを再度アサインできます。</a>."
"Price Alert Subscriptions","価格アラート購読"
"Stock Alert Subscriptions","在庫アラート購読"
"There are no customers for this alert.","このアラートに顧客は登録されていません。"
"First Name","名"
"Last Name","姓"
"Email","Eメール"
