"Root","Raíz"
"Delete","Borrar"
"Save","Guardar"
"Use Config Settings","Usar opciones de configuración"
"Use All Available Attributes","Utilizar todos los atributos disponibles"
"ID","ID"
"Name","Nombre"
"SKU","SKU"
"Visibility","Visibilidad"
"Status","Estado"
"Price","Precio"
"Position","Posición"
"Add Subcategory","Añadir subcategoría"
"Add Root Category","Añadir categoría raíz"
"Day","Día"
"Month","Mes"
"Year","Año"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[PÁGINA WEB]"
"[STORE VIEW]","[VISTA DE TIENDA]"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Añadir producto"
"label","etiqueta"
"Product Attributes","Atributos del producto"
"Add New Attribute","Añadir nuevo atributo"
"Cancel","Cancelar"
"Save Attribute","Guardar atributo"
"Save in New Attribute Set","Guardar el conjunto de atributos"
"Enter Name for New Attribute Set","Ingresar el nombre para el nuevo conjunto de atributos"
"Save and Continue Edit","Guardar y continuar editando"
"Delete Attribute","Eliminar atributo"
"Edit Product Attribute ""%1""","Editar atributo del producto ""%1"""
"New Product Attribute","Nuevo atributo de producto"
"Advanced Attribute Properties","Propiedades de atributo avanzado"
"Attribute Code","Código de atributo"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Se utiliza internamente. Asegúrate de no utilizar espacios o más de %1 símbolos."
"Default Value","Valor predeterminado"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (no compartido con otros productos)"
"Not shared with other products.","No se comparte con otros productos."
"Input Validation for Store Owner","Validación de entrada para el propietario de la tienda"
"Add to Column Options","Añadir a las opciones de columna"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Selecciona ""Sí"" para agregar este atributo a la lista de opciones de la columna en la cuadrícula de productos."
"Use in Filter Options","Uso de opciones de filtro"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Selecciona ""Sí"" para agregar este atributo a la lista de opciones de filtro en la cuadrícula de productos."
"Store View","Vista de la tienda"
"Website","Sitio web"
"Global","Global"
"Scope","Alcance"
"Declare attribute value saving scope.","Determinar el área de almacenamiento de los valores del atributo."
"Storefront Properties","Propiedades de visualización"
"Use in Search","Usar en búsqueda"
"Visible in Advanced Search","Visible en búsqueda avanzada"
"Comparable on Storefront","Comparable en tienda"
"Use for Promo Rule Conditions","Utilizar para condiciones de reglas de promoción"
"Enable WYSIWYG","Enable WYSIWYG"
