"Root","Bază"
"Delete","șterge"
"Save","Salvare"
"Use Config Settings","Folosiți setări de configurare"
"Use All Available Attributes","Folosiți toate atributele disponibile"
"ID","ID"
"Name","Numeric"
"SKU","Cod"
"Visibility","Vizibilitate"
"Status","Statut"
"Price","Preț"
"Position","Poziție"
"Add Subcategory","Adăugați subcategorie"
"Add Root Category","Adăugați categorie de bază"
"Day","Zi"
"Month","Lună"
"Year","anulat"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VIZUALIZARE MAGAZIN]"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Adăugați produs"
"label","Etichetare"
"Product Attributes","Atribute produs"
"Add New Attribute","Adăugați atribut nou"
"Cancel","anulați"
"Save Attribute","Salvați atribut"
"Save in New Attribute Set","Salvați în Set de atribute nou"
"Enter Name for New Attribute Set","Introduceți numele pentru Setul de atribute nou"
"Save and Continue Edit","Salvați și continuați editarea"
"Delete Attribute","ștergeți atribut"
"Edit Product Attribute ""%1""","Modificați atribut produs ""%1"""
"New Product Attribute","Atribut produs nou"
"Advanced Attribute Properties","Proprietăți avansate atribut"
"Attribute Code","Cod atribut nevalid"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Acesta este folosit intern. Asigurați-vă că nu folosiți spații sau mai mult de %1 simboluri."
"Default Value","Valoare implicită"
"Unique Value","Valoare unică"
"Unique Value (not shared with other products)","Valoare unică (nepartajată cu alte produse)"
"Not shared with other products.","Not shared with other products."
"Input Validation for Store Owner","Validare input pentru proprietarul de magazin"
"Add to Column Options","Adăugați la opțiuni de coloană"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Selectați ""Da"" pentru a adăuga acest atribut la lista de opțiuni coloană în grila de produse."
"Use in Filter Options","Folosiți în opțiuni de filtrare"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Selectați ""Da"" pentru a adăuga acest atribut la lista de opțiuni de filtrare în grila de produse."
"Store View","Vizualizare magazin"
"Website","Website"
"Global","Global"
"Scope","Domeniu"
"Declare attribute value saving scope.","Declare attribute value saving scope."
"Storefront Properties","Proprietăți Vitrină"
"Use in Search","Folosiți în căutare"
"Visible in Advanced Search","Vizibil în căutare avansată"
"Comparable on Storefront","Comparabil la virtrină"
"Use for Promo Rule Conditions","Folosiți pentru condițiile regulii de reclamă"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","Permiteți etichete HTML Tags în vitrină"
"Visible on Catalog Pages on Storefront","Vizibil în paginile de catalog din vitrină"
"Used in Product Listing","Folosit în listarea produsului"
