"Root","Rod"
"Delete","Slet"
"Save","Gem"
"Use Config Settings","Brug Konfigurationsindstillinger"
"Use All Available Attributes","Bruge alle tilgængelige attributter"
"ID","ID"
"Name","Navn"
"SKU","Varenummer"
"Visibility","Visibilitet"
"Status","Status"
"Price","Pris"
"Position","Placering"
"Add Subcategory","Tilføj underkategori"
"Add Root Category","Tilføje rod kategori"
"Day","Dag"
"Month","Måned"
"Year","År"
"<label class=""label""><span>from</span></label>","<label class=""etiket""> <span>fra</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""etiket""> <span>fra</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[BUTIK VISNING]"
"WYSIWYG Editor","WYSIWYG Editor"
"Add Product","Tilføj produkt"
"label","etikette "
"Product Attributes","Produktattributter"
"Add New Attribute","Tilføj ny attribut"
"Cancel","Annuller"
"Save Attribute","Gem attribut"
"Save in New Attribute Set","Gem i nyt attributsæt"
"Enter Name for New Attribute Set","Angiv navn til nyt attributsæt"
"Save and Continue Edit","Gem og fortsæt redigering"
"Delete Attribute","Slet attributten"
"Edit Product Attribute ""%1""","Rediger produkt attributten ""%1"""
"New Product Attribute","Ny produkt attribut"
"Advanced Attribute Properties","Egenskaber for avancerede attributter"
"Attribute Code","Attribut kode"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dette bruges internt. Kontroller, at du ikke bruger mellemrum eller mere end %1 symboler."
"Default Value","Standardværdi"
"Unique Value","Unik værdi"
"Unique Value (not shared with other products)","Unik værdi (ikke delt med andre produkter)"
"Not shared with other products.","Ikke delt med andre produkter."
"Input Validation for Store Owner","Input validering for butiksejeren"
"Add to Column Options","Tilføj til kolonne muligheder"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Vælg ""Ja"" for at tilføje denne attribut på listen over Kolonneindstillinger for i gitteret produkt."
"Use in Filter Options","Brug filterindstillingerne"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Vælg ""Ja"" for at tilføje denne attribut på listen over Kolonneindstillinger for produkt grid."
"Store View","Butiksvisning"
"Website","Hjemmeside"
"Global","Global"
"Scope","Anvendelsesområde"
"Declare attribute value saving scope.","Fastlæg attribut værdi for at bevare rækkevidde."
"Storefront Properties","Egenskaber for butiksforside"
"Use in Search","Brug i søgning"
"Visible in Advanced Search","Synlige i avanceret søgning"
"Comparable on Storefront","Sammenlignelig på butiks forside"
"Use for Promo Rule Conditions","Til brug for Promo regler"
"Enable WYSIWYG","Aktiver WYSIWYG"
"Allow HTML Tags on Storefront","Tillad HTML Tags på Butiksforside"
"Visible on Catalog Pages on Storefront","Synlig på Katalog side på Butiks forside"
"Used in Product Listing","Brugt på Produktlister"
"Depends on design theme.","Afhænger af designtema."
"Used for Sorting in Product Listing","Brugt til at sortere Produktlister"
"Media Image","Media billede"
"Gallery","Galleri"
"System Properties","System egenskaber"
"No","Nej"
"Yes","Ja"
"Data Type for Saving in Database","Arkiverings data type i Database"
"Text","Tekst"
"Varchar","Varchar"
"Static","Statisk"
"Datetime","DatoTid"
"Decimal","Decimal"
"Integer","Heltal"
"Globally Editable","Kan redigeres globalt"
"Attribute Information","Atribut information"
"Properties","Egenskaber"
"Manage Labels","Håndter etiketter"
"Visible","Synlig"
"Web Site","Hjemmeside"
"Searchable","Søgbar"
"Comparable","Sammenlignelige"
"Delete Selected Group","Slet valgt gruppe"
"Add New","Tilføj Ny"
"Back","Tilbage"
"Reset","Nulstil"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Du er ved at slette alle produkter med denne attribut indstilling. Er du sikker på du vil gøre dette?"
"New Set Name","Nyt set navn"
"Edit Attribute Set '%1'","Rediger egenskabet '%1'"
"Empty","Tom"
"Add Attribute","Tilføj egenskab"
"Add New Group","Tilføj ny gruppe"
"Add Group","Tilføj gruppe"
"Edit Attribute Set Name","Rediger egenskaben Set navn"
"For internal use","Til intern brug"
"Based On","Baseret på"
"Add New Attribute Set","Tilføj nyt set egenskaber"
"Add Attribute Set","Tilføj sæt egenskaber"
"Attribute Sets","Egenskabs sæt"
"Close Window","Luk vindue"
"New Product","Nyt produkt"
"Save & Edit","Gem & Rediger"
"Save & New","Gem & ny"
"Save & Duplicate","Gem & dupliker"
"Save & Close","Gem & luk"
"Attributes","Attributter"
"Change","Skift"
"Advanced Inventory","Avanceret lager"
"Websites","Hjemmesider"
"Products Information","Produkt information"
"Create Category","Opret kategori"
"Category Name","Kategorinavn"
"Parent Category","Overordnet kategori"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Hvis der er ingen brugerdefinerede overordnede kategorier, skal du bruge den standard overordnede kategori. Du kan tildele kategorien til enhver tid i <a href=""%1"" target=""_blank""> produkter > kategorier</a>."
"Price Alert Subscriptions","Abonner på prisadvarsler"
"Stock Alert Subscriptions","Abonner på lager advarsler"
"There are no customers for this alert.","Der findes ingen kunder til denne advarsel."
"First Name","Fornavn"
"Last Name","Efternavn"
"Email","E-mail"
"Subscribe Date","Abonnements dato"
"Last Notified","Anvist senest"
"Send Count","Send optælling"
"New Attribute","Ny attribut"
"Type","Type"
"Attribute Set","Attributssæt"
"Add New Option","Tilføje nye indstilling"
"Import Options","Importindstillinger"
"Use Default","Brug standard"
"Import","Import"
"Add New Row","Tilføj ny række"
"Delete Row","Slet række"
"Tier Pricing","Tier prissætning"
"Default Price","Standardpris"
"All Websites","Alle Websites"
"ALL GROUPS","ALLE GRUPPER"
"Add Price","Tilføj pris"
"Default Values","Standardværdi"
"Related Products","Relaterede produkter"
"Up-sells","Op-sælge"
"Cross-sells","Kryds-salg"
"Size for %1","Størrelse for %1"
"Watermark File for %1","Vandmærke fil til %1"
"Position of Watermark for %1","Placeringen af vandmærket til %1"
"Name in %1","Navn i %1"
"Quantity","Antal"
"Edit","Redigér"
"Are you sure?","Er du sikker?"
"Change Status","Skift Status"
"Update Attributes","Opdater attributter"
"start typing to search category","begynd at skrive for at søge kategori"
"New Category","Ny Kategori"
"Images (.gif, .jpg, .png)","Billeder (.gif, .jpg, .png)"
"Add New Images","Tilføj Nyt Billede"
"Inc. Tax","Inkl. moms"
"Does this have a weight?","Har dette en vægt?"
"Product","Produkt"
"Notify Low Stock RSS","Advisér Lavt Lager RSS"
"Low Stock Products","Lavt lager produkter"
"%1 has reached a quantity of %2.","%1 har nået et antal %2."
"Home","Forsiden"
"Go to Home Page","Gå til forsiden"
"Subscribe to RSS Feed","Abonnér på RSS Feed"
"Products Comparison List","Produkt sammenlignings liste"
"N/A","N/A"
"AM","AM"
"PM","PM"
"-- Please Select --","-- Vælg venligst --"
"None","Ingen"
"New Products from %1","Nye produkter fra %1"
"New Products","Nye produkter"
"%1 - Special Products","%1 - specielle produkter"
"Click for price","Klik for pris"
"Special Expires On: %1","Specialtilbud udløber på: %1"
"Price: %1","Pris: %1"
"Special Price: %1","Special Pris: %1"
"Special Products","Special produkter"
"Manage Catalog Categories","Administrer katalog kategorier"
"Manage Categories","Administrer kategorier"
"You deleted the category.","Du har slettet kategorien."
"Something went wrong while trying to delete the category.","Noget gik galt under forsøget på at slette kategorien."
"Categories","Kategorier"
"Category is not available for requested store.","Kategorien er ikke tilgængelig for den ønskede butik."
"There was a category move error.","Der opstod en kategori flyt fejl."
"You moved the category.","Du har flyttet kategorien."
"Attribute ""%1"" is required.","Attributten ""%1"" er påkrævet."
"You saved the category.","Du har gemt kategorien."
"Something went wrong while saving the category.","Noget gik galt med at gemme kategorien."
"Please select products for attributes update.","Vælg produkter til opdatering af attributter."
"Please make sure to define SKU values for all processed products.","Sørg for at definere SKU værdier for alle forarbejdede produkter."
"A total of %1 record(s) were updated.","Ialt %1 post(er) blev opdateret."
"Something went wrong while updating the product(s) attributes.","Noget gik galt under opdatering af produkt(ernes) attributter."
"Unable to add attribute","Kunne ikke tilføje attributten"
"Please, specify attributes","Angiv attributter"
"Catalog","Katalog"
"Manage Product Attributes","Administrere produktattributterne"
"We can't delete the attribute.","Vi kan ikke slette attributten."
"You deleted the product attribute.","Du slettede produkt attributten."
"We can't find an attribute to delete.","Vi kan ikke finde en attribut til at slette."
"This attribute no longer exists.","Denne attribut eksisterer ikke længere."
"This attribute cannot be edited.","Denne attribut kan ikke redigeres."
"Edit Product Attribute","Redigere produkt attribut"
"An attribute set named '%1' already exists.","En attribut med navnet '%1' allerede findes."
"Something went wrong while saving the attribute.","Noget gik galt da attributten skulle gemmes."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attributten koden ""%1"" er ugyldig. Brug venligst kun bogstaver (a-z), tal (0-9) eller understregning (_) i dette felt. Første tegn skal være et bogstav."
"We can't update the attribute.","Vi kan ikke opdatere attributten."
"You saved the product attribute.","Du gemte produkt attributten."
"An attribute with this code already exists.","Der findes allerede en attribut med denne kode."
"An attribute with the same code (%1) already exists.","Der findes allerede en attribut med den samme kode (%1)."
"The value of Admin must be unique.","Værdien af Admin skal være entydigt."
"The value of Admin scope can't be empty.","Værdien af Admin område må ikke være tom."
"You duplicated the product.","Du duplikerede produktet."
"This product doesn't exist.","Dette produkt findes ikke."
"Invalid product id. Should be numeric value greater than 0","Ugyldigt produkt id. Skal være numerisk værdi større end 0"
"Products","Produkter"
"A group with the same name already exists.","Der findes allerede en gruppe med samme navn."
"Something went wrong while saving this group.","Noget gik galt under arkivering af denne gruppe."
"A total of %1 record(s) have been deleted.","I alt %1 post(er) er blevet slettet."
"A total of %1 record(s) have been updated.","Ialt %1 post(er) er blevet slettet."
"Something went wrong while updating the product(s) status.","Noget gik galt under opdatering af produkt(ers) status."
"Unable to save product","Kunne ikke gemme produkt"
"You saved the product.","Du gemte produktet."
"SKU for product %1 has been changed to %2.","SKU for produkt %1 er blevet ændret til %2."
"The image cannot be removed as it has been assigned to the other image role","Billedet kan ikke fjernes, da det er blevet tildelt til andre billede"
"New Attribute Set","Ny attributs sæt"
"The attribute set has been removed.","Attribut sættet er blevet fjernet."
"We can't delete this set right now.","Vi kan ikke slette dette sæt lige nu."
"New Set","Nyt sæt"
"Manage Product Sets","Administrere produkt sæt"
"Manage Attribute Sets","Administrere attribut sæt"
"This attribute set no longer exists.","Denne attribut eksisterer ikke længere."
"You saved the attribute set.","Du gemte attribut sættet."
"Something went wrong while saving the attribute set.","Noget gik galt arkivering af attribut sættet."
"You added product %1 to the comparison list.","Du tilføjede produkt %1 til sammenlignings listen."
"You cleared the comparison list.","Du ryddede sammenlignings listen."
"Something went wrong  clearing the comparison list.","Noget gik galt under rensning af sammenligningslisten."
"You removed product %1 from the comparison list.","Du fjernet produkt %1 fra sammenlignings listen."
"1 item","1 vare"
"%1 items","%1 varer"
"Are you sure you want to remove this item from your Compare Products list?","Er du sikker på, du vil fjerne denne vare fra sammenligningen?"
"Are you sure you want to remove all items from your Compare Products list?","Vil du fjerne alle produkter fra listen over sammenligne produkter?"
"Invalid attribute %1","Ugyldig attribut %1"
"Grid","Gitter"
"List","Liste"
"All","Alle"
"Bad controller interface for showing product","Problematisk controller interface til at vise produktet"
"Product is not loaded","Produktet er ikke indlæst"
"Make sure the To Date is later than or the same as the From Date.","Sørg for, at datoen er senere end eller den samme som fra-dato."
"Sorry, but we can't find the new parent category you selected.","Beklager, men vi kan ikke finde den nye overordnede kategori du har valgt."
"Sorry, but we can't find the new category you selected.","Beklager, men vi kan ikke finde den nye kategori du har valgt."
"We can't move the category because the parent category name matches the child category name.","Vi kan ikke flytte kategorien, fordi det overordnede kategorinavn matcher underkategoriens navn."
"Something went wrong while getting the image url.","Noget gik galt under hentning af billedets webadresse."
"Can't delete root category.","Kan ikke slette rod kategori."
"The value of attribute ""%1"" must be unique.","Værdien af attributten ""%1"" skal være entydigt."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Standard produkt liste sortering, findes ikke i den tilgængelige Produkt Liste sorteret efter."
