"Root","Raiz"
"Delete","Excluir"
"Save","Salvar"
"Use Config Settings","Usar Configurações padrão"
"Use All Available Attributes","Usar todos os atributos disponíveis"
"ID","ID"
"Name","Nome"
"SKU","Código de Produto:"
"Visibility","Visibilidade"
"Status","Situação"
"Price","Preço"
"Position","Posição"
"Add Subcategory","Adicionar Subcategoria"
"Add Root Category","Adicionar Categoria Raiz"
"Day","Dia"
"Month","Mês"
"Year","Ano"
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>de</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""> <span>para</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISÃO DE LOJA]"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Adicionar produto"
"label","rótulo"
"Product Attributes","Atributos de Produto"
"Add New Attribute","Adicionar Novo Atributo"
"Cancel","Cancelar"
"Save Attribute","Salvar Atributo"
"Save in New Attribute Set","Salvar no novo atributo"
"Enter Name for New Attribute Set","Insira o Nome para o Novo Conjunto de Atributos"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Delete Attribute","Excluir Atributo"
"Edit Product Attribute ""%1""","Editar o atributo do produto ""%1"""
"New Product Attribute","Novo Atributo de Produto"
"Advanced Attribute Properties","Propriedades de Atributo Avançado"
"Attribute Code","Código do Atributo"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Isso é usado internamente. Certifique-se de que você não use espaços ou mais de %1 símbolo(s)."
"Default Value","Valor Padrão"
"Unique Value","Valor Único"
"Unique Value (not shared with other products)","Valor Único (não compartilhado com outros produtos)"
"Not shared with other products.","Não compartilhado com outros produtos."
"Input Validation for Store Owner","Campo de Validação para o dono da loja"
"Add to Column Options","Adicionar a coluna de opções"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Selecione ""Sim"" para adicionar esse atributo para a lista de opções de coluna na grade de produto."
"Use in Filter Options","Uso em opções de filtro"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Selecione ""Sim"" para adicionar esse atributo para a lista de opções de filtro na grade de produto."
"Store View","Visão de Loja"
"Website","Website"
"Global","Todas as Lojas"
"Scope","Escopo"
"Declare attribute value saving scope.","Declarar o escopo do do armazenamento do valor do atributo."
"Storefront Properties","Propriedades da Loja"
"Use in Search","Uso em Pesquisa"
"Visible in Advanced Search","Visível na pesquisa avançada"
"Comparable on Storefront","Comparável na Loja"
"Use for Promo Rule Conditions","Uso para condições de regra de Promoções"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Allow HTML Tags on Storefront","Permitir Tags HTML na loja"
"Visible on Catalog Pages on Storefront","Visível nas páginas do catálogo da loja"
"Used in Product Listing","Usado na listagem de produtos"
"Depends on design theme.","Depende do design do tema."
"Used for Sorting in Product Listing","Usado para ordenação na listagem de produtos"
"Media Image","Mídia de Imagem"
"Gallery","Galeria"
"System Properties","Propriedades do sistema"
"No","Não"
"Yes","Sim"
"Data Type for Saving in Database","Tipo de dados para salvar no banco de dados"
"Text","Texto"
"Varchar","Varchar"
"Static","Estático"
"Datetime","Data e Hora"
"Decimal","Decimal"
"Integer","Inteiro"
"Globally Editable","Globalmente editável"
"Attribute Information","Informações de atributo"
"Properties","Propriedades"
