"Root","Hlavný"
"Delete","Zmazať"
"Save","Uložiť"
"Use Config Settings","Použiť nastavenie konfirurácie"
"Use All Available Attributes","Použiť všetky dostupné atribúty"
"ID","ID"
"Name","Meno"
"SKU","Katalógové číslo"
"Visibility","Viditeľnosť"
"Status","Stav"
"Price","Cena"
"Position","Pozícia"
"Add Subcategory","Pridať podkategóriu"
"Add Root Category","Pridať základnú kategóriu"
"Day","Deň"
"Month","Mesiac"
"Year","Rok"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"WYSIWYG Editor","WYSIWYG Editor"
"Add Product","Pridať produkt"
"label","štítok"
"Product Attributes","Atribúty produktu"
"Add New Attribute","Pridať nový atribút"
"Cancel","Zrušiť"
"Save Attribute","Uložiť atribút"
"Save in New Attribute Set","Uložiť novú Sadu atribútov"
"Enter Name for New Attribute Set","Zadať meno pre novú sadu atribútov"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Delete Attribute","Odstrániť atribút"
"Edit Product Attribute ""%1""","Upraviť atribút produktu ""%1"""
"New Product Attribute","Nový atribút produktu"
"Advanced Attribute Properties","Pokročílé vlastnosti atribútu"
"Attribute Code","Kód atribútu"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Toto sa používa interne. Uistite sa, že nepoužívate medzery alebo viac ako %1 symbol(ov)."
"Default Value","Predvolená hodnota"
"Unique Value","Jedinečná hodnota"
"Unique Value (not shared with other products)","Jedinečná hodnota (nezdieľa sa s ostatnými produktmi)"
"Not shared with other products.","Nezdiela sa s ostatnými produktmi."
"Input Validation for Store Owner","Vstupné overenie pre majiteľa obchodu"
"Add to Column Options","Pridať mezi parametre na výpise"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Vyberte ""Áno"" pre pridanie tohtoto atribútu do zoznamu parametrov vo výpise produktov."
"Use in Filter Options","Použitelné vo filtrovaní"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Vyberte ""Áno"" pre použite tohoto atribútu ako parametera podľa ktorého bude možné filtrovať výpis produktov."
"Store View","Zobrazenie obchodu"
"Website","Webová stránka"
"Global","Globálne"
"Scope","Objektív"
"Declare attribute value saving scope.","Deklarovať objektív uloženia hodnoty atribútu."
"Storefront Properties","Vlastnosti obchodu"
"Use in Search","Použiť vo vyhľadávaní"
"Visible in Advanced Search","Zobraziť na stránke pokročilé vyhľadávanie"
"Comparable on Storefront","Možné zobraziť pre porovnanie"
"Use for Promo Rule Conditions","Použit ako podmienku Promo pravidla"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","Povoliť HTML tagy v obchode"
"Visible on Catalog Pages on Storefront","Viditeľné na Katalóg stránok v obchode"
"Used in Product Listing","Použiť vo výpise produktov"
"Depends on design theme.","Závisí od dizajnu motívu."
"Used for Sorting in Product Listing","Použitelné na triedenie výpisu produktov"
"Media Image","Obrázok medií"
"Gallery","Galéria"
"System Properties","Vlastnosti systému"
"No","Nie"
"Yes","Áno"
"Data Type for Saving in Database","Dátový typ pre uloženie v databázi"
"Text","Text"
"Varchar","Reťazec"
"Static","Statická"
"Datetime","Dátum a čas"
"Decimal","Desatinné"
"Integer","Celé číslo"
"Globally Editable","Globálne upravitelné"
"Attribute Information","Informácie atribútu"
"Properties","Vlastnosti"
"Manage Labels","Spravovať štítky"
"Visible","Viditeľné"
"Web Site","Webstránka"
"Searchable","Hladateľné"
"Comparable","Porovnateľné"
