"Root","Ρίζα"
"Delete","Διαγραφή"
"Save","Αποθήκευση"
"Use Config Settings","Χρήση Ρυθμίσεων Παραμέτρων"
"Use All Available Attributes","Χρήση όλων των διαθέσιμων χαρακτηριστικών"
"ID","ID"
"Name","Όνομα"
"SKU","Κωδικός"
"Visibility","Ορατότητα"
"Status","Κατάσταση"
"Price","Τιμή"
"Position","Θέσης"
"Add Subcategory","Προσθήκη Υποκατηγορίας"
"Add Root Category","Προσθήκη Κύριας Κατηγορίας"
"Day","Ημέρα"
"Month","Μήνας"
"Year","Έτος"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>από</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>σε</span></label>"
"[GLOBAL]","[ΚΑΘΟΛΙΚΟ]"
"[WEBSITE]","[ΙΣΤΟΤΟΠΟΣ]"
"[STORE VIEW]","[ΠΡΟΒΟΛΗ ΚΑΤΑΣΤΗΜΑΤΟΣ]"
"WYSIWYG Editor","WYSIWYG Συντάκτης"
"Add Product","Προσθήκη Προϊόντος"
"label","ετικέτα"
"Product Attributes","Χαρακτηριστικά Προϊόντος"
"Add New Attribute","Προσθέστε Νέο Χαρακτηριστικό"
"Cancel","Άκυρο"
"Save Attribute","Αποθήκευση Χαρακτηριστικού"
"Save in New Attribute Set","Αποθήκευση σε νέο σύνολο χαρακτηριστικών"
"Enter Name for New Attribute Set","Εισάγετε όνομα για το νέο σύνολο χαρακτηριστικών"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Delete Attribute","Διαγραφή Χαρακτηριστικού"
"Edit Product Attribute ""%1""","Επεξεργασία Χαρακτηριστικού Προϊόντος ""%1"""
"New Product Attribute","Νέο Χαρακτηριστικό Προϊόντος"
"Advanced Attribute Properties","Προηγμένες Επιλογές Χαρακτηριστικού"
"Attribute Code","Κωδικός χαρακτηριστικού"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Αυτό χρησιμοποιείται εσωτερικά. Βεβαιωθείτε ότι δεν χρησιμοποιείτε διαστήματα ή περισσότερο(α) από %1 σύμβολο(α)."
"Default Value","Προεπιλεγμένη τιμή"
"Unique Value","Μοναδική τιμή"
"Unique Value (not shared with other products)","Μοναδική τιμή (όχι από κοινού με άλλα προϊόντα)"
"Not shared with other products.","Δεν μοιράζεται με άλλα προϊόντα."
"Input Validation for Store Owner","Επικύρωση Εισαγωγής για τον Ιδιοκτήτη Καταστήματος"
"Add to Column Options","Προσθήκη στις επιλογές στήλης"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Επιλέξτε ""Ναι"" για να προσθέσετε αυτό το χαρακτηριστικό στη λίστα επιλογών στήλης στο πλέγμα προϊόντων."
"Use in Filter Options","Χρήση στις Επιλογές του Φίλτρου"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Επιλέξτε ""Ναι"" για να προσθέσετε αυτό το χαρακτηριστικό στη λίστα επιλογών του φίλτρου στο πλέγμα προϊόντων."
"Store View","Προβολή Καταστήματος"
"Website","Ιστοσελίδα"
"Global","Παγκόσμια"
"Scope","Πεδίο εφαρμογής"
"Declare attribute value saving scope.","Δηλώστε την τιμή χαρακτηριστικού πεδίου εξοικονόμησης."
"Storefront Properties","Ιδιότητες Βιτρίνας Καταστήματος"
"Use in Search","Χρήση στην Αναζήτηση"
"Visible in Advanced Search","Ορατό στη Σύνθετη Αναζήτηση"
"Comparable on Storefront","Συγκρίσιμο σε Βιτρίνα Καταστήματος"
"Use for Promo Rule Conditions","Χρήση για Συνθήκες Κανόνα Promo"
"Enable WYSIWYG","Ενεργοποίηση WYSIWYG"
"Allow HTML Tags on Storefront","Επιτρέψτε τις Ετικέτες HTML σε Βιτρίνα Καταστήματος"
"Visible on Catalog Pages on Storefront","Ορατό σε Σελίδες Καταλόγου για Βιτρίνα Καταστήματος"
"Used in Product Listing","Χρησιμοποιείται σε Λίστα Προϊόντων"
