"Root","जड़"
"Delete","हटाएँ"
"Save","सहेजें"
"Use Config Settings","कॉन्फ़िगरेशन सेटिंग्स का उपयोग करें"
"Use All Available Attributes","सभी उपलब्ध विशेषताओं का उपयोग करें"
"ID","आईडी"
"Name","नाम"
"SKU","SKU"
"Visibility","दृश्यता"
"Status","स्थिति"
"Price","मूल्य"
"Position","पद"
"Add Subcategory","उपश्रेणी जोड़ें"
"Add Root Category","रूट श्रेणी जोड़ें"
"Day","दिन"
"Month","महीना"
"Year","साल"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[वैश्विक]"
"[WEBSITE]","[वेबसाइट]"
"[STORE VIEW]","[स्टोर दृश्य]"
"WYSIWYG Editor","WYSIWYG संपादक"
"Add Product","उत्पाद जोड़ें"
"label","लेबल"
"Product Attributes","उत्पाद विशेषताएं"
"Add New Attribute","नई विशेषता जोड़ें"
"Cancel","रद्द करें"
"Save Attribute","सेव सेव"
"Save in New Attribute Set","नई विशेषता सेट में सहेजें"
"Enter Name for New Attribute Set","नए गुण सेट के लिए नाम दर्ज करें"
"Save and Continue Edit","सहेजें और संपादित करना जारी रखें"
"Delete Attribute","विशेषता हटाएँ"
"Edit Product Attribute ""%1""","उत्पाद गुण संपादित करें ""%1"""
"New Product Attribute","नई उत्पाद विशेषता"
"Advanced Attribute Properties","उन्नत गुण गुण"
"Attribute Code","विशेषता कोड"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","यह आंतरिक रूप से उपयोग किया जाता है। सुनिश्चित करें कि आप रिक्त स्थान या %1 से अधिक प्रतीकों का उपयोग नहीं करते हैं।"
"Default Value","डिफ़ॉल्ट मान"
"Unique Value","अनोखा मूल्य"
"Unique Value (not shared with other products)","अद्वितीय मान (अन्य उत्पादों के साथ साझा नहीं)"
"Not shared with other products.","अन्य उत्पादों के साथ साझा नहीं किया गया।"
"Input Validation for Store Owner","स्टोर मालिक के लिए इनपुट सत्यापन"
"Add to Column Options","कॉलम विकल्प में जोड़ें"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","उत्पाद ग्रिड में कॉलम विकल्पों की सूची में इस विशेषता को जोड़ने के लिए ""हां"" चुनें।"
"Use in Filter Options","फ़िल्टर विकल्पों में उपयोग करें"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","उत्पाद ग्रिड में फ़िल्टर विकल्पों की सूची में इस विशेषता को जोड़ने के लिए ""हां"" चुनें।"
"Store View","स्टोर दृश्य"
"Website","वेबसाइट"
"Global","वैश्विक"
"Scope","क्षेत्र"
"Declare attribute value saving scope.","डिक्लेयर एट्रीब्यूट वैल्यू सेविंग स्कोप।"
"Storefront Properties","स्टोरफ्रंट गुण"
"Use in Search","खोज में उपयोग करें"
"Visible in Advanced Search","उन्नत खोज में दिखाई देता है"
"Comparable on Storefront","स्टोरफ्रंट पर तुलनीय"
"Use for Promo Rule Conditions","प्रोमो नियम शर्तों के लिए उपयोग करें"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","दृश्यपटल पर HTML टैग्स की अनुमति"
"Visible on Catalog Pages on Storefront","स्टोरफ्रंट पर कैटलॉग पेज पर दिखाई देता है"
"Used in Product Listing","उत्पाद सूचीकरण में प्रयुक्त"
"Depends on design theme.","डिजाइन विषय पर निर्भर करता है।"
"Used for Sorting in Product Listing","उत्पाद सूचीकरण में छंटाई के लिए उपयोग किया जाता है"
"Media Image","मीडिया इमेज"
"Gallery","गेलरी"
"System Properties","प्रणाली के गुण"
"No","नहीं"
