"Root","Корень"
"Delete","Удалить"
"Save","Сохранить"
"Use Config Settings","Использовать Настройки Конфигурации"
"Use All Available Attributes","Используйте Все Доступные Функции"
"ID","Идентификатор"
"Name","Название"
"SKU","Артикул"
"Visibility","Видимость"
"Status","Статус"
"Price","Цена"
"Position","Позиция"
"Add Subcategory","Добавить подкатегорию"
"Add Root Category","Добавить корневую категорию"
"Day","День"
"Month","Месяц"
"Year","Год"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>от</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>для</span></label>"
"[GLOBAL]","[ГЛОБАЛЬНО]"
"[WEBSITE]","[САЙТ]"
"[STORE VIEW]","[Представление магазина]"
"WYSIWYG Editor","WYSIWYG редактор"
"Add Product","Добавить товар"
"label","метка"
"Product Attributes","Атрибуты товара"
"Add New Attribute","Добавить новый атрибут"
"Cancel","Отмена"
"Save Attribute","Сохранить атрибут"
"Save in New Attribute Set","Сохранить в новом наборе атрибутов"
"Enter Name for New Attribute Set","Введите имя для нового набора атрибутов"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Delete Attribute","Удалить атрибут"
"Edit Product Attribute ""%1""","Редактировать атрибут продукта ""%1"""
"New Product Attribute","Новый атрибут продукта"
"Advanced Attribute Properties","Расширенные свойства атрибута"
"Attribute Code","Код атрибута"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","This is used internally. Make sure you don't use spaces or more than %1 symbols."
"Default Value","Значение по умолчанию"
"Unique Value","Уникальное значение"
"Unique Value (not shared with other products)","Уникальное значение (не совместно с другими товарами)"
"Not shared with other products.","Не совместно с другими товарами."
"Input Validation for Store Owner","Проверка ввода для владельца магазина"
"Add to Column Options","Добавить в параметры столбца"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Выберите ""Да"", чтобы добавить этот атрибут в список параметров столбца в сетке товара."
"Use in Filter Options","Использование в параметрах фильтра"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Выберите ""Да"", чтобы добавить этот атрибут в список параметров фильтра в сетке товара."
"Store View","Представление магазина"
"Website","Веб-сайт"
"Global","Глобальнo"
"Scope","Область видимости"
"Declare attribute value saving scope.","Объявление атрибута значение экономии масштабов."
"Storefront Properties","Свойства витрины"
"Use in Search","Использовать в поиске по сайту"
"Visible in Advanced Search","Видимый в расширенном поиске"
"Comparable on Storefront","Сопоставимый на витрине"
"Use for Promo Rule Conditions","Использование условий правила Promo"
"Enable WYSIWYG","Включить визуальный редактор"
"Allow HTML Tags on Storefront","Разрешить HTML-теги на Витрине"
"Visible on Catalog Pages on Storefront","Отображается на Страницах Каталога на Витрине"
"Used in Product Listing","Использовалось в Товарном Списке"
"Depends on design theme.","Зависит от темы дизайна."
"Used for Sorting in Product Listing","Используется для Сортировки Товарного Списка"
"Media Image","Медиа Изображение"
"Gallery","Галерея"
"System Properties","Свойства системы"
"No","Нет"
"Yes","Да"
"Data Type for Saving in Database","Тип данных для сохранения в базе данных"
"Text","Текст"
"Varchar","Varchar"
"Static","Статический"
"Datetime","Datetime"
"Decimal","Десятичное число"
"Integer","Целое число"
"Globally Editable","Глобально редактируемые"
"Attribute Information","Информация об атрибуте"
"Properties","Свойства"
"Manage Labels","Управление ярлыками"
"Visible","Видимый"
"Web Site","Веб-сайт"
"Searchable","Включить в поиск по сайту"
"Comparable","Включить в сравнение"
"Delete Selected Group","Удалить выбранную группу"
"Add New","Добавить новый"
"Back","Назад"
"Reset","Сбросить"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Вы собираетесь удалить все товары в этом наборе атрибутов. Вы уверены, что хотите это сделать?"
"New Set Name","Новый набор атрибутов"
"Edit Attribute Set '%1'","Редактировать набор атрибутов '%1'"
"Empty","Пустой"
"Add Attribute","Добавить атрибут"
"Add New Group","Добавить новую группу"
"Add Group","Добавить группу"
"Edit Attribute Set Name","Изменить имя набора атрибутов"
"For internal use","Для внутреннего использования"
"Based On","Основано на"
"Add New Attribute Set","Добавить новый набор атрибутов"
"Add Attribute Set","Добавить набор атрибутов"
"Attribute Sets","Набор атрибутов"
"Close Window","Закрыть окно"
"New Product","Новый товар"
"Save & Edit","Сохранить & Редактировать"
"Save & New","Сохранить и создать"
"Save & Duplicate","Сохранить и дублировать"
"Save & Close","Сохранить и закрыть"
"Attributes","Атрибуты"
"Change","Изменить"
"Advanced Inventory","Расширенный инвентарь"
"Websites","Веб-сайты"
"Products Information","Информация о продуктах"
"Create Category","Создать категорию"
"Category Name","Название категории"
"Parent Category","Родительская категория"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Если нет настраиваемых родительских категорий, используйте родительскую категорию по умолчанию. Вы можете переназначить категорию в любое время в <a href=""%1"" target=""_blank"">Продукты> Категории</a>."
"Price Alert Subscriptions","Оповещения по подписки цен"
"Stock Alert Subscriptions","Оповещения по подписки на склад"
"There are no customers for this alert.","Нет клиентов для этого оповещения."
"First Name","Имя"
"Last Name","Фамилия"
"Email","Электронная почта"
"Subscribe Date","Дата подписания"
"Last Notified","Последние уведомление"
"Send Count","Отправить счет"
"New Attribute","Новый атрибут"
"Type","Тип"
"Attribute Set","Набор атрибутов"
