"Europe First Priority","Europa första prioritet"
"1 Day Freight","1 dagsfrakt"
"2 Day Freight","2 dagars frakt"
"2 Day","2 dagars"
"2 Day AM","2 Day AM"
"3 Day Freight","3-dagars frakt"
"Express Saver","Express Saver"
"Ground","Marken"
"First Overnight","Prioritet över natten"
"Home Delivery","Hemleverans"
"International Economy","Internationell ekonomi"
"Intl Economy Freight","Intl ekonomi frakt"
"International First","Internationella först"
"International Ground","Internationell mark"
"International Priority","Internationella först"
"Intl Priority Freight","Internationell prioriterad frakt"
"Priority Overnight","Prioritet över natten"
"Smart Post","Smarta inlägg"
"Standard Overnight","Standard över natten"
"Freight","Frakt"
"National Freight","Nationella godstransporter"
"Regular Pickup","Regelbunden avhämtning"
"Request Courier","Begär Transportör"
"Drop Box","Drop Box"
"Business Service Center","Business Service Center"
"Station","Position"
"FedEx Envelope","FedEx kuvert"
"FedEx Pak","FedEx Pak"
"FedEx Box","FedEx Box"
"FedEx Tube","FedEx Tube"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"Your Packaging","Your Packaging"
"Not Required","Not Required"
"Adult","Vuxen"
"Direct","Direkt"
"Indirect","Indirect"
"Pounds","Pounds"
"Kilograms","Kg"
"Invalid response from carrier","Invalid response from carrier"
"No available tracking items","No available tracking items"
"For some reason we can't retrieve tracking info right now.","For some reason we can't retrieve tracking info right now."
"status","status"
"Empty response","Tomt svar"
"None","Inga"
"Field ","Fält "
" is required."," är obligatoriskt."
"FedEx","FedEx"
"Enabled for Checkout","Enabled for Checkout"
"Title","Titel"
"Account ID","Konto-ID"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Meter Number","Meter Number"
"Key","Key"
"Password","Lösenord"
"Sandbox Mode","Sandbox Mode"
"Web-Services URL (Production)","Web-Services URL (Production)"
"Web-Services URL (Sandbox)","Web-Services URL (Sandbox)"
"Packages Request Type","Packages Request Type"
"Packaging","Packaging"
"Dropoff","Dropoff"
"Weight Unit","Viktenhet"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Applied","Handling Applied"
"Handling Fee","Handling Fee"
"Residential Delivery","Residential Delivery"
"Allowed Methods","Tillåtna metoder"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","Fältet används om metoden Smart Post är markerad."
"Free Method","Free Method"
"Enable Free Shipping Threshold","Enable Free Shipping Threshold"
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Debug","Felsök"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sorteringsordning"
"Expected Delivery:","Expected Delivery:"
