"Europe First Priority","Европа с първи приоритет"
"1 Day Freight","1 ден транспорт"
"2 Day Freight","2 дни транспорт"
"2 Day","2 дни"
"2 Day AM","2 ч. преди обяд"
"3 Day Freight","3 дни транспорт"
"Express Saver","Express Saver"
"Ground","Земя"
"First Overnight","Първа нощувка"
"Home Delivery","Доставка до дома"
"International Economy","Международна икономична"
"Intl Economy Freight","Интернационален икономичен транспорт"
"International First","Първо международен"
"International Ground","Международна земя"
"International Priority","Международен приоритет"
"Intl Priority Freight","Международен приоритетен товар"
"Priority Overnight","Приоритет през нощта"
"Smart Post","Умна поща"
"Standard Overnight","Стандартни през нощта"
"Freight","Транспорт(Товар)"
"National Freight","Национален транспорт"
"Regular Pickup","Редовно взимане"
"Request Courier","Заявка на куриер"
"Drop Box","Падащо поле"
"Business Service Center","Център за бизнес услуги"
"Station","Станция"
"FedEx Envelope","FedEx плик"
"FedEx Pak","FedEx пак"
"FedEx Box","FedEx кутия"
"FedEx Tube","FedEx тръба"
"FedEx 10kg Box","FedEx 10 кг кутия"
"FedEx 25kg Box","FedEx 25 кг кутия"
"Your Packaging","Ваша опаковка"
"Not Required","Не се изисква"
"Adult","Възрастен"
"Direct","Директен"
"Indirect","Недиректен"
"Pounds","Паунди"
"Kilograms","Килограми"
"Invalid response from carrier","Невалиден отговор от превозвач"
"No available tracking items","Няма налични елементи за проследяване"
"For some reason we can't retrieve tracking info right now.","По някаква причина не може да извлече информация за проследяване точно сега."
"status","статус"
"Empty response","Празен отговор"
"None","Никакъв"
"Field ","Поле "
" is required."," е задължително."
"FedEx","FedEx"
"Enabled for Checkout","Разрешен за поръчка"
"Title","Заглавиe"
"Account ID","ИД на акаунт"
"Please make sure to use only digits here. No dashes are allowed.","Моля не забравяйте да използвате само цифри тук. Тирета не са разрешени."
"Meter Number","Номер на метър"
"Key","Ключ"
"Password","Парола"
"Sandbox Mode","Sandbox режим"
"Web-Services URL (Production)","URL адрес на уеб-услуги (производство)"
"Web-Services URL (Sandbox)","URL адрес на уеб-услуги (Пясъчник)"
"Packages Request Type","Тип на пакети"
"Packaging","Опаковка"
"Dropoff","Връщане"
"Weight Unit","Единица мярка за тегло"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Максималното тегло на пакет (моля консултирайте се с вашия превозвач за максимално допустимото тегло)"
"Calculate Handling Fee","Изчисляване на такса за обработване"
"Handling Applied","Приложена обработка"
"Handling Fee","Такса за обработване"
"Residential Delivery","Жилищна доставка"
"Allowed Methods","Разрешени методи"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","Полето е приложимо ако е избран метод за Smart пост."
"Free Method","Свободен метод"
"Enable Free Shipping Threshold","Разреши праг на свободна доставка"
"Free Shipping Amount Threshold","Праг на сумата за безплатна доставка"
"Displayed Error Message","Показаното е съобщение за грешка"
"Ship to Applicable Countries","Доставка до приложимите страни"
"Ship to Specific Countries","Доставка до конкретни страни"
"Debug","Дебъг"
"Show Method if Not Applicable","Покажи метод, ако не са приложими"
"Sort Order","Ред на сортиране"
"Expected Delivery:","Очаквана доставка:"
