"Europe First Priority","Prioritas Pertama Eropa"
"1 Day Freight","1 Hari Pengiriman"
"2 Day Freight","2 Hari Pengiriman"
"2 Day","2 Hari"
"2 Day AM","2 Hari AM"
"3 Day Freight","3 Hari Pengiriman"
"Express Saver","Express Saver"
"Ground","Tanah"
"First Overnight","Pertama Semalam"
"Home Delivery","Pengiriman ke Rumah"
"International Economy","Ekonomi Internasional"
"Intl Economy Freight","Internasional Ekonomi Angkutan"
"International First","Internasional Pertama"
"International Ground","Internasional Tanah"
"International Priority","Prioritas Internasional"
"Intl Priority Freight","Intl Prioritas Angkutan"
"Priority Overnight","Prioritas Semalam"
"Smart Post","Smart Pos"
"Standard Overnight","Standar Semalam"
"Freight","Barang"
"National Freight","Nasional barang"
"Regular Pickup","Biasa Pickup"
"Request Courier","Permintaan Kurir"
"Drop Box","Drop Box"
"Business Service Center","Layanan Bisnis Di Pusat"
"Station","Stasiun"
"FedEx Envelope","FedEx Amplop"
"FedEx Pak","FedEx Pak"
"FedEx Box","Kotak FedEx"
"FedEx Tube","FedEx Tabung"
"FedEx 10kg Box","FedEx 10kg Kotak"
"FedEx 25kg Box","FedEx 25kg Kotak"
"Your Packaging","Kemasan anda"
"Not Required","Tidak Diperlukan"
"Adult","Dewasa"
"Direct","Langsung"
"Indirect","Tidak langsung"
"Pounds","Pound"
"Kilograms","Kilogram"
"Invalid response from carrier","Tidak ada respon pembawa"
"No available tracking items","Tidak tersedia pelacakan item"
"For some reason we can't retrieve tracking info right now.","For some reason we can't retrieve tracking info right now."
"status","status"
"Empty response","Respon kosong"
"None","Kosong"
"Field ","Bidang "
" is required."," di perlukan."
"FedEx","FedEx"
"Enabled for Checkout","Diaktifkan untuk Periksa"
"Title","Judul"
"Account ID","ID Akun"
"Please make sure to use only digits here. No dashes are allowed.","Pastikan untuk hanya menggunakan digit di sini. Tidak ada garis yang diizinkan."
"Meter Number","Nomor Meter"
"Key","Kunci"
"Password","Sandi"
"Sandbox Mode","Mode Sandbox"
"Web-Services URL (Production)","Web-Jasa URL (Produksi)"
"Web-Services URL (Sandbox)","Web-Jasa URL (Sandbox)"
"Packages Request Type","Jenis Permintaan Paket"
"Packaging","Kemasan"
"Dropoff","Penurunan"
"Weight Unit","Satuan berat"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksimum Berat Paket (Silahkan konsultasikan dengan operator pelayaran untuk maksimum didukung berat pengiriman)"
"Calculate Handling Fee","Menghitung biaya penanganan"
"Handling Applied","Penanganan terapan"
"Handling Fee","Biaya penanganan"
"Residential Delivery","Perumahan Pengiriman"
"Allowed Methods","Metode yang diizinkan"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","Bidang ini berlaku jika Smart Pos metode yang dipilih."
"Free Method","Cara bebas"
"Enable Free Shipping Threshold","Aktifkan ambang batas untuk pengiriman gratis"
"Free Shipping Amount Threshold","Ambang batas pengiriman gratis"
"Displayed Error Message","Tampilkan pesan kesalahan"
"Ship to Applicable Countries","Kirim ke Negara yang Berlaku"
"Ship to Specific Countries","Kirim ke Negara Tertentu"
"Debug","Menulusuri"
"Show Method if Not Applicable","Tampilkan metode jika tidak diberlakukan"
"Sort Order","Urutan"
"Expected Delivery:","Expected Delivery:"
