"Europe First Priority","Prioritas Pertama Eropa"
"1 Day Freight","1 hari pengiriman"
"2 Day Freight","Pengiriman 2 hari"
"2 Day","2 hari"
"2 Day AM","2 hari AM"
"3 Day Freight","Pengiriman 3 hari"
"Express Saver","Express Saver"
"Ground","Tanah"
"First Overnight","Pertama semalam"
"Home Delivery","Pengiriman rumah"
"International Economy","Ekonomi Internasional"
"Intl Economy Freight","Intl Ekonomi Pengangkutan"
"International First","Internasional Pertama"
"International Ground","Lapangan internasional"
"International Priority","Prioritas Internasional"
"Intl Priority Freight","Intl Prioritas Kargo"
"Priority Overnight","Prioritas Semalam"
"Smart Post","Pos cerdas"
"Standard Overnight","Standar Bermalam"
"Freight","Kargo"
"National Freight","Pengangkutan Nasional"
"Regular Pickup","Penjemputan Reguler"
"Request Courier","Permintaan kurir"
"Drop Box","Kotak drop"
"Business Service Center","Pusat Layanan Bisnis"
"Station","Stasiun"
"FedEx Envelope","Amplop FedEx"
"FedEx Pak","FedEx Pak"
"FedEx Box","Kotak FedEx"
"FedEx Tube","Tabung FedEx"
"FedEx 10kg Box","Kotak FedEx 10kg"
"FedEx 25kg Box","Kotak FedEx 25kg"
"Your Packaging","Kemasan Anda"
"Not Required","Tidak dibutuhkan"
"Adult","Dewasa"
"Direct","Langsung"
"Indirect","Tidak langsung"
"Pounds","Pounds"
"Kilograms","Kilogram"
"Invalid response from carrier","Jawaban yang tidak benar dari kurir"
"No available tracking items","Tidak ada item pelacakan yang tersedia"
"For some reason we can't retrieve tracking info right now.","Untuk beberapa alasan kami tidak dapat mengambil info pelacakan sekarang."
"status","status"
"Empty response","Respon kosong"
"None","Tidak ada"
"Field ","Bidang "
" is required."," dibutuhkan."
"FedEx","FedEx"
"Enabled for Checkout","Diaktifkan untuk Checkout"
"Title","Judul"
"Account ID","ID Akun"
"Please make sure to use only digits here. No dashes are allowed.","Pastikan hanya menggunakan angka di sini. Tidak ada tanda hubung yang diizinkan."
"Meter Number","Nomor meter"
"Key","Kunci"
"Password","Kata sandi"
"Sandbox Mode","Mode Sandbox"
"Web-Services URL (Production)","URL Layanan Web (Produksi)"
"Web-Services URL (Sandbox)","URL Layanan Web (Kotak Pasir)"
"Packages Request Type","Jenis Permintaan Paket"
"Packaging","Pengemasan"
"Dropoff","Penurunan"
"Weight Unit","Satuan berat"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Berat Paket Maksimum (Silakan berkonsultasi dengan operator pengiriman Anda untuk berat pengiriman maksimum yang didukung)"
"Calculate Handling Fee","Hitung Biaya Penanganan"
"Handling Applied","Penanganan Terapan"
"Handling Fee","Biaya penanganan"
"Residential Delivery","Pengiriman barang"
"Allowed Methods","Metode yang Diizinkan"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","Lapangan berlaku jika metode Smart Post dipilih."
"Free Method","Metode gratis"
"Enable Free Shipping Threshold","Aktifkan Ambang Batas Pengiriman Gratis"
"Free Shipping Amount Threshold","Ambang Batas Pengiriman Gratis"
"Displayed Error Message","Muncul pesan galat"
"Ship to Applicable Countries","Kirimkan ke Negara yang Berlaku"
"Ship to Specific Countries","Kirimkan ke Negara-negara Tertentu"
"Debug","Debugging"
"Show Method if Not Applicable","Tampilkan Metode jika Tidak Berlaku"
"Sort Order","Pengurutan"
"Expected Delivery:","Expected Delivery:"
