"Europe First Priority","若选择职能递送方法，该字段适用"
"1 Day Freight","1 天货运"
"2 Day Freight","2 天货运"
"2 Day","2 天"
"2 Day AM","2 日上午"
"3 Day Freight","3 天货运"
"Express Saver","表示保护程序"
"Ground","Ground"
"First Overnight","第一夜"
"Home Delivery","送货上门"
"International Economy","国际经济"
"Intl Economy Freight","国际经济货运"
"International First","国际第一"
"International Ground","国际地面"
"International Priority","国际优先事项"
"Intl Priority Freight","国际优先货运"
"Priority Overnight","隔夜优先"
"Smart Post","智能的帖子"
"Standard Overnight","标准的一夜"
"Freight","运输"
"National Freight","全国货运"
"Regular Pickup","定期的检查"
"Request Courier","要求快递"
"Drop Box","下拉框"
"Business Service Center","商务服务中心"
"Station","车站"
"FedEx Envelope","联邦快递信封"
"FedEx Pak","联邦快递包"
"FedEx Box","联邦快递的盒子"
"FedEx Tube","联邦快递管"
"FedEx 10kg Box","联邦快递 10 公斤箱"
"FedEx 25kg Box","联邦快递 25 公斤箱"
"Your Packaging","您的包装"
"Not Required","不是必需的"
"Adult","成人"
"Direct","直接"
"Indirect","间接"
"Pounds","英镑"
"Kilograms","公斤"
"Invalid response from carrier","无效的响应载体"
"No available tracking items","没有可用的跟踪项目"
"For some reason we can't retrieve tracking info right now.","出于某种原因，我们无法检索跟踪信息现在。"
"status","状态"
"Empty response","空响应"
"None","无"
"Field ","字段"
" is required.","是必需的。"
"FedEx","联邦快递"
"Enabled for Checkout","免费送货金额门槛"
"Title","标题"
"Account ID","帐户 ID"
"Please make sure to use only digits here. No dashes are allowed.","请务必只在这里使用数字。不允许有破折号。 "
"Meter Number","米数"
"Key","密钥"
"Password","密码"
"Sandbox Mode","沙盒模式"
"Web-Services URL (Production)","Web 服务 URL (生产)"
"Web-Services URL (Sandbox)","Web 服务 URL (沙盒)"
"Packages Request Type","包请求类型"
"Packaging","包装"
"Dropoff","摘下"
"Weight Unit","重量单位"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","最大包装重量（请参阅您的航运承运人最大支持重量） "
"Calculate Handling Fee","显示不适用的方法"
"Handling Applied","处理的应用"
"Handling Fee","处理费"
"Residential Delivery","住宅交付"
"Allowed Methods","允许的方法"
"Hub ID","集线器 ID"
"The field is applicable if the Smart Post method is selected.","如果选择了智能POST方法，则该字段是适用的。 "
"Free Method","免费的方法"
"Enable Free Shipping Threshold","启用免费送货阈值"
"Free Shipping Amount Threshold","免运费金额门槛"
"Displayed Error Message","显示的错误消息"
"Ship to Applicable Countries","船舶适用的国家"
"Ship to Specific Countries","运到特定国家"
"Debug","调试"
"Show Method if Not Applicable","Show 方法不适用"
"Sort Order","排序"
"Expected Delivery:","Expected Delivery:"
