"Tax Rate Information","કર દરની માહિતી"
"Tax Identifier","કર ઓળખકર્તા"
"Zip/Post is Range","ઝિપ / પોસ્ટ રેંજ છે"
"Zip/Post Code","પિન / પોસ્ટ કોડ"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - કોઈપણ સાથે મેળ ખાય છે; 'xyz *' - 'xyz' થી શરૂ થતી અને %1 કરતા વધુ લાંબી ન હોય તેવા કોઈપણ સાથે મેળ ખાય છે."
"Range From","પ્રતિ શ્રેણી"
"Range To","શ્રેણી"
"State","રાજ્ય"
"Country","દેશ"
"Rate Percent","દર ટકા"
"Tax Titles","કર શિર્ષકો"
"Add New Tax Rate","નવો કર દર ઉમેરો"
"Back","પાછળ"
"Reset","ફરીથી સેટ કરો"
"Delete Rate","દર કાઢી નાખો"
"Are you sure you want to do this?","શું તમે ખરેખર આ કરવા માંગો છો?"
"Save Rate","દર બચાવો"
"Manage Tax Rules","કર નિયમોનું સંચાલન કરો"
"Add New Tax Rule","નવો કર નિયમ ઉમેરો"
"Save Rule","નિયમ સાચવો"
"Delete Rule","નિયમ કાઢી નાખો"
"Save and Continue Edit","સાચવો અને સંપાદન ચાલુ રાખો"
"Tax Rule Information","ટેક્સ નિયમની માહિતી"
"Name","નામ"
"Customer Tax Class","ગ્રાહક કરનો વર્ગ"
"Product Tax Class","પ્રોડક્ટ ટેક્સનો વર્ગ"
"Tax Rate","કર દર"
"Priority","પ્રાથમિકતા"
"Tax rates at the same priority are added, others are compounded.","સમાન અગ્રતા પર કરવેરા દર ઉમેરવામાં આવે છે, અન્ય સંયુક્ત હોય છે."
"Calculate Off Subtotal Only","ફક્ત પેટાસરની ગણતરી કરો"
"Sort Order","ક્રમમાં ગોઠવો"
"Do you really want to delete this tax class?","શું તમે ખરેખર આ કર વર્ગને કાઢી નાખવા માંગો છો?"
"Add New Tax Class","નવો ટેક્સ વર્ગ ઉમેરો"
"Shipping Incl. Tax (%1)","શિપિંગ ઇન્ક. કર (%1)"
"Shipping Excl. Tax (%1)","શિપિંગ એક્સ્ક્લ. કર (%1)"
"Subtotal (Excl.Tax)","પેટાસરવાળો (એક્સ્ક્લે.ટેક્સ)"
"Subtotal (Incl.Tax)","પેટાસરવાળો (Incl.Tax)"
"Shipping & Handling (Excl.Tax)","શિપિંગ અને હેન્ડલિંગ (એક્સ્ક્લ.ટેક્સ)"
"Shipping & Handling (Incl.Tax)","શિપિંગ અને હેન્ડલિંગ (Incl.Tax)"
"Grand Total (Excl.Tax)","ગ્રાંડ ટોટલ (એક્સક્લ.ટેક્સ)"
"Grand Total (Incl.Tax)","ગ્રાંડ કુલ (Incl.Tax)"
"Sales","વેચાણ"
"Tax","કર"
"Manage Tax Rates","કર દરો મેનેજ કરો"
"New Tax Rate","નવો કર દર"
"Tax Zones and Rates","ટેક્સ ઝોન અને દરો"
"We can't delete this tax rate right now.","અમે હમણાંથી આ કર દર કાઢી શકતા નથી."
"An error occurred while loading this tax rate.","આ કર દર લોડ કરતી વખતે ભૂલ આવી."
"We can't save this rate right now.","અમે અત્યારે આ દર બચાવી શકીએ નહીં."
"You deleted the tax rate.","તમે કર દર કાઢી નાખ્યો."
"We can't delete this rate because of an incorrect rate ID.","ખોટા દર ID ને કારણે અમે આ દર કાઢી શકતા નથી."
"Something went wrong deleting this rate.","આ દર કાtingી નાખવામાં કંઈક ખોટું થયું."
"Edit Tax Rate","કર દર સંપાદિત કરો"
"You saved the tax rate.","તમે કર દર બચાવ્યો છે."
"Tax Rules","કર નિયમો"
"An error occurred while loading tax rates.","કર દર લોડ કરતી વખતે એક ભૂલ આવી."
"The tax rule has been deleted.","ટેક્સનો નિયમ કાઢી નાખવામાં આવ્યો છે."
"This rule no longer exists.","આ નિયમ હવે અસ્તિત્વમાં નથી."
"Something went wrong deleting this tax rule.","આ કર નિયમ કાtingી નાખતાં કંઈક ખોટું થયું."
"New Tax Rule","નવા કરવેરાનો નિયમ"
"Edit Rule","નિયમ સંપાદિત કરો"
"New Rule","નવો નિયમ"
"You saved the tax rule.","તમે કરનો નિયમ બચાવ્યો છે."
"We can't save this tax rule right now.","અમે હમણાંથી આ કર નિયમ બચાવી શકીએ નહીં."
"Invalid name of tax class specified.","કર વર્ગનું અમાન્ય નામ ઉલ્લેખિત."
"We can't delete this tax class right now.","અમે હમણાંથી આ કર વર્ગને કાઢી શકાતા નથી."
"We can't save this tax class right now.","અમે અત્યારે આ કર વર્ગ બચાવી શકીએ નહીં."
"Make sure all required information is valid.","ખાતરી કરો કે બધી જરૂરી માહિતી માન્ય છે."
"The Rate Percent should be a positive number.","દર ટકા એક સકારાત્મક સંખ્યા હોવી જોઈએ."
"Maximum zip code length is 9.","મહત્તમ પિન કોડ લંબાઈ 9 છે."
"Use digits only for the zip code.","ફક્ત પિન કોડ માટે અંકોનો ઉપયોગ કરો."
"Range To should be equal or greater than Range From.","રેંજ ટૂ બરાબર અથવા તેના કરતા વધારે હોવી જોઈએ."
"The tax rate cannot be removed. It exists in a tax rule.","કર દર દૂર કરી શકાતો નથી. તે કરના નિયમમાં અસ્તિત્વમાં છે."
"%fieldName is a required field.","%fieldName એ આવશ્યક ક્ષેત્ર છે."
