"Tax Rate Information","Данъчна ставка информация"
"Tax Identifier","Данъчен идентификатор"
"Zip/Post is Range","Диапазон от Пощенски кодове"
"Zip/Post Code","Пощенски код"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","' *'-съвпада с някоя; 'xyz *' - съвпада с някоя, която започва на ""xyz"" и не са повече от %1."
"Range From","Варират от"
"Range To","Нареждам към"
"State","Щат"
"Country","Държава"
"Rate Percent","Процент %"
"Tax Titles","Данъчно заглавие"
"Add New Tax Rate","Добавяне на нова данъчна ставка"
"Back","Обратно"
"Reset","Изчисти"
"Delete Rate","Изтриване на курс"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Save Rate","Запишете курс"
"Manage Tax Rules","Управление на данъчните правила"
"Add New Tax Rule","Добавяне на ново правило за данък"
"Save Rule","Запиши правило"
"Delete Rule","Изтрий правилото"
"Save and Continue Edit","Запази и продължи редактиране"
"Tax Rule Information","Данъчна правило информация"
"Name","Име"
"Customer Tax Class","Данък за класификация на клиент"
"Product Tax Class","Продуктов данък клас"
"Tax Rate","Данъчна ставка"
"Priority","Приоритет"
"Tax rates at the same priority are added, others are compounded.","Данъчни ставки в същия приоритет се добавят, други са съставени."
"Calculate Off Subtotal Only","Изчисляване на междинна сума само"
"Sort Order","Ред на сортиране"
"Do you really want to delete this tax class?","Наистина ли искате да изтриете този данък клас?"
"Add New Tax Class","Добавяне на нов данък клас"
"Shipping Incl. Tax (%1)","Доставка вкл. данък (%1)"
"Shipping Excl. Tax (%1)","Доставка без ДДС (%1)"
"Subtotal (Excl.Tax)","Междинна сума"
"Subtotal (Incl.Tax)","Междинна сума "
"Shipping & Handling (Excl.Tax)","Доставка & обработка (Без ДДС)"
"Shipping & Handling (Incl.Tax)","Доставка & обработка (С ДДС)"
"Grand Total (Excl.Tax)","Обща сума (Без ДДС)"
"Grand Total (Incl.Tax)","Обща сума (Вкл ДДС)"
"Sales","Продажби"
"Tax","Данък"
"Manage Tax Rates","Управление на данъчните ставки"
"New Tax Rate","Нова данъчна ставка"
"Tax Zones and Rates","Данъчни зони и цени"
"We can't delete this tax rate right now.","Не може да изтрие тази данъчна ставка в момента."
"An error occurred while loading this tax rate.","Възникна грешка при зареждане на тази данъчна ставка."
"We can't save this rate right now.","Не може да запише този процент точно сега."
"You deleted the tax rate.","Изтрихте данъчната ставка."
"We can't delete this rate because of an incorrect rate ID.","Не може да изтрие този процент заради неправилна оценка на ID."
"Something went wrong deleting this rate.","Нещо се обърка при изтриването на този процент."
"Edit Tax Rate","Редактиране на данъчна ставка"
"You saved the tax rate.","Запазихте данъчната ставка."
"Tax Rules","Данъчни правила"
"An error occurred while loading tax rates.","Възникна грешка при зареждането на данъчните ставки."
"The tax rule has been deleted.","Правилото на данъка е изтрито."
"This rule no longer exists.","Това правило вече не съществува."
"Something went wrong deleting this tax rule.","Нещо се обърка при изтриването на правилото за този данък."
"New Tax Rule","Ново правило за данък"
"Edit Rule","Промени правило"
"New Rule","Ново правило"
"You saved the tax rule.","Записахте правилото за данъка."
"We can't save this tax rule right now.","Не може да запише този данък правило точно сега."
"Invalid name of tax class specified.","Невалидно име на данъчен клас."
"We can't delete this tax class right now.","Не може да изтрие тази данъчна ставка в момента."
"We can't save this tax class right now.","Не може да запише този данък клас точно сега."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","Диапазона трябва да бъде равен или по-голям от обхвата."
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"%fieldName is a required field.","%fieldName is a required field."
"Invalid value of ""%value"" provided for the %fieldName field.","Невалидно стойност на ""%value"" зададена от %fieldName поле."
"This class no longer exists.","Този клас вече не съществува."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Не можете да изтриете този данък клас, защото той се използва в данъчни правила. Трябва да изтриете правила, се използва в първата."
"You cannot delete this tax class because it is used in existing %1(s).","Не можете да изтриете този данък клас, защото той се използва в съществуващите %1(s)."
"Custom price if available","Потребителски цена, ако е налична"
"Original price only","Първоначалната цена само"
"Shipping Address","Адрес за доставка"
"Billing Address","Адрес за фактуриране"
"Shipping Origin","Произход на доставка"
"No (price without tax)","Няма (цена без данък)"
"Yes (only price with tax)","Да (само цена с данъчни)"
"Both (without and with tax)","И двете (без и с данъчни)"
"Invalid attribute %1","Невалиден атрибут %1"
"Code","Код"
"Invalid type supplied","Невалиден тип"
"Class name and class type","Име и тип на клас"
"No such entity with %fieldName = %fieldValue","Няма такъв субект с %fieldName = %fieldValue"
"Grand Total (Excl. Tax)","Обща сума (без ДДС)"
