"Tax Rate Information","බදු අනුපාත තොරතුරු"
"Tax Identifier","බදු හැඳුනුම්කාරකය"
"Zip/Post is Range","Zip/Post යනු පරාසයයි"
"Zip/Post Code","සිප්/තැපැල් කේතය"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - ඕනෑම දෙයකට ගැලපේ; 'xyz*' - 'xyz' මත ආරම්භ වන සහ %1ට වඩා දිගු නොවන ඕනෑම දෙයකට ගැලපේ."
"Range From","පරාසය සිට"
"Range To","පරාසය දක්වා"
"State","රජයේ"
"Country","රට"
"Rate Percent","අනුපාතය සියයට"
"Tax Titles","බදු මාතෘකා"
"Add New Tax Rate","නව බදු අනුපාතය එක් කරන්න"
"Back","ආපසු"
"Reset","යළි පිහිටුවන්න"
"Delete Rate","මකන්න අනුපාතය"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Save Rate","අනුපාතය ඉතිරි කරන්න"
"Manage Tax Rules","බදු නීති කළමනාකරණය කරන්න"
"Add New Tax Rule","නව බදු රීතියක් එක් කරන්න"
"Save Rule","රීතිය සුරකින්න"
"Delete Rule","රීතිය මකන්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Tax Rule Information","බදු රීති තොරතුරු"
"Name","නම"
"Customer Tax Class","පාරිභෝගික බදු පන්තිය"
"Product Tax Class","නිෂ්පාදන බදු පන්තිය"
"Tax Rate","බදු අනුපාතය"
"Priority","ප්රමුඛත්වය"
"Tax rates at the same priority are added, others are compounded.","එකම ප්‍රමුඛතාවයෙන් බදු අනුපාත එකතු කරනු ලැබේ, අනෙක් ඒවා සංයුක්ත වේ."
"Calculate Off Subtotal Only","උප එකතුවෙන් පමණක් ගණනය කරන්න"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Do you really want to delete this tax class?","ඔබට ඇත්තටම මෙම බදු පන්තිය මැකීමට අවශ්‍යද?"
"Add New Tax Class","නව බදු පන්තිය එක් කරන්න"
"Shipping Incl. Tax (%1)","නැව්ගත කිරීම ඇතුළුව. බදු (%1)"
"Shipping Excl. Tax (%1)","නැව්ගත කිරීම Excl. බදු (%1)"
"Subtotal (Excl.Tax)","උප එකතුව (Excl.Tax)"
"Subtotal (Incl.Tax)","උප එකතුව (බදු ඇතුළුව)"
"Shipping & Handling (Excl.Tax)","නැව්ගත කිරීම සහ හැසිරවීම (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","නැව්ගත කිරීම සහ හැසිරවීම (Tax ඇතුළුව)"
"Grand Total (Excl.Tax)","විශාල එකතුව (Excl.Tax)"
"Grand Total (Incl.Tax)","විශාල එකතුව (බදු ඇතුළුව)"
"Sales","විකුණුම්"
"Tax","බද්ද"
"Manage Tax Rates","බදු අනුපාත කළමනාකරණය කරන්න"
"New Tax Rate","නව බදු අනුපාතය"
"Tax Zones and Rates","බදු කලාප සහ අනුපාත"
"We can't delete this tax rate right now.","අපට දැන් මෙම බදු අනුපාතය මැකිය නොහැක."
"An error occurred while loading this tax rate.","මෙම බදු අනුපාතය පූරණය කිරීමේදී දෝෂයක් සිදු විය."
"We can't save this rate right now.","අපට දැන් මෙම අනුපාතය ඉතිරි කළ නොහැක."
"You deleted the tax rate.","ඔබ බදු අනුපාතය මකා ඇත."
"We can't delete this rate because of an incorrect rate ID.","වැරදි ගාස්තු හැඳුනුම්පතක් නිසා අපට මෙම අනුපාතය මැකිය නොහැක."
"Something went wrong deleting this rate.","මෙම අනුපාතය මකා දැමීමේදී යම් දෙයක් වැරදී ඇත."
"Edit Tax Rate","බදු අනුපාතය සංස්කරණය කරන්න"
"You saved the tax rate.","ඔබ බදු අනුපාතය ඉතිරි කළා."
"Tax Rules","බදු නීති"
"An error occurred while loading tax rates.","බදු අනුපාත පූරණය කිරීමේදී දෝෂයක් සිදු විය."
"The tax rule has been deleted.","බදු රීතිය ඉවත් කර ඇත."
"This rule no longer exists.","මෙම රීතිය තවදුරටත් නොපවතී."
"Something went wrong deleting this tax rule.","මෙම බදු රීතිය මකා දැමීමේදී යම් දෙයක් වැරදී ඇත."
"New Tax Rule","නව බදු නීතිය"
"Edit Rule","රීතිය සංස්කරණය කරන්න"
"New Rule","නව රීතිය"
"You saved the tax rule.","ඔබ බදු රීතිය සුරැකුවා."
"We can't save this tax rule right now.","අපිට දැන් මේ බදු නීතිය සුරැකිය නොහැක."
"Invalid name of tax class specified.","නිශ්චිතව දක්වා ඇති බදු පන්තියේ වලංගු නොවන නම."
"We can't delete this tax class right now.","අපට දැන් මෙම බදු පන්තිය මැකිය නොහැක."
"We can't save this tax class right now.","අපට දැන් මෙම බදු පන්තිය සුරැකිය නොහැක."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","සිට පරාසය දක්වා සමාන හෝ වැඩි විය යුතුය."
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"%fieldName is a required field.","%fieldName is a required field."
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldName ක්ෂේත්‍රය සඳහා සපයා ඇති ""%අගය"" හි වලංගු නොවන අගයක්."
"This class no longer exists.","මෙම පන්තිය තවදුරටත් නොපවතී."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","එය බදු රීති වල භාවිතා වන නිසා ඔබට මෙම බදු පන්තිය මැකිය නොහැක. ඔබ මුලින්ම එය භාවිතා කරන නීති මකා දැමිය යුතුය."
"You cannot delete this tax class because it is used in existing %1(s).","පවතින %1(ය) හි භාවිතා වන නිසා ඔබට මෙම බදු පන්තිය මැකිය නොහැක."
"Custom price if available","තිබේ නම් අභිරුචි මිල"
"Original price only","මුල් මිල පමණි"
"Shipping Address","බෙදාහැරීමේ ලිපිනය"
"Billing Address","බිල්පත් ලිපිනය"
"Shipping Origin","නැව්ගත කිරීමේ සම්භවය"
"No (price without tax)","නැත (බදු රහිත මිල)"
"Yes (only price with tax)","ඔව් (බදු සහිත මිල පමණි)"
"Both (without and with tax)","දෙකම (බදු නොමැතිව සහ සමඟ)"
"Invalid attribute %1","වලංගු නොවන ගුණාංගය %1"
"Code","කේතය"
"Invalid type supplied","වලංගු නොවන වර්ගයක් සපයා ඇත"
"Class name and class type","පන්තියේ නම සහ පන්ති වර්ගය"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue සමඟ එවැනි ආයතනයක් නැත"
"Grand Total (Excl. Tax)","විශාල එකතුව (බදු හැර)"
"Grand Total (Incl. Tax)","විශාල එකතුව (බදු ඇතුළුව)"
"Shipping (Excl. Tax)","නැව්ගත කිරීම (බදු හැර)"
"Shipping (Incl. Tax)","නැව්ගත කිරීම (බදු ඇතුළුව)"
"Subtotal (Excl. Tax)","උප එකතුව (බදු හැර)"
"Subtotal (Incl. Tax)","උප එකතුව (බදු ඇතුළුව)"
"Subtotal","උප එකතුව"
"Unit Price","ඒකක මිල"
"Row Total","පේළි එකතුව"
"Total","සමස්ත"
"Before Discount","වට්ටම් කිරීමට පෙර"
"After Discount","වට්ටම් පසු"
"Excluding Tax","බදු හැර"
"Including Tax","බදු ඇතුළුව"
"None","කිසිවක් නැත"
