"Tax Rate Information","Vergi Oranı Bilgisi"
"Tax Identifier","Vergi Tanımlayıcısı"
"Zip/Post is Range","Zip/Posta Kdu Aralığı"
"Zip/Post Code","Posta Kodu"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - herhangi biriyle eşleşir; 'xyz *' - 'xyz'de başlayan ve %1'den daha uzun olmayan herhangi biriyle eşleşir."
"Range From","Aralık Başlangıcı"
"Range To","Aralık Sonu"
"State","Eyalet"
"Country","Ülke"
"Rate Percent","Oran Yüzdesi"
"Tax Titles","Vergi Başlıkları"
"Add New Tax Rate","Yeni Vergi Oranı Ekle"
"Back","Geri"
"Reset","Sıfırla"
"Delete Rate","Oranı Sil"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Save Rate","Oranı Kaydet"
"Manage Tax Rules","Vergi Kurallarını Yönet"
"Add New Tax Rule","Yeni Vergi Kuralı Ekle"
"Save Rule","Kuralı Kaydet"
"Delete Rule","Kural sil"
"Save and Continue Edit","Kaydet ve Devam Et"
"Tax Rule Information","Vergi Kuralı Bilgisi"
"Name","Adı"
"Customer Tax Class","Müşteri Vergi Sınıfı"
"Product Tax Class","Ürün Vergi Sınıfı"
"Tax Rate","Vergi Oran"
"Priority","Öncelik"
"Tax rates at the same priority are added, others are compounded.","Aynı önemdeki vergi oranları eklendi, diğerleri birleştirildi."
"Calculate Off Subtotal Only","Sadece Ara Toplamı Hesapla"
"Sort Order","Sıralama"
"Do you really want to delete this tax class?","Bu vergi sınıfını gerçekten silmek istiyor musunuz?"
"Add New Tax Class","Yeni Vergi Sınıfı Ekle"
"Shipping Incl. Tax (%1)","Nakliye KDV dahil (%1)"
"Shipping Excl. Tax (%1)","Nakliye KDV hariç (%1)"
"Subtotal (Excl.Tax)","Ara Toplam (Vergi Hariç)"
"Subtotal (Incl.Tax)","Ara Toplam (Vergi Dahil)"
