"Tax Rate Information","Údaje sazby"
"Tax Identifier","Identifikátor DPH"
"Zip/Post is Range","PSČ je rozsahem"
"Zip/Post Code","PSČ"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - odpovídá všem; 'xyz*' - odpovídá všem začínajícím 'xyz' a kratším než %1 znaků."
"Range From","V rozsahu od"
"Range To","V rozsahu do"
"State","Kraj / region"
"Country","Země"
"Rate Percent","Procentuální sazba"
"Tax Titles","Název DPH"
"Add New Tax Rate","Přidat novou sazbu DPH"
"Back","Zpět"
"Reset","Obnovit"
"Delete Rate","Odstranit sazbu"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Save Rate","Uložit sazbu"
"Manage Tax Rules","Správa pravidel DPH"
"Add New Tax Rule","Přidat nové pravidlo DPH"
"Save Rule","Uložit pravidlo"
"Delete Rule","Odstranit pravidlo"
"Save and Continue Edit","Použít"
"Tax Rule Information","Údaje pravidla"
"Name","Jméno"
"Customer Tax Class","Třída zákazníka"
"Product Tax Class","Třída produktu"
"Tax Rate","Sazba DPH"
"Priority","Priorita"
"Tax rates at the same priority are added, others are compounded.","Sazby DPH ve stejné prioritě se přidávají, ostatní se kombinují."
"Calculate Off Subtotal Only","Vypnout výpočet pouze mezisoučtu"
"Sort Order","Řadit podle"
"Do you really want to delete this tax class?","Skutečně chcete tuto třídu odstranit?"
"Add New Tax Class","Přidat novou třídu"
"Shipping Incl. Tax (%1)","Přepravné s DPH (%1)"
"Shipping Excl. Tax (%1)","Přepravné bez DPH (%1)"
"Subtotal (Excl.Tax)","Mezisoučet (bez DPH)"
"Subtotal (Incl.Tax)","Mezisoučet (s DPH)"
"Shipping & Handling (Excl.Tax)","Přepravné & balné (bez DPH)"
"Shipping & Handling (Incl.Tax)","Přepravné & balné (s DPH)"
"Grand Total (Excl.Tax)","Celkem k úhradě (bez DPH)"
"Grand Total (Incl.Tax)","Celkem k úhradě (s DPH)"
"Sales","Prodej"
"Tax","DPH"
"Manage Tax Rates","Správa DPH sazeb"
"New Tax Rate","Nová sazba DPH"
"Tax Zones and Rates","Sazby DPH a pásma"
"We can't delete this tax rate right now.","Tuto sazbu DPH momentálně nelze odstranit."
"An error occurred while loading this tax rate.","Při načítání této sazby DPH nastala chyba."
"We can't save this rate right now.","Tuto sazbu DPH momentálně nelze uložit."
"You deleted the tax rate.","Sazba DPH byla odstraněna."
"We can't delete this rate because of an incorrect rate ID.","Z důvodu nesprávného ID byla tato sazba DPH odstraněna."
"Something went wrong deleting this rate.","Při odstranění sazby nastala chyba."
"Edit Tax Rate","Upravit sazbu DPH"
"You saved the tax rate.","Sazba DPH byla uložena."
"Tax Rules","Daňová pravidla"
"An error occurred while loading tax rates.","Došlo k chybě při načítání daňových sazeb."
"The tax rule has been deleted.","Pravidlo DPH byla odstraněno."
"This rule no longer exists.","Toto pravidlo již neexistuje."
"Something went wrong deleting this tax rule.","Při odstranění pravidla DPH nastala chyba."
"New Tax Rule","Nové pravidlo DPH"
"Edit Rule","Upravit pravidlo"
"New Rule","Nové pravidlo"
"You saved the tax rule.","Pravidlo DPH bylo uloženo."
"We can't save this tax rule right now.","Toto pravidlo DPH momentálně nelze uložit."
"Invalid name of tax class specified.","Byl zadán neplatný název třídy DPH."
"We can't delete this tax class right now.","Tuto třídu DPH momentálně nelze odstranit."
"We can't save this tax class right now.","Tuto třídu DPH momentálně nelze uložit."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","Rozsah do musí být větší než rozsah od."
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"%fieldName is a required field.","%fieldName is a required field."
"Invalid value of ""%value"" provided for the %fieldName field.","Pro pole %fieldName je hodnota ""%value"" neplatná."
"This class no longer exists.","Tato třída již neexistuje."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Tuto třídu nelze odstranit, protože je použita v pravidlech DPH. Nejdříve se musí odstranit pravidlo."
"You cannot delete this tax class because it is used in existing %1(s).","Tuto třídu nelze odstranit, protože je použita v existujících %1."
"Custom price if available","Aktuální cena, je-li dostupná"
"Original price only","Pouze původní cena"
"Shipping Address","Doručovací adresa"
"Billing Address","Fakturační adresa"
"Shipping Origin","Původ zásilky"
"No (price without tax)","Ne (cena bez DPH)"
"Yes (only price with tax)","Ano (pouze cena s DPH)"
"Both (without and with tax)","Obě (ceny bez i s DPH)"
"Invalid attribute %1","Neplatný atribut %1"
"Code","Kód"
"Invalid type supplied","Uveden neplatný typ"
"Class name and class type","Název třídy a typ třídy"
"No such entity with %fieldName = %fieldValue","Entita s %fieldName = %fieldValue neexistuje"
"Grand Total (Excl. Tax)","Celkový součet (bez DPH)"
"Grand Total (Incl. Tax)","Celkový součet (s DPH)"
"Shipping (Excl. Tax)","Přepravné (bez DPH)"
"Shipping (Incl. Tax)","Přepravné (s DPH)"
"Subtotal (Excl. Tax)","Mezisoučet (bez DPH)"
