"Tax Rate Information","Informacje o stawce podatku"
"Tax Identifier","Identyfikator podatku"
"Zip/Post is Range","Kod pocztowy jest zakresem"
"Zip/Post Code","Kod pocztowy"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - pasuje do wszystkiego; 'xyz*' - pasuje do wszystkiego co zaczyna się od 'xyz' i nie jest dłuższe niż %1 się."
"Range From","Zakres od"
"Range To","Zakre do"
"State","Województwo"
"Country","Kraj"
"Rate Percent","Procent stawki"
"Tax Titles","Tytuły podatku"
"Add New Tax Rate","Dodaj nową stawkę podatku"
"Back","Powrót"
"Reset","Resetuj"
"Delete Rate","Usuń stawkę"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Save Rate","Zapisz stawkę"
"Manage Tax Rules","Zarządzaj regułami podatków"
"Add New Tax Rule","Dodaj regułę dla podatku"
"Save Rule","Zapisz regułę"
"Delete Rule","Usuń regułę"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Tax Rule Information","Informacje o regule podatku"
"Name","Nazwa"
"Customer Tax Class","Klasa podatku dla klienta"
"Product Tax Class","Klasa podatku dla produktów"
"Tax Rate","Stawka podatku"
"Priority","Priorytet"
"Tax rates at the same priority are added, others are compounded.","Stawki podatku o tym samym priorytecie zostały dodane, pozostałe zostały połączone."
"Calculate Off Subtotal Only","Obliczaj tylko z sumy częściowej"
"Sort Order","Kolejność sortowania"
"Do you really want to delete this tax class?","Czy na pewno chcesz usunąć tę Klasę podatku?"
"Add New Tax Class","Dodaj nową klasę podatkową"
"Shipping Incl. Tax (%1)","Dostawa z podatkiem (%1)"
"Shipping Excl. Tax (%1)","Dostawa bez podatku (%1)"
"Subtotal (Excl.Tax)","Suma częściowa (bez podatku)"
"Subtotal (Incl.Tax)","Suma częściowa (z podatkiem)"
"Shipping & Handling (Excl.Tax)","Dostawa i obsługa (bez podatku)"
"Shipping & Handling (Incl.Tax)","Dostawa i obsługa (z podatkiem)"
"Grand Total (Excl.Tax)","Suma łączna (bez podatku)"
"Grand Total (Incl.Tax)","Suma łączna (z podatkiem)"
"Sales","Sprzedaż"
"Tax","Podatek"
"Manage Tax Rates","Zarządzaj stawkami podatków"
"New Tax Rate","Nowa stawka podatku"
"Tax Zones and Rates","Strefa podatku i cen"
"We can't delete this tax rate right now.","Nie można teraz usunąć tej stawki podatku."
"An error occurred while loading this tax rate.","Wystąpił błąd podczas ładowania tej stawki podatku."
"We can't save this rate right now.","Obecnie nie możemy zapisać tej stawki."
"You deleted the tax rate.","Usunąłeś stawkę podatku."
"We can't delete this rate because of an incorrect rate ID.","Nie możemy usunąć tej stawki ze względu na nieprawidłowe ID."
"Something went wrong deleting this rate.","Coś poszło nie tak, jak powinno, podczas usuwania stawki."
"Edit Tax Rate","Edytuj stawkę podatku"
"You saved the tax rate.","Zapisałeś stawkę podatkową."
"Tax Rules","Reguły podatków"
"An error occurred while loading tax rates.","An error occurred while loading tax rates."
"The tax rule has been deleted.","Reguła podatku została usunięta."
"This rule no longer exists.","Ta reguła już nie istnieje."
"Something went wrong deleting this tax rule.","Coś poszło nie tak podczas usuwania tej reguły podatkowej."
"New Tax Rule","Nowe zasady podatkowe"
"Edit Rule","Edytuj regułę"
"New Rule","Nowa reguła"
"You saved the tax rule.","Zapisałeś regułę podatkową."
"We can't save this tax rule right now.","Obecnie nie możemy zapisać tej reguły podatkowej."
"Invalid name of tax class specified.","Nieprawidłowo określona nazwa klasy podatkowej."
"We can't delete this tax class right now.","Obecnie nie możemy usunąć tej klasy podatkowej."
"We can't save this tax class right now.","Obecnie nie możemy zapisać tej klasy podatkowej."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","Zakres końcowy powinien być równy lub większy od ZAkresu początkowego"
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"%fieldName is a required field.","%fieldName is a required field."
"Invalid value of ""%value"" provided for the %fieldName field.","Nieprawidłowa wartość ""%value"" przewidziana polu %fieldname."
"This class no longer exists.","Ta klasa już nie istnieje."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Nie możesz usunąć tej klasy podatkowej, ponieważ jest ona używana przez jedną z reguł podatkowych. Wpierw musisz usunąć tę regułę."
"You cannot delete this tax class because it is used in existing %1(s).","Nie możesz usunąć tej klasy podatku ponieważ jest używana do %s produktów."
"Custom price if available","Indywidualna cena, jeśli dostępna"
"Original price only","Tylko oryginalna cena"
"Shipping Address","Adres wysyłki"
"Billing Address","Adres rozliczeniowy"
"Shipping Origin","Pochodzenie dostawy"
"No (price without tax)","Nie (cena bez podatku)"
"Yes (only price with tax)","Tak (tylko cena z podatkiem)"
"Both (without and with tax)","Oba (z podatkiem i bez)"
"Invalid attribute %1","Nieprawidłowy atrybut %1"
"Code","Kod"
"Invalid type supplied","Podano nieprawidłowy typ"
"Class name and class type","Nazwa klasy i typ klasy"
"No such entity with %fieldName = %fieldValue","Nie znaleziono %fieldName = %fieldValue"
"Grand Total (Excl. Tax)","Suma łączna (bez podatku)"
"Grand Total (Incl. Tax)","Suma łączna (z podatkiem)"
"Shipping (Excl. Tax)","Dostawa (bez podatku)"
"Shipping (Incl. Tax)","Dostawa (z podatkiem)"
"Subtotal (Excl. Tax)","Suma częściowa (bez podatku)"
"Subtotal (Incl. Tax)","Suma częściowa (z podatkiem)"
"Subtotal","Suma częściowa"
"Unit Price","Cena jednostkowa"
"Row Total","Razem"
"Total","Łącznie"
"Before Discount","Przed zniżką"
"After Discount","Po zniżce"
"Excluding Tax","Bez podatku"
"Including Tax","Z podatkiem"
"None","Brak"
"Including and Excluding Tax","Zawierające i niezawierające podatek"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. "
"Store(s) affected: ","Dotyczy sklepów: "
"Click on the link to <a href=""%1"">ignore this notification</a>","Kliknij na link, aby <a href=""%1""> zignorować tą informację</a>"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. "
"Your current tax configuration may result in rounding errors. ","Your current tax configuration may result in rounding errors. "
"Please see <a href=""%1"">documentation</a> for more details. ","By uzyskać więcej szczegółów przejdź do <a href=""%1"">dokumentacji</a>. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Kliknij tutaj, aby przejść do <a href=%1"">zarządzania podatkami</a> i zmienić ustawienia.""."
"Invalid type of tax class ""%1""","Nieprawidłowy typ klasy podatku ""%1"""
"Updating classType is not allowed.","Aktualizowanie classType jest niedozwolone."
"A class with the same name already exists for ClassType %1.","Klasa o tej samej nazwie już istnieje dla ClassType %1."
"customer group","grupa klientów"
"product","produkt"
"Excl. tax:","Bez podatku:"
"Incl. Tax","Z podatkiem"
"Entity already exists","Obiekt już istnieje"
"Cannot save titles","Nie można zapisać tytułu"
"Some Message","Niektóre wiadomości"
"Something went wrong","Coś poszło nie tak"
"Could not save","Nie można zapisać"
"No such entity","Brak tego obiektu"
