"Tax Rate Information","Steuersatz Information"
"Tax Identifier","Steueridentifikator"
"Zip/Post is Range","Nur für bestimmte Postleitzahlen"
"Zip/Post Code","Postleitzahl"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' findet jede beliebige Zeichenkette; 'xyz*' - findet alle Zeichenketten, die mit 'xyz' beginnen und nicht länger sind als %1."
"Range From","Von"
"Range To","Bis"
"State","Bundesland"
"Country","Land"
"Rate Percent","Rate Prozent"
"Tax Titles","Steuertitel"
"Add New Tax Rate","Neue Steuerrate hinzufügen"
"Back","Zurück"
"Reset","Zurücksetzen"
"Delete Rate","Steuerrate löschen"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Save Rate","Steuerrate speichern"
"Manage Tax Rules","Steuerregeln verwalten"
"Add New Tax Rule","Neue Steuerregel hinzufügen"
"Save Rule","Regel speichern"
"Delete Rule","Regel löschen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Tax Rule Information","Steuerregel Informationen"
"Name","Name"
"Customer Tax Class","Kundensteuerklasse"
"Product Tax Class","Produktsteuerklasse"
"Tax Rate","Steuersatz"
"Priority","Priorität"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Calculate Off Subtotal Only","Nur aus Zwischensumme berechnen"
"Sort Order","Sortierreihenfolge"
"Do you really want to delete this tax class?","Möchten Sie diese Steuerklasse wirklich löschen?"
"Add New Tax Class","Neue Steuerklasse hinzufügen"
"Shipping Incl. Tax (%1)","Versand inkl. MwSt. (%1)"
"Shipping Excl. Tax (%1)","Versand zzgl. Steuer (%1)"
"Subtotal (Excl.Tax)","Zwischensumme (zzgl. MwSt.)"
"Subtotal (Incl.Tax)","Zwischensumme (inkl. MwSt.)"
"Shipping & Handling (Excl.Tax)","Versand (Netto)"
"Shipping & Handling (Incl.Tax)","Versand (Brutto)"
"Grand Total (Excl.Tax)","Gesamt (Netto)"
"Grand Total (Incl.Tax)","Gesamt (Brutto)"
"Sales","Verkäufe"
"Tax","Steuer"
"Manage Tax Rates","Steuerregeln verwalten"
"New Tax Rate","Neuer Steuersatz"
"Tax Zones and Rates","Steuerzonen und -sätze"
"We can't delete this tax rate right now.","Dieser Steuersatz kann momentan nicht gelöscht werden."
"An error occurred while loading this tax rate.","An error occurred while loading this tax rate."
"We can't save this rate right now.","We can't save this rate right now."
"You deleted the tax rate.","Sie haben den Steuersatz gelöscht."
"We can't delete this rate because of an incorrect rate ID.","Dieser Satz kann aufgrund einer falschen Satz-ID nicht gelöscht werden."
"Something went wrong deleting this rate.","Something went wrong deleting this rate."
