"Tax Rate Information","कर दर जानकारी"
"Tax Identifier","कर पहचानकर्ता"
"Zip/Post is Range","ज़िप / पोस्ट रेंज है"
"Zip/Post Code","ज़िप पोस्ट कोड"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - किसी से मेल खाता है; 'xyz *' - 'xyz' से शुरू होने वाले किसी भी मैच से मेल खाता है और %1 से अधिक लंबा नहीं है।"
"Range From","से रेंज"
"Range To","सीमा तक"
"State","राज्य"
"Country","देश"
"Rate Percent","दर प्रतिशत"
"Tax Titles","टैक्स टाइटल"
"Add New Tax Rate","नई कर दर जोड़ें"
"Back","वापस"
"Reset","रीसेट"
"Delete Rate","दर हटाएं"
"Are you sure you want to do this?","क्या आप वास्तव में इसे करना चाहते हैं?"
"Save Rate","सेव रेट"
"Manage Tax Rules","कर नियम प्रबंधित करें"
"Add New Tax Rule","नया टैक्स नियम जोड़ें"
"Save Rule","नियम बचाओ"
"Delete Rule","नियम हटाएं"
"Save and Continue Edit","सहेजें और संपादित करें जारी रखें"
"Tax Rule Information","टैक्स नियम की जानकारी"
"Name","नाम"
"Customer Tax Class","ग्राहक कर वर्ग"
"Product Tax Class","उत्पाद कर वर्ग"
"Tax Rate","कर दर"
"Priority","प्राथमिकता"
"Tax rates at the same priority are added, others are compounded.","एक ही प्राथमिकता पर कर की दरें जोड़ी जाती हैं, अन्य मिश्रित होती हैं।"
"Calculate Off Subtotal Only","केवल उप-योग की गणना करें"
"Sort Order","क्रमबद्ध आदेश"
"Do you really want to delete this tax class?","क्या आप वास्तव में इस कर वर्ग को हटाना चाहते हैं?"
"Add New Tax Class","नई टैक्स क्लास जोड़ें"
"Shipping Incl. Tax (%1)","नौवहन Incl। कर (%1)"
"Shipping Excl. Tax (%1)","शिपिंग एक्सेल। कर (%1)"
"Subtotal (Excl.Tax)","सबटोटल (Excl.Tax)"
"Subtotal (Incl.Tax)","सबटोटल (Incl.Tax)"
"Shipping & Handling (Excl.Tax)","शिपिंग और हैंडलिंग (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","शिपिंग और हैंडलिंग (Incl.Tax)"
"Grand Total (Excl.Tax)","ग्रैंड टोटल (Excl.Tax)"
"Grand Total (Incl.Tax)","ग्रैंड टोटल (Incl.Tax)"
"Sales","बिक्री"
"Tax","कर"
"Manage Tax Rates","कर की दरों को प्रबंधित करें"
"New Tax Rate","नई कर दर"
"Tax Zones and Rates","टैक्स जोन और दरें"
"We can't delete this tax rate right now.","हम अभी इस कर की दर को हटा नहीं सकते हैं।"
"An error occurred while loading this tax rate.","इस कर दर को लोड करते समय एक त्रुटि हुई।"
"We can't save this rate right now.","हम अभी इस दर को नहीं बचा सकते हैं।"
"You deleted the tax rate.","आपने कर की दर को हटा दिया।"
"We can't delete this rate because of an incorrect rate ID.","गलत दर आईडी के कारण हम इस दर को हटा नहीं सकते।"
"Something went wrong deleting this rate.","इस दर को हटाने में कुछ गलत हुआ।"
"Edit Tax Rate","कर की दर संपादित करें"
"You saved the tax rate.","आपने कर की दर को बचा लिया।"
"Tax Rules","कर नियम"
"An error occurred while loading tax rates.","कर दरों को लोड करते समय एक त्रुटि हुई।"
"The tax rule has been deleted.","कर नियम हटा दिया गया है।"
"This rule no longer exists.","यह नियम अब मौजूद नहीं है।"
"Something went wrong deleting this tax rule.","इस कर नियम को हटाने में कुछ गलत हुआ।"
"New Tax Rule","नया कर नियम"
"Edit Rule","नियम संपादित करें"
"New Rule","नए नियम"
"You saved the tax rule.","आपने कर नियम बचा लिया।"
"We can't save this tax rule right now.","हम अभी इस कर नियम को नहीं बचा सकते हैं।"
"Invalid name of tax class specified.","निर्दिष्ट कर वर्ग का अमान्य नाम।"
"We can't delete this tax class right now.","हम अभी इस कर वर्ग को हटा नहीं सकते हैं।"
"We can't save this tax class right now.","हम अभी इस कर वर्ग को नहीं बचा सकते हैं।"
"Make sure all required information is valid.","सुनिश्चित करें कि सभी आवश्यक जानकारी मान्य है।"
"The Rate Percent should be a positive number.","दर प्रतिशत एक सकारात्मक संख्या होनी चाहिए।"
"Maximum zip code length is 9.","अधिकतम ज़िप कोड की लंबाई 9 है।"
"Use digits only for the zip code.","केवल ज़िप कोड के लिए अंकों का उपयोग करें।"
"Range To should be equal or greater than Range From.","रेंज रेंज से बराबर या उससे अधिक होना चाहिए।"
"The tax rate cannot be removed. It exists in a tax rule.","कर की दर को हटाया नहीं जा सकता। यह एक कर नियम में मौजूद है।"
"%fieldName is a required field.","%fieldName एक आवश्यक फ़ील्ड है।"
"Invalid value of ""%value"" provided for the %fieldName field.","""%value"" का अमान्य मान %fieldName फ़ील्ड के लिए प्रदान किया गया।"
"This class no longer exists.","यह वर्ग अब मौजूद नहीं है।"
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","आप इस कर वर्ग को हटा नहीं सकते क्योंकि इसका उपयोग कर नियमों में किया जाता है। आपको पहले उपयोग किए गए नियमों को हटाना होगा।"
"You cannot delete this tax class because it is used in existing %1(s).","आप इस कर वर्ग को हटा नहीं सकते क्योंकि इसका उपयोग मौजूदा %1(s) में किया जाता है।"
"Custom price if available","कस्टम मूल्य यदि उपलब्ध हो"
"Original price only","केवल मूल कीमत"
"Shipping Address","शिपिंग पता"
"Billing Address","बिल भेजने का पता"
"Shipping Origin","शिपिंग उत्पत्ति"
"No (price without tax)","नहीं (कर के बिना मूल्य)"
"Yes (only price with tax)","हाँ (केवल कर के साथ मूल्य)"
"Both (without and with tax)","दोनों (बिना और कर के)"
"Invalid attribute %1","अमान्य विशेषता %1"
"Code","कोड"
"Invalid type supplied","अमान्य प्रकार की आपूर्ति की गई"
"Class name and class type","क्लास का नाम और क्लास का प्रकार"
"No such entity with %fieldName = %fieldValue","%fieldName =%fieldValue जैसी कोई इकाई नहीं है"
"Grand Total (Excl. Tax)","ग्रैंड टोटल (एक्सल टैक्स)"
"Grand Total (Incl. Tax)","ग्रैंड टोटल (इंकल टैक्स)"
"Shipping (Excl. Tax)","शिपिंग (एक्सेल टैक्स)"
"Shipping (Incl. Tax)","शिपिंग (इंकल टैक्स)"
"Subtotal (Excl. Tax)","सबटोटल (एक्सेल टैक्स)"
"Subtotal (Incl. Tax)","सबटोटल (इंकल टैक्स)"
"Subtotal","उप-योग"
"Unit Price","यूनिट मूल्य"
"Row Total","रो कुल"
"Total","संपूर्ण"
"Before Discount","छूट से पहले"
"After Discount","छूट के बाद"
"Excluding Tax","टैक्स छोड़कर"
"Including Tax","कर सहित"
"None","कोई नहीं"
"Including and Excluding Tax","सहित और बहिष्कृत कर"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","कर सहित कीमतों पर छूट लागू करने और छूट के बाद कर लागू करने के लिए, कैटलॉग मूल्य को ""कर सहित"" पर सेट करें। "
"Store(s) affected: ","दुकान प्रभावित है: "
"Click on the link to <a href=""%1"">ignore this notification</a>","<a href=""%1""> इस अधिसूचना को अनदेखा करें </a> के लिंक पर क्लिक करें"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","""डिस्काउंट से पहले"" लागू होने वाले ग्राहक कर के साथ, अंतिम छूट गणना ग्राहकों की अपेक्षाओं से मेल नहीं खा सकती है। "
"Your current tax configuration may result in rounding errors. ","आपके वर्तमान कर कॉन्फ़िगरेशन में गोलाई त्रुटियां हो सकती हैं। "
"Please see <a href=""%1"">documentation</a> for more details. ","अधिक जानकारी के लिए कृपया <a href=""%1""> दस्तावेज़ीकरण </a> देखें। "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","<a href=""%1""> कर कॉन्फ़िगरेशन </a> पर जाने और अपनी सेटिंग बदलने के लिए यहां क्लिक करें।"
"Invalid type of tax class ""%1""","कर वर्ग ""%1"" का अमान्य प्रकार"
"Updating classType is not allowed.","क्लास टाइप को अपडेट करने की अनुमति नहीं है।"
"A class with the same name already exists for ClassType %1.","एक ही नाम वाला एक वर्ग पहले से मौजूद ClassType %1 के लिए है।"
"customer group","ग्राहक समूह"
"product","उत्पाद"
"Excl. tax:","Excl। कर:"
"Incl. Tax","Incl। कर"
"Entity already exists","इकाई पहले से मौजूद है"
"Cannot save titles","शीर्षक नहीं बचा सकते"
"Some Message","कुछ संदेश"
"Something went wrong","कुछ गलत हो गया"
"Could not save","बचा नहीं सका"
"No such entity","ऐसी कोई इकाई नहीं"
"Excl. Tax","Excl। कर"
"Note:","ध्यान दें:"
"Leave this field empty if you wish to use the tax identifier.","यदि आप कर पहचानकर्ता का उपयोग करना चाहते हैं तो इस क्षेत्र को खाली छोड़ दें।"
"An error occurred","एक त्रुटि पाई गई"
"Do you really want to delete this tax rate?","क्या आप वास्तव में इस कर की दर को हटाना चाहते हैं?"
"Save","सहेजें"
"Add New Class","नई कक्षा जोड़ें"
"Grand Total Excl. Tax","ग्रैंड टोटल एक्सल। कर"
"Grand Total Incl. Tax","ग्रैंड टोटल इंक्ल। कर"
"Not yet calculated","अभी तक गणना नहीं की गई है"
"Taxes","करों"
"Tax Section","कर अनुभाग"
"Tax Classes","कर वर्ग"
"Tax Class for Shipping","शिपिंग के लिए टैक्स क्लास"
"Default Tax Class for Product","उत्पाद के लिए डिफ़ॉल्ट कर वर्ग"
"Default Tax Class for Customer","ग्राहक के लिए डिफ़ॉल्ट कर वर्ग"
"Calculation Settings","गणना सेटिंग्स"
"Tax Calculation Method Based On","कर गणना पद्धति पर आधारित"
"Tax Calculation Based On","के आधार पर कर की गणना"
"Catalog Prices","कैटलॉग मूल्य"
"This sets whether catalog prices entered from Magento Admin include tax.","यह सेट करता है कि मैगेंटो एडमिन से दर्ज किए गए कैटलॉग की कीमतों में कर शामिल है या नहीं।"
"Shipping Prices","शिपिंग मूल्य"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","यह सेट करता है कि क्या Magento के व्यवस्थापक से दर्ज की गई शिपिंग राशि या गेटवे से प्राप्त टैक्स शामिल हैं।"
"Apply Customer Tax","ग्राहक कर लागू करें"
"Apply Discount On Prices","कीमतों पर छूट लागू करें"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","चेतावनी: कर सहित कीमतों पर छूट लागू करने और छूट के बाद कर लागू करने के लिए, कैटलॉग मूल्य को ""कर सहित"" पर सेट करें।"
"Apply Tax On","कर लागू करें"
"Enable Cross Border Trade","सीमा पार व्यापार सक्षम करें"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","जब कैटलॉग मूल्य में कर शामिल होता है, तो ग्राहक की कर दर चाहे कोई भी हो, इस मूल्य को ठीक करने के लिए इस सेटिंग को सक्षम करें।"
"Default Tax Destination Calculation","डिफ़ॉल्ट कर गंतव्य गणना"
"Default Country","डिफ़ॉल्ट देश"
"Default State","डिफ़ॉल्ट स्थिति"
"Default Post Code","डिफ़ॉल्ट पोस्ट कोड"
"Price Display Settings","मूल्य प्रदर्शन सेटिंग्स"
"Display Product Prices In Catalog","कैटलॉग में उत्पाद की कीमतें प्रदर्शित करें"
"Display Shipping Prices","शिपिंग मूल्य प्रदर्शित करें"
"Shopping Cart Display Settings","शॉपिंग कार्ट प्रदर्शन सेटिंग्स"
"Display Prices","मूल्य प्रदर्शित करें"
"Display Subtotal","सबटोटल प्रदर्शित करें"
"Display Shipping Amount","शिपिंग राशि प्रदर्शित करें"
"Include Tax In Order Total","टैक्स इन ऑर्डर टोटल शामिल करें"
"Display Full Tax Summary","पूर्ण कर सारांश प्रदर्शित करें"
"Display Zero Tax Subtotal","प्रदर्शन जीरो टैक्स सबटोटल"
"Orders, Invoices, Credit Memos Display Settings","आदेश, चालान, क्रेडिट मेमो प्रदर्शन सेटिंग्स"
"State/Region","राज्य / क्षेत्र"
"Rate","मूल्यांकन करें"
"Subtotal Only","सबटोटल ही"
"(Excl. Tax)","(Excl टैक्स)"
"(Incl. Tax)","(इंकल टैक्स)"
"Order Total Excl. Tax","कुल आदेश। कर"
"Order Total Incl. Tax","ऑर्डर कुल इंकल। कर"
"Order Total","कुल आदेश"
"You will be charged for","आपके लिए शुल्क लिया जाएगा"
"Warning tax configuration can result in rounding errors. ","चेतावनी कर कॉन्फ़िगरेशन को गोल करने में त्रुटि हो सकती है। "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","चेतावनी कर छूट कॉन्फ़िगरेशन में भिन्न छूट हो सकती हैं
                                एक ग्राहक से उम्मीद कर सकते हैं। "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","यदि कर का भुगतान डिस्काउंट के बाद किया जाता है तो टैक्स सहित मूल्य पर छूट की गणना स्टोर टैक्स के आधार पर की जाती है।"
"Your credit card will be charged for","आपका क्रेडिट कार्ड से शुल्क लिया जाएगा"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","""डिस्काउंट से पहले"" लागू होने वाले ग्राहक कर के साथ, अंतिम छूट गणना ग्राहकों की अपेक्षाओं से मेल नहीं खा सकती है।"
"The required information is invalid. Verify the information and try again.","आवश्यक जानकारी अमान्य है। जानकारी सत्यापित करें और फिर से प्रयास करें।"
"The Rate Percent is invalid. Enter a positive number and try again.","दर प्रतिशत अमान्य है। एक सकारात्मक संख्या दर्ज करें और फिर से प्रयास करें।"
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","ज़िप कोड की लंबाई अमान्य है। सत्यापित करें कि लंबाई नौ वर्ण या उससे कम है और पुनः प्रयास करें।"
"The ZIP Code is invalid. Use numbers only.","ज़िप कोड अमान्य है। केवल संख्या का उपयोग करें।"
