"Tax Rate Information","BTW-tariefgegevens"
"Tax Identifier","BTW-identifier"
"Zip/Post is Range","Postcodereeks"
"Zip/Post Code","Postcode"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' -matcht elke; 'xyz*' - matcht alles dat begint met 'xyz' en niet langer dan %1."
"Range From","Van"
"Range To","Tot"
"State","Provincie"
"Country","Land"
"Rate Percent","Percentage"
"Tax Titles","BTW titels"
"Add New Tax Rate","Nieuw BTW-tarief toevoegen"
"Back","Terug"
"Reset","Resetten"
"Delete Rate","Tarief verwijderen"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Save Rate","Tarief opslaan"
"Manage Tax Rules","Beheer BTW-regels"
"Add New Tax Rule","Nieuwe BTW-regel toevoegen"
"Save Rule","Regel opslaan"
"Delete Rule","Regel verwijderen"
"Save and Continue Edit","Toepassen"
"Tax Rule Information","BTW-regel Informatie"
"Name","Naam"
"Customer Tax Class","BTW-tariefgroep klant"
"Product Tax Class","BTW-tariefgroep product"
"Tax Rate","BTW-tarief"
"Priority","Prioriteit"
"Tax rates at the same priority are added, others are compounded.","BTW-tarieven met dezelfde prioriteit worden opgeteld, andere worden gecombineerd."
"Calculate Off Subtotal Only","Enkel subtotaal berekenen"
"Sort Order","Sorteervolgorde"
"Do you really want to delete this tax class?","Wil je deze BTW-tariefgroep verwijderen?"
"Add New Tax Class","Nieuwe BTW-tariefgroep"
"Shipping Incl. Tax (%1)","Verzendkosten incl. BTW (%1)"
"Shipping Excl. Tax (%1)","Verzendkosten excl. BTW (%1)"
"Subtotal (Excl.Tax)","Subtotaal (Excl. BTW)"
"Subtotal (Incl.Tax)","Subtotaal (incl. BTW)"
"Shipping & Handling (Excl.Tax)","Verzend- en verwerkingskosten (excl. BTW)"
"Shipping & Handling (Incl.Tax)","Verzend- en verwerkingskosten (incl. BTW)"
"Grand Total (Excl.Tax)","Eindtotaal (excl. BTW)"
"Grand Total (Incl.Tax)","Eindtotaal (incl. BTW)"
"Sales","Verkopen"
"Tax","BTW"
"Manage Tax Rates","Beheer BTW-tarieven"
"New Tax Rate","Nieuw BTW-tarief"
"Tax Zones and Rates","BTW-zones en -tarieven"
"We can't delete this tax rate right now.","We kunnen dit belastingstarief momenteel niet verwijderen."
"An error occurred while loading this tax rate.","Er is een fout opgetreden tijdens het laden van het BTW tarief."
"We can't save this rate right now.","We kunnen dit tarief op dit moment niet opslaan"
"You deleted the tax rate.","Je hebt het BTW-tarief verwijderd."
"We can't delete this rate because of an incorrect rate ID.","We kunnen het tarief niet verwijderen omwille van een onjuist tarief ID."
"Something went wrong deleting this rate.","Er ging iets mis bij het verwijderen van dit tarief."
"Edit Tax Rate","Bewerk BTW-tarief"
"You saved the tax rate.","Je hebt het BTW-percentage opgeslagen."
"Tax Rules","Fiscale regels"
"An error occurred while loading tax rates.","Er is een fout opgetreden tijdens het laden de BTW-percentages."
"The tax rule has been deleted.","De BTW regel is verwijderd"
"This rule no longer exists.","Deze regel bestaat niet langer."
"Something went wrong deleting this tax rule.","Er ging iets mis bij het verwijderen van deze BTW-regel."
"New Tax Rule","Nieuwe fiscale regel"
"Edit Rule","Bewerk regel"
"New Rule","Nieuwe regel"
"You saved the tax rule.","Je hebt een BTW-regel opgeslagen."
"We can't save this tax rule right now.","Het is momenteel niet mogelijk deze BTW-regel op te slaan."
"Invalid name of tax class specified.","Ongeldige naam voor BTW-tariefgroep opgegeven."
"We can't delete this tax class right now.","We kunnen dit belastingstarief momenteel niet verwijderen."
"We can't save this tax class right now.","We kunnen dit belastingstarief momenteel niet bewaren."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","""Bereik tot"" moet gelijk zijn of groter dan ""Bereik van"""
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"%fieldName is a required field.","%fieldName is a required field."
"Invalid value of ""%value"" provided for the %fieldName field.","Ongeldige waarde voor ""% value"" opgegeven voor het %fieldName veld."
