"Tax Rate Information","Πληροφορίες Φορολογικών Ποσοστών"
"Tax Identifier","Αναγνωριστικό Φόρου"
"Zip/Post is Range","Ταχυδρομικός Κώδικας είναι Εύρος"
"Zip/Post Code","Ταχυδρομικός Κώδικας"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","Το '*' -ταιριάζει με οτιδηποτε, 'xyz*' - ταιριάζει με οτιδήποτε που αρχίζει από «xyz» και δεν είναι μεγαλύτερο από %1."
"Range From","Κυμαίνονται από"
"Range To","Κυμαίνονται σε"
"State","Κατάσταση"
"Country","Χώρα"
"Rate Percent","Ποσοστό τοις εκατό"
"Tax Titles","Τίτλοι Φόρων"
"Add New Tax Rate","Προσθήκη Νέου Φορολογικού Συντελεστή"
"Back","Πίσω"
"Reset","Επαναφορά"
"Delete Rate","Διαγραφή του ποσοστού"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Save Rate","Αποθηκεύση Ποσοστού"
"Manage Tax Rules","Διαχείριση κανόνων φόρου"
"Add New Tax Rule","Προσθέστε νέο φορολογικό κανόνα"
"Save Rule","Αποθήκευση Κανόνα"
"Delete Rule","Διαγραφή του κανόνα"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Tax Rule Information","Κανόνας Φορολογικών Στοιχείων"
"Name","Όνομα"
"Customer Tax Class","Φορολογική κατηγορία πελάτη"
"Product Tax Class","Φορολογική κατηγορία προϊόντος"
"Tax Rate","Φορολογικός συντελεστής"
"Priority","Προτεραιότητα"
"Tax rates at the same priority are added, others are compounded.","Οι φορολογικοί συντελεστές με την ίδια προτεραιότητα προστίθονται, οι άλλοι συνενώνονται."
"Calculate Off Subtotal Only","Υπολογίστε μόνο έξω από το μερικό άθροισμα"
"Sort Order","Σειρά Ταξινόμησης"
"Do you really want to delete this tax class?","Θέλετε πραγματικά να διαγράψετε αυτή τη φορολογική κατηγορία;"
"Add New Tax Class","Προσθήκη Νέας Φορολογικής Κλάσης"
"Shipping Incl. Tax (%1)","Μεταφορικά με Φπα (%1)"
"Shipping Excl. Tax (%1)","Μεταφορικά χωρίς Φπα (%1)"
"Subtotal (Excl.Tax)","Υποσύνολο (χωρίς ΦΠΑ)"
"Subtotal (Incl.Tax)","Υποσύνολο (με ΦΠΑ)"
"Shipping & Handling (Excl.Tax)","Μεταφορικά & Διεκπεραιωτικά (χωρίς ΦΠΑ)"
"Shipping & Handling (Incl.Tax)","Μεταφορικά & Διεκπεραιωτικά (με ΦΠΑ)"
"Grand Total (Excl.Tax)","Γενικό σύνολο (χωρίς ΦΠΑ)"
"Grand Total (Incl.Tax)","Γενικό σύνολο (με ΦΠΑ)"
"Sales","Πωλήσεις"
"Tax","Φόροι"
"Manage Tax Rates","Διαχείριση των φορολογικών συντελεστών"
"New Tax Rate","Νέος φορολογικός συντελεστής"
"Tax Zones and Rates","Ζώνες Φορολόγησης και Συντελεστές"
"We can't delete this tax rate right now.","Δεν μπορούμε να διαγράψουμε αυτό φορολογικό συντελεστή αυτή τη στιγμή."
"An error occurred while loading this tax rate.","Παρουσιάστηκε σφάλμα κατά τη φόρτωση αυτού του φορολογικού συντελεστή."
"We can't save this rate right now.","Δεν είναι δυνατή η αποθήκευση αυτού του ποσοστού αυτή τη στιγμή."
"You deleted the tax rate.","Διαγράψατε το ποσοστό του φόρου."
