"Tax Rate Information","פרטי שיעור המס"
"Tax Identifier","מזהה מס"
"Zip/Post is Range","מיקוד הוא בטווח"
"Zip/Post Code","מספר מיקוד"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","' *'-מתאים כל; 'אבג *' - מתאים אף שלא מתחילה ב- 'אבג' ולא יותר מ %1."
"Range From","טווח בין"
"Range To","טווח ל"
"State","איזור"
"Country","ארץ"
"Rate Percent","אחוז דירוג"
"Tax Titles","כותרות מס"
"Add New Tax Rate","להוסיף שיעור מס חדש"
"Back","חזור"
"Reset","איפוס"
"Delete Rate","Delete Rate"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Save Rate","שמירת שער"
"Manage Tax Rules","ניהול כללי המס"
"Add New Tax Rule","הוספת חוק מס חדש"
"Save Rule","שמירת חוק"
"Delete Rule","מחיקת כלל"
"Save and Continue Edit","שמור והמשך בעריכה"
"Tax Rule Information","פרטי כללהמס"
"Name","שם"
"Customer Tax Class","Customer Tax Class"
"Product Tax Class","Product Tax Class"
"Tax Rate","שיעור מס"
"Priority","עדיפות"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Calculate Off Subtotal Only","Calculate Off Subtotal Only"
"Sort Order","סדר מיון"
"Do you really want to delete this tax class?","Do you really want to delete this tax class?"
"Add New Tax Class","Add New Tax Class"
"Shipping Incl. Tax (%1)","משלוח כולל מס (%1)"
"Shipping Excl. Tax (%1)","משלוח לא כולל מס (%1)"
"Subtotal (Excl.Tax)","Subtotal (Excl.Tax)"
"Subtotal (Incl.Tax)","Subtotal (Incl.Tax)"
"Shipping & Handling (Excl.Tax)","Shipping & Handling (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","Shipping & Handling (Incl.Tax)"
"Grand Total (Excl.Tax)","Grand Total (Excl.Tax)"
"Grand Total (Incl.Tax)","Grand Total (Incl.Tax)"
"Sales","מכירות"
"Tax","מס"
"Manage Tax Rates","Manage Tax Rates"
"New Tax Rate","New Tax Rate"
"Tax Zones and Rates","איזורי מס ותעריפים"
"We can't delete this tax rate right now.","לא ניתן למחוק את שיעור המס הזה עכשיו."
"An error occurred while loading this tax rate.","An error occurred while loading this tax rate."
"We can't save this rate right now.","איננו יכולים לשמור את הציונים נכון לעכשיו."
"You deleted the tax rate.","You deleted the tax rate."
"We can't delete this rate because of an incorrect rate ID.","אנחנו לא יכולים למחוק ציון זה עקב מזהה ID שגוי."
"Something went wrong deleting this rate.","Something went wrong deleting this rate."
"Edit Tax Rate","לערוך שיעורי מס"
"You saved the tax rate.","You saved the tax rate."
"Tax Rules","חוקי מס"
"An error occurred while loading tax rates.","An error occurred while loading tax rates."
"The tax rule has been deleted.","The tax rule has been deleted."
"This rule no longer exists.","הכלל לא קיים יותר."
"Something went wrong deleting this tax rule.","Something went wrong deleting this tax rule."
"New Tax Rule","חוק מס חדש"
"Edit Rule","ערוך כלל"
"New Rule","כלל חדש"
"You saved the tax rule.","You saved the tax rule."
"We can't save this tax rule right now.","אנחנו לא יכולים לשמור את כלל מס זה עכשיו."
"Invalid name of tax class specified.","Invalid name of tax class specified."
"We can't delete this tax class right now.","לא ניתן למחוק את מחלקת המס הזה עכשיו."
"We can't save this tax class right now.","אנחנו לא יכולים לשמור את מחלקת המס ברגע זה."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"%fieldName is a required field.","%fieldName is a required field."
"Invalid value of ""%value"" provided for the %fieldName field.","ערך לא חוקי של ""%value"" שסופק עבור השדה %fieldName."
