"Tax Rate Information","Informații rata de impozitare"
"Tax Identifier","Identificator taxe"
"Zip/Post is Range","Codul este gama"
"Zip/Post Code","Cod poștal"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1."
"Range From","Gamă de la"
"Range To","Gamă până la"
"State","Stat"
"Country","Țara"
"Rate Percent","Procentaj rată"
"Tax Titles","Titluri taxă"
"Add New Tax Rate","Adăugați rată de impozitare nouă"
"Back","Înapoi"
"Reset","Resetați"
"Delete Rate","ștergeți rată"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți această operațiune?"
"Save Rate","Salvați rată"
"Manage Tax Rules","Gestionați reguli taxă"
"Add New Tax Rule","Adăugați regulă taxă nouă"
"Save Rule","Salvați regulă"
"Delete Rule","ștergeți regulă"
"Save and Continue Edit","Salvați și continuați editarea"
"Tax Rule Information","Informații regulă taxă"
"Name","Numeric"
"Customer Tax Class","Clasă taxă client"
"Product Tax Class","Clasă taxă produs"
"Tax Rate","Rată taxă"
"Priority","Prioritate"
"Tax rates at the same priority are added, others are compounded.","Ratele taxelor de aceeași prioritate sunt adăugate, altele sunt compuse."
"Calculate Off Subtotal Only","Calculați numai subtotalul"
"Sort Order","sortați comanda"
"Do you really want to delete this tax class?","Sunteți sigur că doriți să ștergeți această clasă de taxă?"
"Add New Tax Class","Adăugați clasă taxă nouă"
"Shipping Incl. Tax (%1)","Livrare cu taxe incluse(%1)"
"Shipping Excl. Tax (%1)","Livrare fără taxe incluse (%1)"
"Subtotal (Excl.Tax)","Subtotal (fără taxe incluse)"
"Subtotal (Incl.Tax)","Subtotal (cu taxe incluse)"
"Shipping & Handling (Excl.Tax)","Livrare și manipulare (fără taxe incluse)"
"Shipping & Handling (Incl.Tax)","Livrare și manipulare (cu taxe incluse)"
"Grand Total (Excl.Tax)","Total general (fără taxe incluse)"
"Grand Total (Incl.Tax)","Total general (cu taxe incluse)"
"Sales","Vânzări"
"Tax","Taxe"
"Manage Tax Rates","Gestionați rate taxă"
"New Tax Rate","Rată taxă nouă"
"Tax Zones and Rates","Zone și rate taxă"
"We can't delete this tax rate right now.","Nu se poate șterge acestă rată a taxei în acest moment."
"An error occurred while loading this tax rate.","A avut loc o eroare la încărcarea acestei rate."
"We can't save this rate right now.","Nu se poate salva această rată momentan."
"You deleted the tax rate.","Ați șters rata taxei."
"We can't delete this rate because of an incorrect rate ID.","Nu se poate șterge această rată din cauza unui ID rată incorect."
"Something went wrong deleting this rate.","A avut loc o eroare la ștergerea ratei."
"Edit Tax Rate","Editare rată taxă"
"You saved the tax rate.","Ați salvat rata taxei."
"Tax Rules","Reguli taxă"
"An error occurred while loading tax rates.","An error occurred while loading tax rates."
"The tax rule has been deleted.","Regula taxei a fost ștearsă."
"This rule no longer exists.","Această regulă nu mai există."
