"Tax Rate Information","Порез Рате Информације"
"Tax Identifier","Порез Идентифиер"
"Zip/Post is Range","Поштански број/Пост ис Ранге"
"Zip/Post Code","Поштански број/Пост Код"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1."
"Range From","Range From"
"Range To","Range To"
"State","Држава"
"Country","Држава"
"Rate Percent","Rate Percent"
"Tax Titles","Порез Титлес"
"Add New Tax Rate","Додај Ново Порез Рате"
"Back","Назад"
"Reset","Ресетовати"
"Delete Rate","Обриши Рате"
"Are you sure you want to do this?","Јесте ли сигурни да желите да урадите ово?"
"Save Rate","Сачувај Рате"
"Manage Tax Rules","Манаге Порез Рулес"
"Add New Tax Rule","Додај Ново Порез Руле"
"Save Rule","Сачувај Руле"
"Delete Rule","Обриши Правило"
"Save and Continue Edit","Сачувај и настави уређивање"
"Tax Rule Information","Порез Руле Информације"
"Name","Име"
"Customer Tax Class","Купац Порез Цласс"
"Product Tax Class","Производ Порез Цласс"
"Tax Rate","Порез Рате"
"Priority","Приоритет"
"Tax rates at the same priority are added, others are compounded.","Порез ратес ат тхе саме приоритy аре аддед, отхерс аре цомпоундед."
"Calculate Off Subtotal Only","Цалцулате Искључено Међузбир Онлy"
"Sort Order","Редослед поруџбина"
"Do you really want to delete this tax class?","Do you really want to delete this tax class?"
"Add New Tax Class","Додај Ново Порез Цласс"
"Shipping Incl. Tax (%1)","Достава Инцл. Порез (%1)"
"Shipping Excl. Tax (%1)","Достава Еxцл. Порез (%1)"
"Subtotal (Excl.Tax)","Међузбир (Еxцл.Порез)"
"Subtotal (Incl.Tax)","Међузбир (Инцл.Порез)"
"Shipping & Handling (Excl.Tax)","Достава & Хандлинг (Еxцл.Порез)"
"Shipping & Handling (Incl.Tax)","Достава & Хандлинг (Инцл.Порез)"
"Grand Total (Excl.Tax)","Гранд Укупно (Еxцл.Порез)"
"Grand Total (Incl.Tax)","Гранд Укупно (Инцл.Порез)"
"Sales","Продаја"
"Tax","Порез"
"Manage Tax Rates","Манаге Порез Ратес"
"New Tax Rate","Ново Порез Рате"
"Tax Zones and Rates","Порез Зонес анд Ратес"
"We can't delete this tax rate right now.","We can't delete this tax rate right now."
"An error occurred while loading this tax rate.","Дошло је до грешке wхиле лоадинг тхис таx рате."
"We can't save this rate right now.","We can't save this rate right now."
"You deleted the tax rate.","You deleted the tax rate."
"We can't delete this rate because of an incorrect rate ID.","Wе цан'т делете тхис рате бецаусе оф ан нетачан рате ИД."
"Something went wrong deleting this rate.","Нешто није у реду делетинг тхис рате."
"Edit Tax Rate","Измени Порез Рате"
"You saved the tax rate.","You saved the tax rate."
"Tax Rules","Порез Рулес"
"An error occurred while loading tax rates.","Дошло је до грешке wхиле лоадинг таx ратес."
"The tax rule has been deleted.","Тхе таx руле је делетед."
"This rule no longer exists.","Ово правило се више не постоји."
"Something went wrong deleting this tax rule.","Нешто није у реду делетинг тхис таx руле."
"New Tax Rule","Ново Порез Руле"
"Edit Rule","Измени Правило"
"New Rule","Ново правило"
"You saved the tax rule.","You saved the tax rule."
"We can't save this tax rule right now.","We can't save this tax rule right now."
"Invalid name of tax class specified.","Неисправан наме оф таx цласс специфиед."
"We can't delete this tax class right now.","We can't delete this tax class right now."
"We can't save this tax class right now.","We can't save this tax class right now."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"The tax rate cannot be removed. It exists in a tax rule.","Тхе таx рате не може бе ремовед. Ит еxистс ин а таx руле."
"%fieldName is a required field.","%фиелд назив је обавезно поље."
"Invalid value of ""%value"" provided for the %fieldName field.","Неисправна вредност у ""%валуе"" обезбеђеној за %фиелдНаме поље."
"This class no longer exists.","This class no longer exists."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Yоу не може делете тхис таx цласс бецаусе ит ис усед ин Порез Рулес. Yоу хаве то делете тхе рулес ит ис усед ин фирст."
"You cannot delete this tax class because it is used in existing %1(s).","Yоу не може делете тхис таx цласс бецаусе ит ис усед ин еxистинг %1(с)."
"Custom price if available","Custom price if available"
"Original price only","Original price only"
"Shipping Address","Адреса за испоруку"
"Billing Address","Адреса за фактурисање"
"Shipping Origin","Достава Оригин"
"No (price without tax)","Не (прице wитхоут таx)"
"Yes (only price with tax)","Да (онлy прице wитх таx)"
"Both (without and with tax)","Оба (wитхоут анд wитх таx)"
"Invalid attribute %1","Неважећи атрибут %1"
"Code","Код"
"Invalid type supplied","Неисправан тyпе супплиед"
"Class name and class type","Class name and class type"
"No such entity with %fieldName = %fieldValue","Не постоји ентитет са %фиелдНаме = %фиелдВалуе"
"Grand Total (Excl. Tax)","Гранд Укупно (Еxцл. Порез)"
"Grand Total (Incl. Tax)","Гранд Укупно (Инцл. Порез)"
"Shipping (Excl. Tax)","Достава (Еxцл. Порез)"
"Shipping (Incl. Tax)","Достава (Инцл. Порез)"
"Subtotal (Excl. Tax)","Међузбир (Еxцл. Порез)"
"Subtotal (Incl. Tax)","Међузбир (Инцл. Порез)"
"Subtotal","Међузбир"
"Unit Price","Цена по Јединици"
"Row Total","Ред укупно"
"Total","Укупно"
"Before Discount","Бефоре Попуст"
"After Discount","Афтер Попуст"
"Excluding Tax","Еxцлудинг Порез"
"Including Tax","Инцлудинг Порез"
"None","Ништа"
"Including and Excluding Tax","Инцлудинг анд Еxцлудинг Порез"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","То апплy тхе дисцоунт он прицес инцлудинг таx анд апплy тхе таx афтер дисцоунт, сет Каталог Прицес то “Инцлудинг Порез”."
"Store(s) affected: ","Продавница(с) аффецтед:"
"Click on the link to <a href=""%1"">ignore this notification</a>","Кликните на линк да <а хреф=""%1"">игноришете ово обавештење</а>"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","Wитх цустомер таx апплиед “Бефоре Попуст”, тхе финал дисцоунт цалцулатион маy нот матцх цустомерс’ еxпецтатионс."
"Your current tax configuration may result in rounding errors. ","Yоур цуррент таx цонфигуратион маy ресулт ин роундинг еррорс."
"Please see <a href=""%1"">documentation</a> for more details. ","Молимо погледајте <а хреф=""%1"">документацију</а> за више детаља. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Кликните овде да одете на <а хреф=""%1"">Конфигурацију пореза</а> и промените подешавања."
"Invalid type of tax class ""%1""","Неважећи тип пореске класе ""%1"""
"Updating classType is not allowed.","Updating classType is not allowed."
"A class with the same name already exists for ClassType %1.","A class with the same name already exists for ClassType %1."
"customer group","customer group"
"product","product"
"Excl. tax:","Excl. tax:"
"Incl. Tax","Износ са ПДВ"
"Entity already exists","Entity already exists"
"Cannot save titles","Не може саве титлес"
"Some Message","Some Message"
"Something went wrong","Нешто није у реду"
"Could not save","Није могао саве"
"No such entity","Не суцх ентитy"
"Excl. Tax","Без пореза"
"Note:","Напомена:"
"Leave this field empty if you wish to use the tax identifier.","Leave this field empty if you wish to use the tax identifier."
"An error occurred","Дошло је до грешке"
"Do you really want to delete this tax rate?","Do you really want to delete this tax rate?"
"Save","Сачувај"
"Add New Class","Додај Ново Цласс"
"Grand Total Excl. Tax","Укупно без Пореза"
"Grand Total Incl. Tax","Укупно с Порезом"
"Not yet calculated","Још увек није израчунато"
"Taxes","Taxes"
"Tax Section","Порез Сецтион"
"Tax Classes","Порез Цлассес"
"Tax Class for Shipping","Порез Цласс фор Достава"
"Default Tax Class for Product","Подразумевано Порез Цласс фор Производ"
"Default Tax Class for Customer","Подразумевано Порез Цласс фор Купац"
"Calculation Settings","Цалцулатион Подешавања"
"Tax Calculation Method Based On","Порез Цалцулатион Метход Басед Укључено"
"Tax Calculation Based On","Обрачун пореза на основу"
"Catalog Prices","Каталог Прицес"
"This sets whether catalog prices entered from Magento Admin include tax.","This sets whether catalog prices entered from Magento Admin include tax."
"Shipping Prices","Достава Прицес"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax."
"Apply Customer Tax","Примени Купац Порез"
"Apply Discount On Prices","Примени Попуст Укључено Прицес"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Упозорење: То апплy тхе дисцоунт он прицес инцлудинг таx анд апплy тхе таx афтер дисцоунт, сет Каталог Прицес то “Инцлудинг Порез”."
"Apply Tax On","Примени Порез Укључено"
"Enable Cross Border Trade","Омогући Цросс Бордер Траде"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate."
"Default Tax Destination Calculation","Подразумевано Порез Дестинатион Цалцулатион"
"Default Country","Подразумевана држава"
"Default State","Подразумевано Држава"
"Default Post Code","Подразумевано Пост Код"
"Price Display Settings","Цена Дисплаy Подешавања"
"Display Product Prices In Catalog","Дисплаy Производ Прицес Ин Каталог"
"Display Shipping Prices","Дисплаy Достава Прицес"
"Shopping Cart Display Settings","Корпа Дисплаy Подешавања"
"Display Prices","Display Prices"
"Display Subtotal","Дисплаy Међузбир"
"Display Shipping Amount","Дисплаy Достава Амоунт"
"Include Tax In Order Total","Укључи Порез Ин Поруџбина Укупно"
"Display Full Tax Summary","Дисплаy Фулл Порез Сажетак"
"Display Zero Tax Subtotal","Дисплаy Зеро Порез Међузбир"
"Orders, Invoices, Credit Memos Display Settings","Ордерс, Фактуре, Кредитна одобрења Дисплаy Подешавања"
"State/Region","Држава/Регион"
"Rate","Rate"
"Subtotal Only","Међузбир Онлy"
"(Excl. Tax)","(Еxцл. Порез)"
"(Incl. Tax)","(Инцл. Порез)"
"Order Total Excl. Tax","Поруџбина Укупно Еxцл. Порез"
