"Tax Rate Information","اطلاعات نرخ مالیات"
"Tax Identifier","شناسه‌ی مالیات"
"Zip/Post is Range","کد پستی هست در بازه‌ی"
"Zip/Post Code","کد پستی"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - مطابقت با هر؛ 'xyz *' - هر آنچه که در xyz آغاز می شود، مطابقت ندارد و بیش از %1 نیست."
"Range From","از بازه‌ی"
"Range To","تا بازه‌ی"
"State","استان"
"Country","كشور"
"Rate Percent","درصد نرخ"
"Tax Titles","عنواین مالیات"
"Add New Tax Rate","افزودن نرخ مالیات جدید"
"Back","بازگشت"
"Reset","بازنشانی"
"Delete Rate","حذف نرخ"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Save Rate","ذخیره‌ی نرخ"
"Manage Tax Rules","مدیریت قوانین مالیات"
"Add New Tax Rule","افزودن قانون مالیات جدید"
"Save Rule","ذخیره‌ی قانون"
"Delete Rule","حذف قانون"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Tax Rule Information","اطلاعات قانون مالیات"
"Name","نام"
"Customer Tax Class","کلاس مالیاتی مشتری"
"Product Tax Class","کلاس مالیاتی محصول"
"Tax Rate","نرخ ماليات"
"Priority","اولویت"
"Tax rates at the same priority are added, others are compounded.","نرخ‌ها مالیات با اولویت یکسان افزوده شده‌اند، سایرین مرکب‌اند."
"Calculate Off Subtotal Only","محاسبه کردن جمع کل تنها"
"Sort Order","ترتيب سفارش"
"Do you really want to delete this tax class?","آیا واقعا می خواهید این کلاس مالیات را حذف کنید?"
"Add New Tax Class","اضافه کردن کلاس مالیاتی جدید"
"Shipping Incl. Tax (%1)","حمل و نقل مالیات (%1)"
"Shipping Excl. Tax (%1)","حمل و نقل Excl. مالیات (%1)"
"Subtotal (Excl.Tax)","جمع جز (بی مالیات)"
"Subtotal (Incl.Tax)","جمع جز (با مالیات)"
"Shipping & Handling (Excl.Tax)","ارسال و بررسی (بی مالیات)"
"Shipping & Handling (Incl.Tax)","ارسال و بررسی (با مالیات)"
"Grand Total (Excl.Tax)","جمع کل نهایی (بی مالیات)"
"Grand Total (Incl.Tax)","جمع کل نهایی (با مالیات)"
"Sales","حراجی ها"
"Tax","مالیات"
"Manage Tax Rates","مدیریت نرخ‌های مالیات"
"New Tax Rate","نرخ مالیات جدید"
"Tax Zones and Rates","مالیات مناطق و نرخ"
"We can't delete this tax rate right now.","ما اکنون نمیتوانیم این نرخ مالیات را حذف کنیم."
"An error occurred while loading this tax rate.","هنگام بارگیری این نرخ مالیات خطایی روی داد."
"We can't save this rate right now.","ما نمیتوانیم این نرخ را در حال حاضر ذخیره کنیم."
"You deleted the tax rate.","نرخ مالیات را حذف کردید."
"We can't delete this rate because of an incorrect rate ID.","ما نمی توانیم این نرخ را به دلیل یک شناسه نرخ نامعتبر حذف کنیم."
"Something went wrong deleting this rate.","چیزی اشتباه رفت هنگام حذف این نرخ."
"Edit Tax Rate","ویرایش نرخ مالیات"
"You saved the tax rate.","شما نرخ مالیات را ذخیره کردید."
"Tax Rules","قوانین مالیات"
"An error occurred while loading tax rates.","هنگام بارگیری نرخهای مالیات خطایی روی داد."
"The tax rule has been deleted.","قانون مالیات حذف شد."
"This rule no longer exists.","این قانون دیگر وجود ندارد."
"Something went wrong deleting this tax rule.","چیزی اشتباه رخ داده هنگام حذف این قانون مالیات."
"New Tax Rule","قانون مالیات جدید"
"Edit Rule","ویرایش قانون"
"New Rule","قانون جدید"
"You saved the tax rule.","قانون مالیات را نجات ذخیره کردید."
"We can't save this tax rule right now.","ما اکنون نمی توانیم این قانون مالیات را ذخیره کنیم."
"Invalid name of tax class specified.","نام کلاس مالیاتی اشتباه مشخص شده است."
"We can't delete this tax class right now.","اکنون نمیتوانیم این کلاس مالیاتی را حذف کنیم."
"We can't save this tax class right now.","اکنون نمیتوانیم این کلاس مالیات را ذخیره کنیم."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","بازه پایانی باید مساوی یا بیشتر از بازه شروع باشد."
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"%fieldName is a required field.","%fieldName is a required field."
"Invalid value of ""%value"" provided for the %fieldName field.","مقدار نامعتبر ""%value"" برای فیلد %fieldName ارائه شده است."
"This class no longer exists.","این کلاس دیگر وجود ندارد."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","شما نمی توانید این کلاس مالیات را حذف کنید زیرا در قوانین مالیاتی استفاده می شود. شما باید قوانینی را که در ابتدا استفاده می شود حذف کنید."
"You cannot delete this tax class because it is used in existing %1(s).","شما نمیتوانید این کلاس مالیات را حذف کنید زیرا در %1 (ها) موجود است."
"Custom price if available","قیمت سفارشی اگر موجود است"
"Original price only","تنها قیمت اصلی"
"Shipping Address","آدرس ارسال"
"Billing Address","آدرس صورتحساب"
"Shipping Origin","مبدا ارسال"
"No (price without tax)","خیر (قیمت بدون مالیات)"
"Yes (only price with tax)","بله (تنها قیمت با مالیات)"
"Both (without and with tax)","هر دو (بدون و با مالیات)"
"Invalid attribute %1","%1 ویژگی نامعتبر می باشد"
"Code","کد"
"Invalid type supplied","نوع نامعتبر عرضه شده است"
"Class name and class type","نام کلاس و نوع کلاس"
