"Add New Template","افزودن قالب جدید"
"Transactional Emails","ایمیل های تراکنش"
"Back","بازگشت"
"Reset","بازنشانی"
"Delete Template","حذف قالب"
"Convert to Plain Text","تبدیل به متن ساده"
"Return Html Version","برگرداندن نسخه‌ Html"
"Preview Template","پیش نمایش قالب"
"Save Template","ذخیره‌ قالب"
"Load Template","بارگذاری قالب"
"Edit Email Template","ویرایش قالب ایمیل"
"New Email Template","قالب ایمیل جدید"
"Default Config","پیکربندی پیش فرض"
"Template Information","اطلاعات قالب"
"Currently Used For","در حال حاضر استفاده می شود برای"
"Template Name","نام قالب"
"Template Subject","موضوع قالب"
"Insert Variable...","افزودن متغیر..."
"Template Content","محتوای قالب"
"Template Styles","طرح‌ های قالب"
"Preview","پيش نمايش"
"Unknown","ناشناس"
"You deleted the email template.","قالب ایمیل را حذف کردید."
"The email template is currently being used.","این قالب ایمیل در حال حاضر استفاده می شود."
"We can't delete email template data right now. Please review log and try again.","ما اکنون نمیتوانیم دادههای قالب ایمیل را حذف کنیم. لطفا ثبت نام کنید و دوباره امتحان کنید."
"We can't find an email template to delete.","ما نمیتوانیم یک قالب ایمیل برای حذف پیدا کنیم."
"Edit Template","ویرایش قالب"
"Edit System Template","ویرایش قالب سیستم"
"New Template","قالب جدید"
"New System Template","قالب سیستم جدید"
"Email Templates","قالب‌ های ایمیل"
"Email Preview","پیش نمایش ایمیل"
"An error occurred. The email template can not be opened for preview.","خطایی رخ داده است. قالب ایمیل برای پیش نمایش باز نمی شود."
"This email template no longer exists.","این قالب ایمیل دیگر وجود ندارد."
"You saved the email template.","قالب ایمیل را ذخیره کردید."
"Area is already set","Area is already set"
"Design config must have area and store.","Design config must have area and store."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","General Contact Name"
"General Contact Email","General Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Store Name","Store Name"
"Store Phone Number","Store Phone Number"
"Store Hours","Store Hours"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"City","City"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"VAT Number","VAT Number"
"Store Contact Information","Store Contact Information"
"%1","%1"
"Template Variables","متغیرهای قالب"
"Please enter a template name.","لطفا نام قالب را وارد کنید."
"Duplicate Of Template Name","ایجاد نسخه تکراری از نام قالب"
"Invalid transactional email code: %1","کد ایمیل تراکنش نامعتبر است: %1"
"Requested invalid store ""%1""","درخواست فروشگاه نامعتبر ""%1"""
"""file"" parameter must be specified","پارامتر ""فایل"" باید مشخص شود"
"Contents of %s could not be loaded or is empty","Contents of %s could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","پارامتر ""فایل"" باید مشخص شود و نباید خالی باشد"
"Design params must be set before calling this method","پارامترهای طراحی باید قبل از فراخوانی این روش تعیین شود"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","خطای ورودی CSS:"
"Error filtering template: %s","خطا در فیلتر کردن قالب: %s"
"We're sorry, an error has occurred while generating this content.","با عرض پوزش، هنگام ایجاد این مطلب خطایی رخ داده است."
"Invalid sender data","داده فرستنده نامعتبر است"
"Title","عنوان"
"Load default template","Load default template"
"Template","قالب"
"Are you sure you want to strip tags?","آیا مطمئن هستید که می خواهید تگ‌ ها را خالی کنید؟"
"Are you sure you want to delete this template?","آیا مطمئن هستید که می خواهید این قالب را حذف کنید؟"
"The template did not load. Please review the log for details.","قالب بارگذاری نشد. لطفا برای جزئیات بیشتر log را مرور کنید."
"Footer","فوتر"
"Thank you, %store_name","با تشکر، %store_name"
"Header","سربرگ"
"Communications","ارتباطات"
"No Templates Found","قالبی یافت نشد"
"ID","شناسه"
"Added","اضافه شده"
"Updated","به روز رسانی شده"
"Subject","موضوع"
"Template Type","نوع قالب"
"Action","اقدام"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","تصویر لوگو"
"Logo Image Alt","متن جایگزین تصویر لوگو"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","فقط هنگامی که یک تصویر در بالا آپلود شده باشد لازم است. تعداد پیکسل ها را بدون اضافه کردن ""px"" وارد کنید."
"Logo Width","عرض لوگو"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","فقط هنگامی که یک تصویر در بالا آپلود شده باشد لازم است. ارتفاع تصویر را بدون اضافه کردن ""px"" وارد کنید."
"Logo Height","ارتفاع لوگو"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","زمانی که گزینه ""پیش فرض"" انتخاب شده باشد، قالب ایمیل انتخاب شده بر اساس تم آلترناتیو است."
"Header Template","قالب سربرگ"
"Footer Template","قالب فوتر"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
