"Add New Template","Añadir Nueva Plantilla"
"Transactional Emails","Correos electrónicos transaccionales"
"Back","Atrás"
"Reset","Restablecer"
"Delete Template","Eliminar plantilla"
"Convert to Plain Text","Convertir a texto sin formato"
"Return Html Version","Devolver versión Html"
"Preview Template","Vista previa de la plantilla"
"Save Template","Guardar la plantilla"
"Load Template","Cargar plantilla"
"Edit Email Template","Editar plantilla de correo electrónico"
"New Email Template","Nueva plantilla de correo electrónico"
"Default Config","Configuración por defecto"
"Template Information","Información de la plantilla"
"Currently Used For","Actualmente utilizada para"
"Template Name","Nombre de plantilla"
"Template Subject","Asunto de la plantilla"
"Insert Variable...","Insertar Variable..."
"Template Content","Contenido de plantilla"
"Template Styles","Estilos de plantilla"
"Preview","Vista previa"
"Unknown","Desconocido"
"You deleted the email template.","Ha eliminado la plantilla de email."
"The email template is currently being used.","La plantilla de correo electrónico está siendo usada actualmente."
"We can't delete email template data right now. Please review log and try again.","No podemos borrar datos de la plantilla de correo electrónico ahora mismo. Revise el registro y vuelva a intentarlo."
"We can't find an email template to delete.","No podemos encontrar una plantilla de correo electrónico para eliminar."
"Edit Template","Editar la plantilla"
"Edit System Template","Editar plantilla de sistema"
"New Template","Nueva plantilla"
"New System Template","Nueva plantilla de sistema"
"Email Templates","Plantillas de correo electrónico"
"Email Preview","Vista previa del correo electrónico"
"An error occurred. The email template can not be opened for preview.","Se ha producido un error. La plantilla de correo electrónico no se puede abrir para vista previa."
"This email template no longer exists.","Esta plantilla de correo electrónico ya no existe."
"You saved the email template.","Ha guardado la plantilla de email."
"Area is already set","La área ya esta establecida"
"Design config must have area and store.","La configuración de diseño debe tener un área y una tienda."
"Base Unsecure URL","Dirección URL básica insegura"
"Base Secure URL","Dirección URL básica segura"
"General Contact Name","Contacto general - nombre"
"General Contact Email","Contacto general - correo electrónico"
"Sales Representative Contact Name","Nombre de contacto del agente de ventas"
"Sales Representative Contact Email","Correo electrónico de contacto del agente de ventas"
"Custom1 Contact Name","Nombre de contacto del cliente1"
"Custom1 Contact Email","Correo electrónico de contacto del cliente1"
"Custom2 Contact Name","Nombre de contacto del cliente2"
"Custom2 Contact Email","Correo electrónico de contacto del cliente2"
"Store Name","Nombre de la tienda"
"Store Phone Number","Número de teléfono de la tienda"
"Store Hours","Horario"
"Country","País"
"Region/State","Región/Provincia"
"Zip/Postal Code","Código Postal"
"City","Ciudad"
"Street Address 1","Domicilio 1"
"Street Address 2","Dirección postal 2"
"VAT Number","Número de IVA"
"Store Contact Information","Tienda Información de contacto"
"%1","%1"
"Template Variables","Plantillas Variables"
"Please enter a template name.","Por favor, ingrese un nombre de plantilla."
"Duplicate Of Template Name","Duplicado del nombre de plantilla"
"Invalid transactional email code: %1","Código de email transaccional invalido: %1"
"Requested invalid store ""%1""","Tienda solicitada ""%1"" inválida"
"""file"" parameter must be specified","se debe especificar el parámetro ""file"""
"Contents of %s could not be loaded or is empty","Contenido de %s no se pudo cargar o está vacío"
"""file"" parameter must be specified and must not be empty","Parámetro ""archivo"" debe ser especificado y no debe estar vacío"
