"Add New Template","Új sablon hozzáadása"
"Transactional Emails","Kereskedési e-mailek"
"Back","Vissza"
"Reset","Alaphelyzet"
"Delete Template","Sablon törlése"
"Convert to Plain Text","Egyszerű szöveges üzenetté konvertálás"
"Return Html Version","Vissza a Html-verzióhoz"
"Preview Template","Sablon előnézete"
"Save Template","Sablon mentése"
"Load Template","Sablon betöltése"
"Edit Email Template","E-mailsablon szerkesztése"
"New Email Template","Új E-mailsablon"
"Default Config","Alapértelmezett beállítás"
"Template Information","Sablon információk"
"Currently Used For","Használva jelenleg"
"Template Name","Sablon neve"
"Template Subject","Sablon tárgya"
"Insert Variable...","Változó beszúrása..."
"Template Content","Sablon tartalma"
"Template Styles","Sablon stílusa"
"Preview","Előnézet"
"Unknown","Ismeretlen"
"You deleted the email template.","Törölte az e-mailsablont."
"The email template is currently being used.","Az e-mailsablon jelenleg használatban van."
"We can't delete email template data right now. Please review log and try again.","We can't delete email template data right now. Please review log and try again."
"We can't find an email template to delete.","We can't find an email template to delete."
"Edit Template","Sablon szerkesztése"
"Edit System Template","Rendszersablon szerkesztése"
"New Template","Új sablon"
"New System Template","Új rendszersablon"
"Email Templates","E-mailsablonok"
"Email Preview","Email előnézet"
"An error occurred. The email template can not be opened for preview.","Hiba történt! Az e-mailsablon előnézete nem nyitható meg."
"This email template no longer exists.","Ez az email sablon már nem létezik."
"You saved the email template.","Mentette az e-mailsablont."
"Area is already set","A terület már be van állítva"
"Design config must have area and store.","A dizájnbeállításoknál terület és bolt is kell legyen."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","Általános kapcsolattartó neve"
"General Contact Email","Általános kapcsolattartó email címe"
"Sales Representative Contact Name","Értékesítési képviselő neve"
"Sales Representative Contact Email","Értékesítési képviselő email címe"
"Custom1 Contact Name","Egyéni1 kapcsolattartó neve"
"Custom1 Contact Email","Egyéni1 kapcsolattartó email címe"
"Custom2 Contact Name","Egyéni2 kapcsolattartó neve"
"Custom2 Contact Email","Egyéni2 kapcsolattartó email címe"
"Store Name","A bolt megnevezése"
"Store Phone Number","A bolt telefonszáma"
"Store Hours","Webáruház nyitvatartási ideje"
"Country","Ország"
"Region/State","Régió/állam"
"Zip/Postal Code","Irányítószám"
"City","Város"
"Street Address 1","Utca, házszám 1"
"Street Address 2","Utca, házszám 2"
"VAT Number","Adószám"
"Store Contact Information","Kapcsolattartási információk tárolása"
"%1","%1"
"Template Variables","Sablonváltozók"
"Please enter a template name.","Kérjük, adja meg a sablon nevét!"
"Duplicate Of Template Name","Sablonnév másolása"
"Invalid transactional email code: %1","Érvénytelen tranzakciós e-mailkód: %1"
"Requested invalid store ""%1""","A kért ""%1"" bolt érvénytelen"
"""file"" parameter must be specified","A ""fájl"" paramétert kötelező megadni"
"Contents of %s could not be loaded or is empty","A(z) %s tartalma nem tölthető be vagy üres"
"""file"" parameter must be specified and must not be empty","A ""fájl"" paramétert meg kell adni, és nem lehet üres"
"Design params must be set before calling this method","A dizájnparamétereket be kell állítani e mód hívása előtt"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS-hiba:"
"Error filtering template: %s","Hibaszűrési sablon: %s"
"We're sorry, an error has occurred while generating this content.","We're sorry, an error has occurred while generating this content."
"Invalid sender data","Érvénytelen feladóadatok"
"Title","Cím"
"Load default template","Alapértelmezett sablon betöltése"
"Template","Sablon"
"Are you sure you want to strip tags?","Biztosan eltávolítja a címkéket?"
"Are you sure you want to delete this template?","Biztosan törli e sablont?"
"The template did not load. Please review the log for details.","A sablon nem töltődött be! Részletek a naplófájlban."
"Footer","Lábléc"
"Thank you, %store_name","Köszönettel: %store_name"
"Header","Fejléc"
"Communications","Kommunikáció"
"No Templates Found","Nincsenek sablonok"
"ID","Azonosító"
"Added","Hozzáadva"
"Updated","Frissítve"
"Subject","Tárgy"
"Template Type","Sablon típusa"
"Action","Akció"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Engedélyezett fájltípusok: jpg, jpeg, gif, png. A logó nagy felbontású kijelzőkhöz való optimalizálásához töltsön fel egy képet háromszoros méretben, majd adja meg az eredeti méretet az alábbi szélesség és magasság mezőkben!"
"Logo Image","Logó"
"Logo Image Alt","Logó helyettesítő szövege (alt tag)"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Csak akkor szükséges, ha egy kép már föntebb föl lett töltve. Adja meg a pixelek számát ""px"" nélkül!"
"Logo Width","Logó szélessége"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Csak akkor szükséges, ha egy kép már föntebb föl lett töltve. Adja meg a kép magasságát ""px"" nélkül!"
"Logo Height","Logó magassága"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","A tartaléktéma alapján kiválasztott e-mailsablon, amikor az ""Alapértelmezett"" opció ki van jelölve."
"Header Template","Fejlécsablon"
"Footer Template","Láblécsablon"
"We're sorry, an error has occurred while generating this email.","Sajnáljuk, de hiba történt az e-mail generálása során!"
"Emails","Emailek"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Engedélyezett fájltípusok: jpg, jpeg, gif, png. A logo nagy felbontású kijelzőkhöz való optimalizálásához tölts fel egy képet háromszoros méretben majd add meg az eredeti méretet az alábbi szélesség és magasság mezőkben."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Csak akkor szükséges, ha egy kép már fel lett töltve feljebb. Add meg a pixelek számát ""px"" nélkül."
"Email template chosen based on theme fallback when ""Default"" option is selected.","A kiválasztott email sablon alapján a tartalék téma amikor az ""Alapértelmezett"" opció van kiválasztva."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
