"Add New Template","Nieuw sjabloon toevoegen"
"Transactional Emails","Transactionele e-mails"
"Back","Terug"
"Reset","Resetten"
"Delete Template","Sjabloon verwijderen"
"Convert to Plain Text","Omzetten naar platte tekst"
"Return Html Version","Geef HTML-versie terug"
"Preview Template","Voorbeeld Sjabloon"
"Save Template","Sjabloon Opslaan"
"Load Template","Sjabloon Laden"
"Edit Email Template","E-mail-sjabloon bewerken"
"New Email Template","Nieuwe e-mail-sjabloon"
"Default Config","Standaard configuratie"
"Template Information","Template informatie"
"Currently Used For","Momenteel gebruikt voor"
"Template Name","Template naam"
"Template Subject","Template onderwerp"
"Insert Variable...","Variabele waarde invoegen..."
"Template Content","Template inhoud"
"Template Styles","Template Stijl"
"Preview","Voorbeeld"
"Unknown","Onbekend"
"You deleted the email template.","Je hebt het e-mail sjabloon verwijderd."
"The email template is currently being used.","Het e-mail sjabloon wordt momenteel gebruikt."
"We can't delete email template data right now. Please review log and try again.","Wij kunnen de e-mail sjabloongegevens nu niet verwijderen. Controleer het logboek en probeer het opnieuw."
"We can't find an email template to delete.","We vinden kunnen het e-mail sjabloon om te verwijderen niet vinden."
"Edit Template","Template bewerken"
"Edit System Template","Systeem-sjabloon bewerken"
"New Template","Nieuw sjabloon"
"New System Template","Nieuw systeem-sjabloon"
"Email Templates","E-mailsjablonen"
"Email Preview","Voorvertoning E-mail"
"An error occurred. The email template can not be opened for preview.","Er is een fout opgetreden. De e-mailtemplate kan niet worden geopend als voorvertoning."
"This email template no longer exists.","Dit e-mail-sjabloon bestaat niet meer."
"You saved the email template.","U hebt de e-mailtemplate opgeslagen."
"Area is already set","Area is already set"
"Design config must have area and store.","Design config must have area and store."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","General Contact Name"
"General Contact Email","General Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Store Name","Store Name"
"Store Phone Number","Store Phone Number"
"Store Hours","Store Hours"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"City","City"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"VAT Number","VAT Number"
"Store Contact Information","Store Contact Information"
"%1","%1"
"Template Variables","Templatevariabelen"
"Please enter a template name.","Voer een sjabloonnaam in."
"Duplicate Of Template Name","Kopie van sjabloon-naam"
"Invalid transactional email code: %1","Ongeldige transactionele email code: %1"
"Requested invalid store ""%1""","Ongeldige winkel opgevraagd ""%s1"
"""file"" parameter must be specified","""bestand"" parameter moet worden opgegeven"
"Contents of %s could not be loaded or is empty","Contents of %s could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""bestand"" parameter moet worden opgegeven en kan niet leeg zijn"
"Design params must be set before calling this method","Ontwerp params moet worden ingesteld voordat u deze methode aanroept"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining fout:"
"Error filtering template: %s","Fout filteren sjabloon: %s"
"We're sorry, an error has occurred while generating this content.","Er is een fout opgetreden bij het genereren van deze content."
"Invalid sender data","Ongeldige gegevens afzender"
"Title","Titel"
"Load default template","Load default template"
"Template","Template"
"Are you sure you want to strip tags?","Weet u zeker dat u tags wilt strippen?"
"Are you sure you want to delete this template?","Weet u zeker dat u dit sjabloon wilt verwijderen?"
"The template did not load. Please review the log for details.","De sjabloon niet is geladen. Controleer het logboek voor meer informatie."
"Footer","onderschrift"
"Thank you, %store_name","Dank u, %store_name"
"Header","Header"
"Communications","Communicatie"
"No Templates Found","Geen sjablonen gevonden"
"ID","ID"
"Added","Toegevoegd"
"Updated","Bijgewerkt"
"Subject","Onderwerp"
"Template Type","Template soort"
"Action","Actie"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Logo afbeelding"
"Logo Image Alt","Alt-tekst logo"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Enkkel verplicht als u hierboven een afbeelding heeft geupload. Geeft het aantal pixels in, zonder ""px"" toe te voegen."
"Logo Width","Logo breedte"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Enkkel verplicht als u hierboven een afbeelding heeft geupload. Geeft het aantal pixels in, zonder ""px"" toe te voegen."
"Logo Height","Logo hoogte"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Header Template","Koptekst sjabloon"
"Footer Template","Voettekst sjabloon"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
