"Add New Template","ಹೊಸ ಮಾದರಿಯನ್ನು ಸೇರಿಸಿ"
"Transactional Emails","ವ್ಯಾವಹಾರಿಕ ಮಿಂಚೆಗಳು"
"Back","ಹಿಂದೆ"
"Reset","ಮರುಹೊಂದಿಸಿ"
"Delete Template","ಮಾದರಿಯನ್ನು ಅಳಿಸಿ"
"Convert to Plain Text","Convert to Plain Text"
"Return Html Version","Return Html Version"
"Preview Template","ಮುನ್ನೋಟ ಮಾದರಿ"
"Save Template","ಮಾದರಿಯನ್ನು ಉಳಿಸಿ"
"Load Template","Load Template"
"Edit Email Template","ಮಿಂಚೆಯ ಮಾದರಿ ಸಂಪಾದಿಸಿ"
"New Email Template","ಹೊಸ ಮಿಂಚೆಯ ಮಾದರಿ"
"Default Config","Default Config"
"Template Information","ಮಾದರಿ ಮಾಹಿತಿ"
"Currently Used For","Currently Used For"
"Template Name","ಮಾದರಿಯ ಹೆಸರು"
"Template Subject","Template Subject"
"Insert Variable...","Insert Variable..."
"Template Content","Template Content"
"Template Styles","Template Styles"
"Preview","ಮುನ್ನೋಟ"
"Unknown","ಅಜ್ಞಾತ"
"You deleted the email template.","You deleted the email template."
"The email template is currently being used.","The email template is currently being used."
"We can't delete email template data right now. Please review log and try again.","We can't delete email template data right now. Please review log and try again."
"We can't find an email template to delete.","We can't find an email template to delete."
"Edit Template","ಮಾದರಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"Edit System Template","Edit System Template"
"New Template","ಹೊಸ ಮಾದರಿ"
"New System Template","New System Template"
"Email Templates","ಮಿಂಚೆಯ ಮಾದರಿಗಳು"
"Email Preview","ಮಿಂಚೆ ಮುನ್ನೋಟ"
"An error occurred. The email template can not be opened for preview.","An error occurred. The email template can not be opened for preview."
"This email template no longer exists.","This email template no longer exists."
"You saved the email template.","You saved the email template."
"Area is already set","Area is already set"
"Design config must have area and store.","Design config must have area and store."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","General Contact Name"
"General Contact Email","General Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Store Name","Store Name"
"Store Phone Number","Store Phone Number"
"Store Hours","Store Hours"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"City","City"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"VAT Number","VAT Number"
"Store Contact Information","Store Contact Information"
"%1","%1"
"Template Variables","Template Variables"
"Please enter a template name.","ದಯವಿಟ್ಟು ಮಾದರಿಯ ಹೆಸರನ್ನು ನಮೂದಿಸಿ."
"Duplicate Of Template Name","Duplicate Of Template Name"
"Invalid transactional email code: %1","Invalid transactional email code: %1"
"Requested invalid store ""%1""","Requested invalid store ""%1"""
"""file"" parameter must be specified","""file"" parameter must be specified"
"Contents of %s could not be loaded or is empty","Contents of %s could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""file"" parameter must be specified and must not be empty"
"Design params must be set before calling this method","Design params must be set before calling this method"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining error:"
"Error filtering template: %s","Error filtering template: %s"
"We're sorry, an error has occurred while generating this content.","We're sorry, an error has occurred while generating this content."
"Invalid sender data","Invalid sender data"
"Title","ಶೀರ್ಷಿಕೆ"
"Load default template","Load default template"
"Template","ಮಾದರಿ"
"Are you sure you want to strip tags?","Are you sure you want to strip tags?"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"The template did not load. Please review the log for details.","The template did not load. Please review the log for details."
"Footer","ಅಡಿಬರಹ"
"Thank you, %store_name","ಧನ್ಯವಾದಗಳು, %store_name"
"Header","ತಲೆಬರಹ"
"Communications","ಸಂವಹನಗಳು"
"No Templates Found","No Templates Found"
"ID","ID"
"Added","ಸೇರಿಸಲಾದ"
"Updated","ಪರಿಷ್ಕರಿಸಿದ"
"Subject","ವಿಷಯ"
"Template Type","ಮಾದರಿಯ ವಿಧ"
"Action","ಕ್ರಿಯೆ"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","ಲೋಗೋ ಚಿತ್ರ"
"Logo Image Alt","Logo Image Alt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px""."
"Logo Width","Logo Width"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px""."
"Logo Height","Logo Height"
