"Add New Template","नया टेम्पलेट जोड़ें"
"Transactional Emails","लेन-देन संबंधी ईमेल"
"Back","वापस"
"Reset","रीसेट"
"Delete Template","टेम्पलेट हटाएं"
"Convert to Plain Text","सादा पाठ में परिवर्तित करें"
"Return Html Version","Html संस्करण लौटें"
"Preview Template","टेम्पलेट का पूर्वावलोकन करें"
"Save Template","टेम्पलेट सहेजें"
"Load Template","लोड टेम्पलेट"
"Edit Email Template","ईमेल टेम्पलेट संपादित करें"
"New Email Template","नया ईमेल टेम्पलेट"
"Default Config","डिफ़ॉल्ट कॉन्फ़िगरेशन"
"Template Information","साँचा जानकारी"
"Currently Used For","वर्तमान में इसके लिए उपयोग किया जाता है"
"Template Name","टेम्पलेट नाम"
"Template Subject","टेम्पलेट विषय"
"Insert Variable...","चर डालें ..."
"Template Content","टेम्पलेट सामग्री"
"Template Styles","टेम्पलेट शैलियाँ"
"Preview","पूर्वावलोकन"
"Unknown","अनजान"
"You deleted the email template.","आपने ईमेल टेम्प्लेट हटा दिया है।"
"The email template is currently being used.","वर्तमान में ईमेल टेम्पलेट का उपयोग किया जा रहा है।"
"We can't delete email template data right now. Please review log and try again.","हम अभी ईमेल टेम्प्लेट डेटा नहीं हटा सकते हैं। कृपया लॉग की समीक्षा करें और पुनः प्रयास करें।"
"We can't find an email template to delete.","हम हटाने के लिए एक ईमेल टेम्पलेट नहीं ढूंढ सकते।"
"Edit Template","टेम्पलेट संपादित करें"
"Edit System Template","सिस्टम टेम्पलेट संपादित करें"
"New Template","नया टेम्पलेट"
"New System Template","नई प्रणाली टेम्पलेट"
"Email Templates","ईमेल टेम्प्लेट"
"Email Preview","ईमेल पूर्वावलोकन"
"An error occurred. The email template can not be opened for preview.","एक त्रुटि पाई गई। ईमेल टेम्प्लेट पूर्वावलोकन के लिए नहीं खोला जा सकता है।"
"This email template no longer exists.","यह ईमेल टेम्प्लेट अब मौजूद नहीं है।"
"You saved the email template.","आपने ईमेल टेम्प्लेट सहेजा है।"
"Area is already set","क्षेत्र पहले से ही निर्धारित है"
"Design config must have area and store.","डिज़ाइन कॉन्फ़िगरेशन में क्षेत्र और स्टोर होना चाहिए।"
"Base Unsecure URL","आधार असुरक्षित URL"
"Base Secure URL","आधार सुरक्षित URL"
"General Contact Name","सामान्य संपर्क नाम"
"General Contact Email","सामान्य संपर्क ईमेल"
"Sales Representative Contact Name","बिक्री प्रतिनिधि संपर्क नाम"
"Sales Representative Contact Email","बिक्री प्रतिनिधि संपर्क ईमेल"
"Custom1 Contact Name","Custom1 संपर्क नाम"
"Custom1 Contact Email","Custom1 संपर्क ईमेल"
"Custom2 Contact Name","Custom2 संपर्क नाम"
"Custom2 Contact Email","Custom2 संपर्क ईमेल"
"Store Name","स्टोर नाम"
"Store Phone Number","फोन नंबर स्टोर करें"
"Store Hours","दुकान घंटे"
"Country","देश"
"Region/State","क्षेत्र / राज्य"
"Zip/Postal Code","ज़िप / पोस्टल कोड"
"City","Faridabad"
"Street Address 1","सड़क पता 1"
"Street Address 2","गली का पता 2"
"VAT Number","वैट क्रमांक"
"Store Contact Information","संपर्क जानकारी स्टोर करें"
"%1","% 1"
"Template Variables","टेम्प्लेट चर"
