"Add New Template","新しいテンプレートの追加"
"Transactional Emails","取引メール"
"Back","戻る"
"Reset","リセット"
"Delete Template","テンプレートの削除"
"Convert to Plain Text","プレーンテキストに変換"
"Return Html Version","HTMLバージョンに戻る"
"Preview Template","テンプレートのプレビュー"
"Save Template","テンプレートの保存"
"Load Template","テンプレートを読み込む"
"Edit Email Template","メールテンプレートの編集"
"New Email Template","新規メールテンプレート"
"Default Config","標準の設定"
"Template Information","テンプレート情報"
"Currently Used For","現在使用されている"
"Template Name","テンプレート名"
"Template Subject","テンプレート件名"
"Insert Variable...","変数の挿入..."
"Template Content","テンプレートコンテンツ"
"Template Styles","テンプレートスタイル"
"Preview","プレビュー"
"Unknown","不明"
"You deleted the email template.","Eメールのテンプレートを削除しました"
"The email template is currently being used.","メールテンプレートは現在使われております"
"We can't delete email template data right now. Please review log and try again.","メールのテンプレートは現在削除できません。後で再度お試しください。"
"We can't find an email template to delete.","Eメールテンプレートで削除するものがみつかりません"
"Edit Template","テンプレートの編集"
"Edit System Template","システムテンプレートの編集"
"New Template","新規テンプレート"
"New System Template","新規システムテンプレート"
"Email Templates","メールテンプレート"
"Email Preview","Email プレビュー"
"An error occurred. The email template can not be opened for preview.","エラーが発生しました。 メールテンプレートはプレビューのために開くことができません"
"This email template no longer exists.","このメールテンプレートはもはや存在しません"
"You saved the email template.","Eメールテンプレートを保存しました。"
"Area is already set","Area is already set"
"Design config must have area and store.","Design config must have area and store."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","General Contact Name"
"General Contact Email","General Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Store Name","Store Name"
"Store Phone Number","Store Phone Number"
"Store Hours","Store Hours"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"City","City"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"VAT Number","VAT Number"
"Store Contact Information","Store Contact Information"
"%1","%1"
"Template Variables","テンプレート変数"
"Please enter a template name.","テンプレート名を入力"
