"Add New Template","Adicionar Novo Template"
"Transactional Emails","Emails Transacionais"
"Back","Voltar"
"Reset","Repor"
"Delete Template","Remover Template"
"Convert to Plain Text","Converter para Texto sem Formatação"
"Return Html Version","Retornar a Versão Html"
"Preview Template","Pré-Visualizar Template"
"Save Template","Gravar Template"
"Load Template","Carregar Template"
"Edit Email Template","Editar Template de Email"
"New Email Template","Novo Template de Email"
"Default Config","Configuração Pré-definida"
"Template Information","Informação do Template"
"Currently Used For","Usado Atualmente Para"
"Template Name","Nome do Template"
"Template Subject","Assunto do Template"
"Insert Variable...","Inserir Variável..."
"Template Content","Conteúdo do Template"
"Template Styles","Estilos do Template"
"Preview","Pré-Visualizar"
"Unknown","Desconhecido"
"You deleted the email template.","Removeu o template de email."
"The email template is currently being used.","O template de email está a ser usado."
"We can't delete email template data right now. Please review log and try again.","De momento não é possível remover os dados do template de email. Por favor consulte o log e tente novamente."
"We can't find an email template to delete.","Não conseguimos encontrar um template de email para remover."
"Edit Template","Editar Template"
"Edit System Template","Editar Template de Sistema"
"New Template","Novo Template"
"New System Template","Novo Template de Sistema"
"Email Templates","Templates de Email"
"Email Preview","Pré-Visualizar Email"
"An error occurred. The email template can not be opened for preview.","Ocorreu um erro. Não é possível pré-visualizar o template de email."
"This email template no longer exists.","Este template de email já não existe."
"You saved the email template.","Gravou o template de email."
"The design config needs an area and a store. Verify that both are set and try again.","A configuração de design precisa de uma área e uma loja. Verifique se ambos estão definidos e tente novamente."
"%1","%1"
"Template Variables","Variáveis do Template"
"Please enter a template name.","Por favor insira um nome para o template."
"Duplicate Of Template Name","Duplicado do Nome do Template"
"Invalid transactional email code: %1","Código de email transacional inválido: %1"
"Requested invalid store ""%1""","Solicitou uma loja inválida ""%1"""
"Contents of %1 could not be loaded or is empty","Os conteúdos de %1 não puderam ser carregados ou está vazio"
"""file"" parameter must be specified","O parâmetro ""ficheiro"" deve ser especificado"
"Contents of the specified CSS file could not be loaded or is empty","O conteúdo do arquivo CSS especificado não pôde ser carregado ou está vazio"
"""file"" parameter must be specified and must not be empty","O parâmetro ""ficheiro"" deve ser especificado e não pode estar vazio"
"Design params must be set before calling this method","Os parâmetros de design devem estar definidos antes de chamar este método"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","Erro de inlining de CSS:"
"Error filtering template: %s","Erro ao filtrar o template: %s"
"We're sorry, an error has occurred while generating this content.","Pedimos desculpa, ocorreu um erro ao gerar este conteúdo."
"Invalid sender data","Dados do remetente inválidos"
"Unable to send mail. Please try again later.","Unable to send mail. Please try again later."
"Title","Título"
"expectedResult","resultadoesperado"
"Load Default Template","Carregar template pré-definido"
"Template","Modelo"
"Are you sure you want to strip tags?","Tem a certeza que pretende remover as tags?"
"Are you sure you want to delete this template?","Tem a certeza que pretende remover este template?"
"The template did not load. Please review the log for details.","O template não carregou. Por favor consulte o log para obter detalhes."
"Footer","Rodapé"
"Thank you, %store_name","Obrigado, %store_name"
"Header","Cabeçalho"
"Communications","Comunicações"
"No Templates Found","Nenhum Template Encontrado"
"ID","Id."
"Added","Adicionado"
"Updated","Atualizado"
"Subject","Assunto"
"Template Type","Tipo de Template"
"Action","Ação"
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Tipos de ficheiro permitidos: jpg, jpeg, gif, png. Para otimizar o logótipo para ecrãs de alta resolução, carregue uma imagem que tenha 3 vezes o tamanho normal e especifique a dimensão normal nos campos de largura/altura abaixo."
"Logo Image","Imagem do Logótipo"
"Logo Image Alt","Texto Alternativo à Imagem do Logótipo"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Apenas necessário se a imagem foi carregada acima. Introduza o número de píxeis, sem acrescentar ""px""."
"Logo Width","Largura do Logótipo"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Apenas necessário se a imagem foi carregada acima. Introduza a altura da imagem em píxeis, sem acrescentar ""px""."
"Logo Height","Altura do Logótipo"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","O template de email é escolhido com base no tema de recurso quando a opção ""Default"" está selecionada."
"Header Template","Template de Cabeçalho"
"Footer Template","Template de Rodapé"
