"Add New Template","Προσθήκη Νέου Πρότυπου"
"Transactional Emails","Emails Συναλλαγών"
"Back","Πίσω"
"Reset","Επαναφορά"
"Delete Template","Διαγραφή προτύπου"
"Convert to Plain Text","Μετατροπή σε απλό κείμενο"
"Return Html Version","Έκδοση Επιστροφής Html"
"Preview Template","Προεπισκόπηση Προτύπου"
"Save Template","Αποθήκευση προτύπου"
"Load Template","Φόρτωση προτύπου"
"Edit Email Template","Επεξεργασία προτύπου Email"
"New Email Template","Νέο Πρότυπο Email"
"Default Config","Προεπιλεγμένη Ρύθμιση"
"Template Information","Πληροφορίες Πρότυπου"
"Currently Used For","Επί του παρόντος χρησιμοποιούνται για"
"Template Name","Όνομα προτύπου"
"Template Subject","Θέμα Προτύπου"
"Insert Variable...","Εισαγωγή μεταβλητής..."
"Template Content","Περιεχόμενο Προτύπου"
"Template Styles","Στυλ προτύπου"
"Preview","Προεπισκόπηση"
"Unknown","Άγνωστο"
"You deleted the email template.","Διαγράψατε το πρότυπο email."
"The email template is currently being used.","Το πρότυπο email χρησιμοποιείται αυτήν τη στιγμή."
"We can't delete email template data right now. Please review log and try again.","Αυτή τη στιγμή δεν είναι δυνατή η διαγράφή δεδομένων πρότυπου ηλεκτρονικού ταχυδρομείου. Παρακαλούμε αναθεωρήστε τις καταγραφές και προσπαθήστε ξανά."
"We can't find an email template to delete.","Δεν βρέθηκε ένα πρότυπο ηλεκτρονικού ταχυδρομείου για διαγραφή."
"Edit Template","Επεξεργασία προτύπου"
"Edit System Template","Επεξεργασία προτύπου συστήματος"
"New Template","Νέο πρότυπο"
"New System Template","Νέο πρότυπο συστήματος"
"Email Templates","Πρότυπα Ηλεκτρονικού Ταχυδρομείου"
"Email Preview","Προεπισκόπηση Ηλεκτρονικού Ταχυδρομείου"
"An error occurred. The email template can not be opened for preview.","Παρουσιάστηκε ένα σφάλμα. Δεν μπορεί να ανοίξει το πρότυπο email για προεπισκόπηση."
"This email template no longer exists.","Αυτό το πρότυπο email δεν υπάρχει πλέον."
"You saved the email template.","Αποθηκεύσατε το πρότυπο email."
"Area is already set","Η Περιοχή έχει ήδη οριστεί"
"Design config must have area and store.","Ρυθμίσεις Σχεδιασμού πρέπει να έχουν χώρο και κατάστημα."
"Base Unsecure URL","Μη Ασφαλής διεύθυνση URL Βάσης"
"Base Secure URL","Ασφαλής διεύθυνση URL Βάσης"
"General Contact Name","Γενικό όνομα επαφής"
"General Contact Email","Γενικό email επαφής"
"Sales Representative Contact Name","Όνομα Επαφής Αντιπρόσωπου Πωλήσεων"
"Sales Representative Contact Email","Email Επαφής Αντιπρόσωπου Πωλήσεων"
"Custom1 Contact Name","Προσαρμοσμένο 1 Όνομα Επαφής"
