"Add New Template","Lisää uusi malli"
"Transactional Emails","Transaktioihin liittyvät sähköpostit"
"Back","Takaisin"
"Reset","Tyhjennä"
"Delete Template","Poista malli"
"Convert to Plain Text","Muuta tekstimuotoon"
"Return Html Version","Palauta html-versio"
"Preview Template","Esikatsele mallia"
"Save Template","Tallenna malli"
"Load Template","Lataa malli"
"Edit Email Template","Muokkaa sähköpostimallia"
"New Email Template","Uusi sähköpostimalli"
"Default Config","Oletusasetukset"
"Template Information","Tietoja mallipohjasta"
"Currently Used For","Tällä hetkellä käytetään"
"Template Name","Mallipohjan nimi"
"Template Subject","Mallin aihe"
"Insert Variable...","Lisää muuttuja..."
"Template Content","Mallin sisältö"
"Template Styles","Mallipohjatyylit"
"Preview","Esikatselu"
"Unknown","Tuntematon"
"You deleted the email template.","Sähköpostimalli poistettiin."
"The email template is currently being used.","Sähköpostipohja on käytössä."
"We can't delete email template data right now. Please review log and try again.","Emme voi poistaa sähköpostimallia juuri nyt. Tarkista loki ja yritä uudelleen."
"We can't find an email template to delete.","Emme löydä sähköpostimallia poistettavaksi."
"Edit Template","Muokkaa mallia"
"Edit System Template","Edit System Template"
"New Template","Uusi viestipohja"
"New System Template","New System Template"
"Email Templates","Sähköpostimallit"
"Email Preview","Sähköpostin esikatselu"
"An error occurred. The email template can not be opened for preview.","Tapahtui virhe, sähköpostimallia ei voida avata esikatselussa."
"This email template no longer exists.","Sähköpostimallia ei enää ole olemassa."
"You saved the email template.","Sähköpostimalli on tallennettu."
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"%1","%1"
"Template Variables","Mallin muuttujat"
"Please enter a template name.","Ole hyvä ja syötä mallin nimi."
"Duplicate Of Template Name","Mallin nimen kaksoiskappale"
"Invalid transactional email code: %1","Virheellinen tapahtumatietosähköpostikoodi: %1"
"Requested invalid store ""%1""","Pyydetty virheellinen kauppa ""%1"""
"Contents of %1 could not be loaded or is empty","Contents of %1 could not be loaded or is empty"
"""file"" parameter must be specified","""tiedosto""-parametri on määritettävä"
"Contents of the specified CSS file could not be loaded or is empty","Contents of the specified CSS file could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""tiedosto""-parametri on määritettävä, eikä se saa olla tyhjä"
"Design params must be set before calling this method","Ulkoasun parametrit on määritettävä ennen tämän menetelmän kutsumista"
"<pre> %1 </pre>","<pre>%1</pre>"
"CSS inlining error:","CSS inlining -virhe:"
"Error filtering template: %s","Virhe suodattaessa mallia: %s"
"We're sorry, an error has occurred while generating this content.","We're sorry, an error has occurred while generating this content."
"Invalid sender data","Virheelliset lähettäjän tiedot"
"Unable to send mail. Please try again later.","Unable to send mail. Please try again later."
"Title","Otsikko"
"expectedResult","expectedResult"
"Load Default Template","Load Default Template"
"Template","Malli"
"Are you sure you want to strip tags?","Oletko varma, että haluat poistaa tagit?"
"Are you sure you want to delete this template?","Oletko varma, että halua poistaa tämän pohjan?"
"The template did not load. Please review the log for details.","Malli ei lataudu. Tarkista logi lisätietoja varten."
"Footer","Alatunniste"
"Thank you, %store_name","Kiittäen, %store_name"
"Header","Ylätunniste"
"Communications","Viestinnät"
"No Templates Found","Malleja ei löydy"
"ID","Tunnus"
"Added","Lisätty"
"Updated","Päivitetty"
"Subject","Aihe"
"Template Type","Mallityyppi"
"Action","Toiminto"
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Logon kuva"
"Logo Image Alt","Logon kuvan vaihtoehtoisteksti"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Tarpeen vain, jos kuva on ladattu ylempänä. Kirjoita kuvapisteinä, ilman lisäämällä ""px""."
"Logo Width","Logon leveys"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Tarpeen vain, jos kuva on ladattu ylempänä. Kirjoita kuvapisteinä, ilman lisäämällä ""px""."
"Logo Height","Logon korkeus"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"Header Template","Otsikon malli"
"Footer Template","Alatunnisteen malli"
