"Manage Shopping Cart","Gérer votre panier"
"Create Order","Créer une commande"
"Back","Retour"
"Add Products","Ajouter des produits"
"Update Items and Quantities","Mettre à jour les articles et quantités"
"Are you sure you want to clear your cart?","Êtes-vous certain(e) de vouloir vider le panier ?"
"Clear my shopping cart","Vider mon panier"
"Add selections to my cart","Ajouter les éléments sélectionnés au panier"
"Cancel","Annuler"
"Shopping Cart for %1 in %2","Panier pour %1 dans %2"
"Select products you want to buy","Sélectionnez les produits que vous voulez acheter"
"Product","Produit"
"Price","Prix"
"Quantity","Quantité"
"Products in the Comparison List (%1)","Produits dans la liste de comparaison (%1)"
"Last ordered items (%1)","Derniers articles commandés (%1)"
"Products","Produits"
"ID","Identifiant"
"SKU","REF"
"Recently Compared Products (%1)","Produits récemment comparés (%1)"
"Recently Viewed Products (%1)","Produits vus récemment (%1)"
"Add to Shopping Cart by SKU","Ajouter au panier par RÉF"
"Add to Shopping Cart","Ajouter au panier"
"Wish List (%1)","Liste d'achats (%1)"
"Apply","Appliquer"
"Configure","Configurer"
"Add to Order by SKU","Ajouter à la commande par RÉF"
"Add to Order","Ajouter à la commande"
"Add Products to Order","Ajouter des produits à la commande"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produit(s) nécessitant une vérification.</span>"
"Remove All","Tout supprimer"
"Only %1%2%3 left in stock","Seulement %1%2%3 en stock !"
"You can buy up to %1 of these per purchase.","Pas plus de %1 exemplaire de ce produit par commande."
"You must buy at least %1 of these per purchase.","Vous devez acheter au moins %1 de ce produit par commande."
"Specify the product's options.","Définir les options de ce produit."
"Alert me when this item is available.","M'avertir lorsque cet élément est disponible."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","La gestion de panier est désactivé pour ce client."
"We can't find this store.","We can't find this store."
"Customers","Clients"
"Shopping Cart","Panier"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","Vous n'avez pas accès."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","Une erreur s'est produite. Consultez le journal des erreurs pour plus de détails."
"You cannot configure a product.","Vous ne pouvez pas configurer un produit."
"You removed the items.","Vous avez supprimé les éléments."
"You removed the item.","Vous avez supprimé l'élément."
"You added %1 to your shopping cart.","Vous avez ajouté %1 à votre panier."
"You cannot add a product.","Vous ne pouvez pas ajouter un produit."
"Order by SKU","Commander par REF"
"The SKU was not found in the catalog.","La REF n’a pas été trouvée dans le catalogue."
"Availability: Out of stock.","Disponibilité : en rupture de stock."
"We don't have as many of these as you want.","Nous n'avons pas autant que vous le souhaitez."
"You can't add this many to your cart.","Vous ne pouvez pas en ajouter autant à votre panier."
"You need to choose options for your item.","Vous devez choisir des options pour votre article."
"We can't add the item to your cart.","Nous ne pouvons pas ajouter l'article à votre panier."
"Please enter an actual number in the ""Qty"" field.","Veuillez entrer un nombre valide dans le champ ""Quantité""."
"This product is assigned to another website.","Ce produit est affecté à un autre site Web."
"You can add only enabled products.","Vous pouvez ajouter uniquement des produits activés."
"You cannot upload this file.","Vous ne pouvez pas télécharger ce fichier."
"The file is empty.","Le fichier est vide."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Aucune REF de produit n'a été saisie. Veuillez <a href=""%1"">cliquer ici</a> pour ajouter le(s) produit(s) par REF."
"You have not entered a product SKU.","Vous n'avez pas entré la REF du produit."
"We can't add a product to cart by id ""%1"".","Nous ne pouvons pas ajouter un produit au panier à partir de l'id ""%1""."
"Something went wrong while reordering this product.","Une erreur s'est produite lors de la commande de ce produit."
"We can't find this wish list.","Nous ne pouvons pas trouver cette liste d'envie."
"You added %1 product to your shopping cart.","Vous avez ajouté %1 produit à votre panier d'achat."
"You added %1 products to your shopping cart.","Vous avez ajouté %1 produits à votre panier."
"%1 product requires your attention.","%1 produit requiert votre attention."
"%1 products require your attention.","%1 produits requièrent votre attention."
"Yes, for Specified Customer Groups","Oui, pour les groupes clients spécifiés"
"Yes, for Everyone","Oui, pour tout le monde"
"No","Non"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Veuillez téléverser le fichier au format .csv"
"%1 item(s) need your attention.","%1 article(s) a/ont besoin de votre attention."
"Apply Coupon Code","Appliquer un bon de réduction"
"Remove Coupon Code","Supprimer le bon de réduction"
"Remove","Supprimer"
"The coupon code ""%1"" is not valid.","Le bon de réduction ""%1"" n'est pas valide."
"Shopping Cart Items","Articles du panier"
"Qty","Qté"
"Subtotal","Sous-total"
"Discount","Remise"
"Row Subtotal","Sous-total de la ligne"
"Action","Action"
"No ordered items","Aucun article commandé"
"Total %1 product(s)","%1 produit(s) au total"
"Subtotal:","Sous-total :"
"Please select","Sélectionnez"
"Move to Wish List","Déplacer vers la liste d'achats"
"No item specified.","Aucun article spécifié."
"Are you sure you want to remove this item?","Êtes-vous sûr(e) de vouloir retirer cet article ?"
"SKU number","REF numéro"
"Upload File","Importer fichier"
"Your csv file must include ""sku"" and ""qty"" columns.","Votre fichier csv doit inclure les colonnes ""sku"" et ""qty""."
"Reset","Réinitialiser"
"SKU: ","REF : "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Seulement <span id=""%1_max_allowed"">%2</span> en stock"
"Item","Article"
"See price before order confirmation.","Voir le prix avant la confirmation de commande."
"What's this?","Qu'est-ce que c'est ?"
"Incl. Tax","TTC"
"Excl. Tax","HT"
"Edit item parameters","Éditer les paramètres de l'article"
"Edit","Éditer"
"Remove item","Retirer l'article"
"Products Requiring Attention","Produits requérant votre attention"
"Add to Cart","Ajouter au panier"
"Sku","Réf"
"File","Fichier"
"File extensions allowed: .csv","Extensions de fichier autorisées : .csv"
"Add Row","Ajouter ligne"
"Remove Row","Supprimer ligne"
"Add Products By SKU","Ajouter les produits par REF"
"Shopping Cart Management","Gestion du panier"
"View Shopping Cart","Voir le panier"
"View and modify Shopping Cart","Afficher et modifier le panier d’achat"
"Order by SKU Settings","Paramètres de commande par REF"
"Enable Order by SKU on My Account in Storefront","Activer la commande par REF dans ""Mon compte"" dans la boutique"
"Customer Groups","Groupes clients"
"Apply Coupon","Appliquer bon de réduction"
"Order by SKU Description","Trier par description REF"
"Display a Link to Loading a Spreadsheet","Afficher un lien pour charger un tableur"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Définit si un lien vers ""Mon compte"" &gt; ""Trier par REF"" sera affiché sur le widget"
"Link Text","Texte du lien"
"The text of the link to the My Account &gt; Order by SKU page","Le texte du lien vers ""Mon compte"" &gt; ""Trier par REF"""
"Load a list of SKUs","Charger une liste de REF"
"Order by SKU Template","Trier par template/modèle de REF"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","Ce client n'a pas pu être trouvé. Vérifiez le client et réessayez."
"This store couldn't be found. Verify the store and try again.","Cette boutique n'a pas pu être trouvée. Vérifiez la boutique et réessayez."
"An error occurred. For details, see the error log.","Une erreur est survenue. Pour plus de détails, consultez le journal des erreurs."
"Orders can only be completed in an active store. Verify the store and try again.","Les commandes ne peuvent être effectuées que dans une boutique active. Vérifiez la boutique et réessayez."
"The ordered item needs to be loaded. Load the item and try again.","L'article commandé doit être chargé. Chargez l'élément et réessayez."
"The quote item ID needs to be received. Set the ID and try again.","L'ID de l'article du devis doit être reçu. Définissez l'ID et réessayez."
"The quote item needs to be loaded. Load the item and try again.","L'élément de devis doit être chargé. Chargez l'élément et réessayez."
"The wish list item ID needs to be received. Set the ID and try again.","L'ID de l'article de la liste d'achats doit être reçu. Définissez l'ID et réessayez."
"The wish list item needs to be loaded. Load the item and try again.","L'élément de la liste d'achats doit être chargé. Chargez l'élément et réessayez."
"The file is corrupt and can't be used.","Le fichier est corrompu et ne peut pas être utilisé."
