"Manage Shopping Cart","Upravit nákupní košík"
"Create Order","Vytvořit objednávku"
"Back","Zpět"
"Add Products","Přidat produkty"
"Update Items and Quantities","Upravit položky a množství"
"Are you sure you want to clear your cart?","Skutečně chcete smazat obsah košíku?"
"Clear my shopping cart","Vyprázdnit košík"
"Add selections to my cart","Přidat výběr do košíku"
"Cancel","Zrušit"
"Shopping Cart for %1 in %2","Nákupní košík pro %1 v %2"
"Select products you want to buy","Zvolte produkty, které chcete zakoupit"
"Product","Produkt"
"Price","Cena"
"Quantity","Množství"
"Products in the Comparison List (%1)","Porovnávané produkty (%1)"
"Last ordered items (%1)","Poslední objednané produkty (%1)"
"Products","Produkty"
"ID","ID"
"SKU","Kód"
"Recently Compared Products (%1)","Poslední porovnávané produkty (%1)"
"Recently Viewed Products (%1)","Poslední navštívené produkty (%1)"
"Add to Shopping Cart by SKU","Přidat do košíku podle SKU"
"Add to Shopping Cart","Přidat do košíku"
"Wish List (%1)","Oblíbené (%1)"
"Apply","Použít"
"Configure","Nastavit"
"Add to Order by SKU","Přidat k objednávce podle SKU"
"Add to Order","Přidat k objednávce"
"Add Products to Order","Přidat produkty k objednávce"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produkt(ů) vyžaduje vaší pozornost.</span>"
"Remove All","Odebrat vše"
"Only %1%2%3 left in stock","Posledních %1%2%3 skladem"
"You can buy up to %1 of these per purchase.","Můžete zakoupit až %1 na jeden nákup."
"You must buy at least %1 of these per purchase.","Musíte si zakoupit alespoň %1 na jeden nákup."
"Specify the product's options.","Zvolte parametry produktu."
"Alert me when this item is available.","Upozornit mě na naskladnění produktu."
"We can't find this customer.","Zákazník nenalezen."
"Shopping cart management is disabled for this customer.","Správa nákupního košíku je pro tohoto zákazníka vypnuta."
"We can't find this store.","Obchod nenalezen."
"Customers","Zákazníci"
"Shopping Cart","Nákupní košík"
"Sorry, something went wrong. You can find out more in the error log.","Omlouváme se, vyskytla se chyba. Více informací naleznete v protokolu chyb."
"You do not have access to this.","Nemáte dostatečná oprávnění."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","Došlo k chybě. Více podrobností v protokolu chyb."
"You cannot configure a product.","Produkt nelze konfigurovat."
"You removed the items.","Položky byly odebrány."
"You removed the item.","Položka byla odebrána."
"You added %1 to your shopping cart.","%1 byl vložen do košíku."
"You cannot add a product.","Produkt nelze přidat."
"Order by SKU","Objednat podle SKU"
"The SKU was not found in the catalog.","Kód produktu nebyl nalezen."
"Availability: Out of stock.","Dostupnost: není skladem."
"We don't have as many of these as you want.","Požadované množství není dostupné."
"You can't add this many to your cart.","Požadované množství nelze do košíku přidat."
"You need to choose options for your item.","Je třeba zvolit jeden z parametrů produktu."
"We can't add the item to your cart.","Požadovanou položku nelze do košíku přidat."
"Please enter an actual number in the ""Qty"" field.","Do údaje ""Množství"" zadejte reálné číslo prosím."
"This product is assigned to another website.","Tento produkt je přiřazen k jinému webu."
"You can add only enabled products.","Lze přidat pouze zapnuté výrobky."
"You cannot upload this file.","Tento soubor nelze nahrát."
"The file is empty.","Soubor je prázdný."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","SKU nebylo zadáno. Pro přidání produktů podle SKU <a href=""%1"">klikněte zde</a>."
"You have not entered a product SKU.","Nezadali jste SKU produktu."
"We can't add a product to cart by id ""%1"".","Požadovaný produkt podle ID ""%1"" nelze do košíku přidat."
