"Manage Shopping Cart","Pārvaldīt grozu"
"Create Order","Izveidot pasūtījumu"
"Back","Atpakaļ"
"Add Products","Pievienot produktus"
"Update Items and Quantities","Atjaunot produktus un skaitu"
"Are you sure you want to clear your cart?","Vai vēlaties iztukšot grozu?"
"Clear my shopping cart","Iztukšot grozu"
"Add selections to my cart","Pievienot izvēlēto grozam"
"Cancel","Atcelt"
"Shopping Cart for %1 in %2","Grozs %1 iekš %2"
"Select products you want to buy","Izvēlēties produktus kurus vēlaties pirkt"
"Product","Produkts"
"Price","Cena"
"Quantity","Skaits"
"Products in the Comparison List (%1)","Produkti salīdzināšanas sarakstā (%1)"
"Last ordered items (%1)","Pēdējie pasūtītie produkti (%1)"
"Products","Produkti"
"ID","ID"
"SKU","Artikuls"
"Recently Compared Products (%1)","Nesen salīdzinātie produkti (%1)"
"Recently Viewed Products (%1)","Nesen skatītie produkti (%1)"
"Add to Shopping Cart by SKU","Pievienot grozam pēc artikula"
"Add to Shopping Cart","Pievienot grozam"
"Wish List (%1)","Vēlmju saraksts (%1)"
"Apply","Apstiprināt"
"Configure","Konfigurēt"
"Add to Order by SKU","Pievienot pasūtījumam pēc artikula"
"Add to Order","Pievienot pasūtījumam"
"Add Products to Order","Pievienot produktus pasūtījumam"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produktam(iem) jāpievērš uzmanība.</span>"
"Remove All","Noņemt visus"
"Only %1%2%3 left in stock","Noliktavā atlikuši %1%2%3"
"You can buy up to %1 of these per purchase.","Jūs varat nopirkt %1 šādus produktus vienā pirkumā."
"You must buy at least %1 of these per purchase.","Jums jāpērk vismaz %1 šādus produktus vienā pirkumā."
"Specify the product's options.","Norādiet produkta opcijas."
"Alert me when this item is available.","Pabrīdināt kad šis produkts ir pieejams."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","Groza pārvalde šim klientam ir izslēgta."
"We can't find this store.","We can't find this store."
"Customers","Klienti"
"Shopping Cart","Grozs"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","Jums nav piekļuves tiesību."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","Kļūda. Vairāk informācijas kļūdu log failā."
"You cannot configure a product.","Jūs nevarat konfigurēt produktu."
"You removed the items.","Jūs nodzēsāt produktus."
"You removed the item.","Jūs nodzēsāt produktu."
"You added %1 to your shopping cart.","Jūs pievienojāt %1 grozam."
"You cannot add a product.","Jūs nevarat pievienot produktu."
"Order by SKU","Pasūtīt pēc artikula"
"The SKU was not found in the catalog.","SKU katalogā nav atrasts."
"Availability: Out of stock.","Pieejamība: Nav noliktavā."
"We don't have as many of these as you want.","Veikalā nav pieejams tāds daudzums."
"You can't add this many to your cart.","Jūs nevarat pievienot grozam tik daudz produktus."
"You need to choose options for your item.","Jums jāizvēlās opcijas produktam."
"We can't add the item to your cart.","Nevar pievienot grozam produktu."
"Please enter an actual number in the ""Qty"" field.","Ievadiet nepieciešamo skaitu ""Skaits"" laukā."
"This product is assigned to another website.","Šis produkts atrodas citā web lapā."
"You can add only enabled products.","Jūs varat pievienot tikai ieslēgtos produktus."
"You cannot upload this file.","Nevar augšupielādēt šo failu."
"The file is empty.","Fails ir tukšs."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Jūs neesat ievadījis produkta artikulu. Nospiediet <a href=""%1"">šeit</a> lai pievienotu prudukta(u) artikulu."
"You have not entered a product SKU.","Jūs neesat ievadījis produkta artikulu."
"We can't add a product to cart by id ""%1"".","Nevar pievienot grozam produktu ar id ""%1""."
"Something went wrong while reordering this product.","Notikusi kļūda atkārtoti pasūtot šo produktu."
"We can't find this wish list.","Nevaram atrast šo vēlmju sarakstu."
"You added %1 product to your shopping cart.","Jūs pievienojāt %1 produktu grozam."
"You added %1 products to your shopping cart.","Jūs pievienojāt %1 produktus grozam."
"%1 product requires your attention.","Pievērsiet uzmanību %1 produktam."
"%1 products require your attention.","Pievērsiet uzmanību %1 produktiem."
"Yes, for Specified Customer Groups","Jā, norādītajām klientu grupām"
"Yes, for Everyone","Jā, visiem"
"No","Nē"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Augšupielādējiet failu .csv formātā."
"%1 item(s) need your attention.","%1 produktam(iem) jāpievērš uzmanība."
"Apply Coupon Code","Pielietot kupona kodu"
"Remove Coupon Code","Nodzēst kupona kodu"
"Remove","Dzēst"
"The coupon code ""%1"" is not valid.","Kupona kods ""%1"" nav derīgs."
"Shopping Cart Items","Iepirkumu groza produkti"
"Qty","Skaits"
"Subtotal","Starpsumma"
"Discount","Atlaide"
"Row Subtotal","Rindu starpsumma"
"Action","Darbība"
"No ordered items","Nav pasūtītu produktu"
"Total %1 product(s)","Pavisam %1 produkts(i)"
"Subtotal:","Starpsumma:"
"Please select","Izvēlieties"
"Move to Wish List","Pārvietot uz vēlmju sarakstu"
"No item specified.","Nav norādīts produkts."
"Are you sure you want to remove this item?","Vai tiešām vēlaties nodzēst šo produktu?"
"SKU number","Artikula numurs"
"Upload File","Augšupielādēt failu"
"Your csv file must include ""sku"" and ""qty"" columns.","CSV failā jābūt artikula ""sku"" un skaita ""qty"" kolonnām."
"Reset","Notīrīt"
"SKU: ","Artikuls: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Noliktavā tikai <span id=""%1_max_allowed"">%2</span>"
"Item","Produkts"
"See price before order confirmation.","Apskatīt cenu pirms pasūtījuma apstiprināšanas."
"What's this?","Kas tas ir?"
"Incl. Tax","Ar PVN"
"Excl. Tax","Bez PVN"
"Edit item parameters","Labot produkta parametrus"
"Edit","Labot"
"Remove item","Noņemt produktu"
"Products Requiring Attention","Produkti kuriem jāpiegriež uzmanība"
"Add to Cart","Pievienot grozam"
"Sku","Artikuls"
"File","Fails"
"File extensions allowed: .csv","Atļautie failu paplašinājumi: .csv"
"Add Row","Pievienot rindu"
"Remove Row","Nodzēst rindu"
"Add Products By SKU","Pievienot produktus pēc artikula"
"Shopping Cart Management","Iepirkšanās groza pārvaldība"
"View Shopping Cart","Apskatīt iepirkumu grozu"
"View and modify Shopping Cart","Apskatīt un papildināt iepirkuma grozu"
"Order by SKU Settings","Šķirot pēc artikula iestatījumiem"
"Enable Order by SKU on My Account in Storefront","Ieslēgt Šķirošanu pēc artikula Manā kontā veikala priekšskatā"
"Customer Groups","Klientu grupas"
"Apply Coupon","Pielietot kuponu"
"Order by SKU Description","Šķirot pēc artikula apraksta"
"Display a Link to Loading a Spreadsheet","Rādīt saiti tabulas ielādēšanai"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definē vai saite uz Mans konts &gt; Šķirot pēc artikula lapu tiks parādīta logrīkā"
"Link Text","Saites teksts"
"The text of the link to the My Account &gt; Order by SKU page","Teksts saitei uz Mans konts &gt; Šķirot pēc artikula lapu"
"Load a list of SKUs","Ielādēt artikulu sarakstu"
"Order by SKU Template","Škirot pēc artikulu šablona"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","Nevar atrast šādu klientu. Pārbaudiet klientu un mēģiniet vēlreiz."
"This store couldn't be found. Verify the store and try again.","Nevar atrast šādu veikalu. Pārbaudiet un mēģiniet vēlreiz."
"An error occurred. For details, see the error log.","Kļūda. Vairāk informācijas log failos."
"Orders can only be completed in an active store. Verify the store and try again.","Pasutījumus var veikt tikai aktīvā veikalā. Pārbaudiet veikalu un mēģiniet vēlreiz."
"The ordered item needs to be loaded. Load the item and try again.","Pasūtītā prece ir jāielādē. Ielādējiet preci un mēģiniet vēlreiz."
"The quote item ID needs to be received. Set the ID and try again.","Ir jāsaņem pieprasītā produkta ID. Uzstādīet ID un mēģiniet vēlreiz."
"The quote item needs to be loaded. Load the item and try again.","Pieprasītais produkts ir jāielādē. Ielādējiet produktu un mēģiniet vēlreiz."
"The wish list item ID needs to be received. Set the ID and try again.","Ir jāsaņem vēlmju saraksta produkta ID. Uzstādie ID un mēģiniet vēlreiz."
"The wish list item needs to be loaded. Load the item and try again.","Produkts no vēlmju saraksta ir jāielādē. Ielādējiet produktu un mēģiniet vēlreiz."
"The file is corrupt and can't be used.","Fails ir bojāts un nelietojams."
