"Manage Shopping Cart","Ažuriranje korpe sa artiklima"
"Create Order","Kreiranje narudžbine"
"Back","Nazad"
"Add Products","Dodaj proizvode"
"Update Items and Quantities","Ažuriranje stavki i količine"
"Are you sure you want to clear your cart?","Da li ste sigurni da želite da ispraznite korpu?"
"Clear my shopping cart","Isprazni korpu"
"Add selections to my cart","Dodaj izabrano u korpu"
"Cancel","Odustani"
"Shopping Cart for %1 in %2","Kolica za kupovinu %1 u %2"
"Select products you want to buy","Izaberite proizvode koje želite kupiti"
"Product","Proizvod"
"Price","Cena"
"Quantity","Količina"
"Products in the Comparison List (%1)","Proizvodi na listi za poređenje (%1)"
"Last ordered items (%1)","Poslednji poručeni artikli (%1)"
"Products","Proizvodi"
"ID","ID"
"SKU","Šifra"
"Recently Compared Products (%1)","Nedavno upoređeni proizvodi (%1)"
"Recently Viewed Products (%1)","Nedavno pregledani proizvodi (%1)"
"Add to Shopping Cart by SKU","Dodaj u korpu za kupovinu prema šifri"
"Add to Shopping Cart","Dodaj u korpu"
"Wish List (%1)","Lista želja (%1)"
"Apply","Primeni"
"Configure","Podesi"
"Add to Order by SKU","Dodaj u narudžbu po šifri"
"Add to Order","Dodaj u narudžbu"
"Add Products to Order","Dodavanje proizvoda u narudžbu"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> proizvod(i) zahtevaju vašu paznju.</span>"
"Remove All","Ukloni sve"
"Only %1%2%3 left in stock","Samo %1%2%3 je ostalo na lageru"
"You can buy up to %1 of these per purchase.","Možete kupiti do %1 od ovih po narudžbi."
"You must buy at least %1 of these per purchase.","Možete kupiti najmanje %1 od ovih po narudžbi."
"Specify the product's options.","Navedite opcije proizvoda."
"Alert me when this item is available.","Upozori me kada ova stavka postane dostupna."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","Upravljanje kolicima za kupovinu je onemogućena za ovog kupca."
"We can't find this store.","We can't find this store."
"Customers","Kupci"
"Shopping Cart","Korpa"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","Nemate pristup."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","Došlo je do greške. Pogledajte evidenciju grešaka za više detalja."
"You cannot configure a product.","Nije moguće konfigurisati proizvod."
"You removed the items.","Vi ste uklonili stavke."
"You removed the item.","Vi ste uklonili stavku."
"You added %1 to your shopping cart.","Uspešno ste dodali %1 u vašu korpu."
"You cannot add a product.","Nije moguće dodati proizvod."
"Order by SKU","Narudžba po šifri"
"The SKU was not found in the catalog.","Šifra nije pronađena u katalogu."
"Availability: Out of stock.","Dostupnost: trenutno nema na stanju."
"We don't have as many of these as you want.","Nemamo toliko ovoga koliko zahtevate."
"You can't add this many to your cart.","Ne možete dodati ovoliko puno u vašu korpu."
"You need to choose options for your item.","Potrebno je da odaberete opcije za vaš stavku."
"We can't add the item to your cart.","Ne možemo dodati artikal u korpu."
"Please enter an actual number in the ""Qty"" field.","Unesite jedan broj u polju „Kol”."
"This product is assigned to another website.","Ovaj proizvod je dodeljen drugoj Web lokaciji."
"You can add only enabled products.","Možete dodati samo raspoložive proizvode."
"You cannot upload this file.","Ne možete da pošaljete ovu datoteku."
"The file is empty.","Datoteka je prazna."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Niste uneli šifru proizvoda. Molim <a href=""%1"">kliknite ovde</a> da biste dodali proizvod(e) šifri."
"You have not entered a product SKU.","Niste uneli šifru proizvoda."
"We can't add a product to cart by id ""%1"".","Ne možemo da dodamo proizvod u korpu po Id „%1”."
"Something went wrong while reordering this product.","Došlo je do greške kod presortiranja ovog proizvoda."
"We can't find this wish list.","Ne možemo da ažuriramo listu želja."
"You added %1 product to your shopping cart.","Dodali ste %1 proizvod u vašu korpu za kupovinu."
"You added %1 products to your shopping cart.","Dodali ste %1 proizvode u vašu korpu za kupovinu."
"%1 product requires your attention.","%1 proizvod zahteva vašu paznju."
"%1 products require your attention.","%1 proizvodi zahtevaju vašu paznju."
"Yes, for Specified Customer Groups","Da, za navedenu grupu kupaca"
"Yes, for Everyone","Da, za sve"
"No","Ne"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Molimo vas da pošaljete datoteku u .csv formatu."
"%1 item(s) need your attention.","%1 stavka(e) traže da obratite pažnju."
"Apply Coupon Code","Primeni kod kupona"
"Remove Coupon Code","Uklonite kod kupona"
"Remove","Ukloni"
"The coupon code ""%1"" is not valid.","Kupon kod „%1” nije važeći."
"Shopping Cart Items","Artikli u kolicima za kupovinu"
"Qty","Kol"
"Subtotal","Međuzbir"
"Discount","Popust"
"Row Subtotal","Red međuzbira"
"Action","Akcija"
"No ordered items","Nema porućenih artikala"
"Total %1 product(s)","Ukupno %1 proizvod(a)"
"Subtotal:","Međuzbir:"
"Please select","Izaberite"
"Move to Wish List","Prebaci u listu želja"
"No item specified.","Nema označenih stavki."
"Are you sure you want to remove this item?","Jeste li sigurni da želite da uklonite ovaj artikal?"
"SKU number","Šifra"
"Upload File","Pošalji datoteku"
"Your csv file must include ""sku"" and ""qty"" columns.","Vaša csv datoteka mora da sadrži kolone ""sku"" i ""qty""."
"Reset","Reset"
"SKU: ","SKU: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Samo <span id=""%1_max_allowed"">,%2</span> na lageru"
"Item","Artikal"
"See price before order confirmation.","Proveri cenu pre potvrde naruđbine."
"What's this?","Što je ovo?"
"Incl. Tax","Iznos sa PDV"
"Excl. Tax","Bez poreza"
"Edit item parameters","Uređivanje parametara artikala"
"Edit","Izmeni"
"Remove item","Ukloni stavku"
"Products Requiring Attention","Proizvodi koji zahtevaju paznju"
"Add to Cart","Dodaj u korpu"
"Sku","Šifra"
"File","Datoteka"
"File extensions allowed: .csv","Dozvoljena ekstenzija datoteke je: .csv"
"Add Row","Dodaj red"
"Remove Row","Uklani red"
"Add Products By SKU","Dodaj proizvode po šifri"
"Shopping Cart Management","Kupovina kolica za upravljanje"
"View Shopping Cart","Otvori Korpu"
"View and modify Shopping Cart","Otvori i izmeni korpu"
"Order by SKU Settings","Podešavanje narudžbe po šifri"
"Enable Order by SKU on My Account in Storefront","Omogući porudžbinu po šifri za moj nalog u izlogu"
"Customer Groups","Grupe kupaca"
"Apply Coupon","Primeni Kupon"
"Order by SKU Description","Porudžbina po opisu šifre"
"Display a Link to Loading a Spreadsheet","Prikazivanje veze za učitavanje xls tabele"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definiše da li će veza za Moj nalog &gt; Porudžbina po šifri će biti prikazani na na vidžetu"
"Link Text","Link tekst"
"The text of the link to the My Account &gt; Order by SKU page","Link za moj nalog &gt; Porudžbina po šifri"
"Load a list of SKUs","Učitavanje liste šifri"
"Order by SKU Template","Šablon porudžbina po šifri"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","Ovaj korisnik nije pronađen. Verifikujte korisnika i probajte ponovo."
"This store couldn't be found. Verify the store and try again.","Ova prodavnica nije pronađena. Proveri prodavnicu i pokušaj ponovo."
"An error occurred. For details, see the error log.","Došlo je do greške. Za detalje, proverite izveštaj grešaka."
"Orders can only be completed in an active store. Verify the store and try again.","Porudžbine mogu biti izvršene samo u aktivnoj prodavnici. Proverite prodavnicu i pokušajte ponovo."
"The ordered item needs to be loaded. Load the item and try again.","Poručen artikal mora biti učitan. Učitaj artikal i pokušaj ponovo."
"The quote item ID needs to be received. Set the ID and try again.","Navedeni ID artikla mora biti primljen. Postavi ID i pokušaj ponovo."
"The quote item needs to be loaded. Load the item and try again.","Navedeni artikal mora biti učitan. Učitaj artikal i pokušaj ponovo."
"The wish list item ID needs to be received. Set the ID and try again.","Artikal ID sa liste želja mora biti učitan. Postavi artikal ID i pokušaj ponovo."
"The wish list item needs to be loaded. Load the item and try again.","Artikal sa liste želja mora biti učitan. Učitaj artikal i pokušaj ponovo."
"The file is corrupt and can't be used.","Fajl je oštećen i ne može se koristiti."
