"Manage Shopping Cart","管理購物車"
"Create Order","創建訂單"
"Back","上一步"
"Add Products","新增商品"
"Update Items and Quantities","更新項目和數量"
"Are you sure you want to clear your cart?","確實要清除您的購物車嗎？"
"Clear my shopping cart","清除我的購物車"
"Add selections to my cart","將選項添加到我的車"
"Cancel","取消"
"Shopping Cart for %1 in %2","在 %2 %1 的購物車"
"Select products you want to buy","選擇你想要買的產品"
"Product","商品"
"Price","價格"
"Quantity","數量"
"Products in the Comparison List (%1)","在比較清單的產品(%1) "
"Last ordered items (%1)","上次訂購的項目 (%1)"
"Products","產品"
"ID","編號"
"SKU","商品編號"
"Recently Compared Products (%1)","最近比較的產品 (%1)"
"Recently Viewed Products (%1)","最近流覽過的產品 (%1)"
"Add to Shopping Cart by SKU","從SKU添加到購物車"
"Add to Shopping Cart","添加到購物車"
"Wish List (%1)","願望清單 (%1)"
"Apply","套用"
"Configure","設定"
"Add to Order by SKU","從 SKU 添加訂單"
"Add to Order","添加到訂單"
"Add Products to Order","將產品添加到訂單"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> 件產品需要注意。</span>"
"Remove All","全部刪除"
"Only %1%2%3 left in stock","庫存中只剩有 %1%2%3"
"You can buy up to %1 of these per purchase.","每次購買，您最多可以購買 %1。"
"You must buy at least %1 of these per purchase.","你每次必須購買至少 %1 件產品。"
"Specify the product's options.","指定的產品選項。"
"Alert me when this item is available.","當產品可買時，請通知我。"
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","此客戶的購物車被禁用。"
"We can't find this store.","We can't find this store."
"Customers","顧客"
"Shopping Cart","購物車"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","你沒有這個權限。"
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","發生錯誤。請參閱錯誤日誌的詳細資訊。"
"You cannot configure a product.","您不能設置的產品。"
"You removed the items.","您刪除了項目。"
"You removed the item.","您刪除了項目。"
"You added %1 to your shopping cart.","您已添加 %1 到您的購物車"
"You cannot add a product.","您不能添加產品。"
"Order by SKU","按 SKU 排序"
"The SKU was not found in the catalog.","在目錄中找不到該商品的 SKU。"
"Availability: Out of stock.","庫存: 缺貨。"
"We don't have as many of these as you want.","我們沒有你想要的那麼多"
"You can't add this many to your cart.","您不能添加這麼多到您的購物車。"
