"Manage Shopping Cart","සාප්පු කරත්තය කළමනාකරණය කරන්න"
"Create Order","ඇණවුම සාදන්න"
"Back","ආපසු"
"Add Products","නිෂ්පාදන එකතු කරන්න"
"Update Items and Quantities","අයිතම සහ ප්‍රමාණ යාවත්කාලීන කරන්න"
"Are you sure you want to clear your cart?","ඔබට ඔබේ කරත්තය හිස් කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Clear my shopping cart","මගේ සාප්පු කරත්තය හිස් කරන්න"
"Add selections to my cart","මගේ කරත්තයට තේරීම් එක් කරන්න"
"Cancel","අවලංගු කරන්න"
"Shopping Cart for %1 in %2","%2න් %1 සඳහා සාප්පු කරත්තය"
"Select products you want to buy","ඔබට මිලදී ගැනීමට අවශ්‍ය නිෂ්පාදන තෝරන්න"
"Product","නිෂ්පාදන"
"Price","මිල"
"Quantity","ප්රමාණය"
"Products in the Comparison List (%1)","සංසන්දනාත්මක ලැයිස්තුවේ නිෂ්පාදන (%1)"
"Last ordered items (%1)","අවසන් වරට ඇණවුම් කළ අයිතම (%1)"
"Products","නිෂ්පාදන"
"ID","හැඳුනුම්පත"
"SKU","කේතය"
"Recently Compared Products (%1)","මෑතකදී සසඳන ලද නිෂ්පාදන (%1)"
"Recently Viewed Products (%1)","මෑතකදී බැලූ නිෂ්පාදන (%1)"
"Add to Shopping Cart by SKU","SKU මගින් Shopping Cart වෙත එක් කරන්න"
"Add to Shopping Cart","සාප්පු කරත්තයට එකතු කරන්න"
"Wish List (%1)","පැතුම් ලැයිස්තුව (%1)"
"Apply","අයදුම් කරන්න"
"Configure","වින්‍යාස කරන්න"
"Add to Order by SKU","SKU මගින් ඇණවුමට එක් කරන්න"
"Add to Order","ඇණවුමට එකතු කරන්න"
"Add Products to Order","ඇණවුමට නිෂ්පාදන එකතු කරන්න"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> නිෂ්පාදන(ය) අවධානය අවශ්‍ය වේ.</span>"
"Remove All","සියල්ල ඉවත් කරන්න"
"Only %1%2%3 left in stock","තොගයේ ඉතිරිව ඇත්තේ %1%2%3 ක් පමණි"
"You can buy up to %1 of these per purchase.","ඔබට එක් මිලදී ගැනීමකට මේවායින් %1 ක් දක්වා මිලදී ගත හැක."
"You must buy at least %1 of these per purchase.","ඔබ එක් මිලදී ගැනීමකට අවම වශයෙන් මේවායින් %1 ක් මිලදී ගත යුතුය."
"Specify the product's options.","නිෂ්පාදනයේ විකල්ප සඳහන් කරන්න."
"Alert me when this item is available.","මෙම අයිතමය තිබෙන විට මට දැනුම් දෙන්න."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","මෙම පාරිභෝගිකයා සඳහා සාප්පු කරත්ත කළමනාකරණය අබල කර ඇත."
"We can't find this store.","We can't find this store."
"Customers","පාරිභෝගිකයන්"
"Shopping Cart","සාප්පු ට්රොලිය"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","ඔබට මෙයට ප්‍රවේශය නැත."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","දෝෂයක් සිදුවී ඇත. විස්තර සඳහා දෝෂ ලොගය බලන්න."
"You cannot configure a product.","ඔබට නිෂ්පාදනයක් වින්‍යාස කළ නොහැක."
"You removed the items.","ඔබ අයිතම ඉවත් කර ඇත."
"You removed the item.","ඔබ අයිතමය ඉවත් කළා."
"You added %1 to your shopping cart.","ඔබ ඔබේ සාප්පු කරත්තයට %1 එකතු කළා."
"You cannot add a product.","ඔබට නිෂ්පාදනයක් එකතු කළ නොහැක."
"Order by SKU","SKU විසින් ඇණවුම් කරන්න"
"The SKU was not found in the catalog.","නාමාවලියෙහි SKU හමු නොවීය."
"Availability: Out of stock.","ලබා ගත හැකි: තොග අවසන්."
"We don't have as many of these as you want.","ඔබට අවශ්‍ය තරම් මේවා අප සතුව නොමැත."
"You can't add this many to your cart.","ඔබට ඔබේ කරත්තයට මෙතරම් එකතු කළ නොහැක."
"You need to choose options for your item.","ඔබ ඔබේ අයිතමය සඳහා විකල්ප තෝරාගත යුතුය."
"We can't add the item to your cart.","අපට ඔබේ කරත්තයට අයිතමය එක් කළ නොහැක."
"Please enter an actual number in the ""Qty"" field.","කරුණාකර ""Qty"" ක්ෂේත්‍රයේ සත්‍ය අංකයක් ඇතුළු කරන්න."
"This product is assigned to another website.","මෙම නිෂ්පාදනය වෙනත් වෙබ් අඩවියකට පවරා ඇත."
"You can add only enabled products.","ඔබට එකතු කළ හැක්කේ සක්‍රීය නිෂ්පාදන පමණි."
"You cannot upload this file.","ඔබට මෙම ගොනුව උඩුගත කළ නොහැක."
"The file is empty.","ගොනුව හිස් ය."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","ඔබ නිෂ්පාදන SKU ඇතුළු කර නැත. කරුණාකර <a href=""%1"">ක්ලික් කරන්න</a> SKU මගින් නිෂ්පාදන(ය) එක් කිරීමට."
"You have not entered a product SKU.","ඔබ නිෂ්පාදන SKU ඇතුළු කර නැත."
"We can't add a product to cart by id ""%1"".","අපට ""%1"" හැඳුනුම්පත මගින් කරත්තයට නිෂ්පාදනයක් එක් කළ නොහැක."
"Something went wrong while reordering this product.","මෙම නිෂ්පාදනය නැවත ඇණවුම් කිරීමේදී යම් දෙයක් වැරදී ඇත."
"We can't find this wish list.","අපට මෙම පැතුම් ලැයිස්තුව සොයාගත නොහැක."
"You added %1 product to your shopping cart.","ඔබ ඔබේ සාප්පු කරත්තයට නිෂ්පාදන %1 ක් එක් කළා."
"You added %1 products to your shopping cart.","ඔබ ඔබේ සාප්පු කරත්තයට නිෂ්පාදන %1 ක් එක් කළා."
"%1 product requires your attention.","%1 නිෂ්පාදනයට ඔබේ අවධානය අවශ්‍යයි."
"%1 products require your attention.","නිෂ්පාදන %1 ක් ගැන ඔබේ අවධානය අවශ්‍යයි."
"Yes, for Specified Customer Groups","ඔව්, නිශ්චිත පාරිභෝගික කණ්ඩායම් සඳහා"
"Yes, for Everyone","ඔව්, සෑම කෙනෙකුටම"
"No","නැත"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","කරුණාකර ගොනුව .csv ආකෘතියෙන් උඩුගත කරන්න."
"%1 item(s) need your attention.","%1 අයිතම(ය) ගැන ඔබේ අවධානය අවශ්‍යයි."
"Apply Coupon Code","කූපන් කේතය යොදන්න"
"Remove Coupon Code","කූපන් කේතය ඉවත් කරන්න"
"Remove","ඉවත් කරන්න"
"The coupon code ""%1"" is not valid.","කූපන් කේතය ""%1"" වලංගු නැත."
"Shopping Cart Items","සාප්පු කරත්ත අයිතම"
"Qty","ප්‍රමාණය"
"Subtotal","උප එකතුව"
"Discount","වට්ටම්"
"Row Subtotal","පේළි උප එකතුව"
"Action","කටයුතු"
"No ordered items","ඇණවුම් කළ අයිතම නොමැත"
"Total %1 product(s)","මුළු නිෂ්පාදන (ය) %1"
"Subtotal:","උප එකතුව:"
