"Manage Shopping Cart","Gerenciar Carrinho de Compras"
"Create Order","Criar Pedido"
"Back","Voltar"
"Add Products","Adicionar Produtos"
"Update Items and Quantities","Atualizar Itens e Quantidades"
"Are you sure you want to clear your cart?","Tem certeza de que deseja limpar seu carrinho?"
"Clear my shopping cart","Limpar meu carrinho de compras"
"Add selections to my cart","Adicionar produtos selecionados ao carrinho"
"Cancel","Cancelar"
"Shopping Cart for %1 in %2","Carrinho de compras para %1 em %2"
"Select products you want to buy","Selecione os produtos que você pretende comprar"
"Product","Produto"
"Price","Preço"
"Quantity","Quantidade"
"Products in the Comparison List (%1)","Produtos na Lista de Comparação (%1)"
"Last ordered items (%1)","Últimos itens adquiridos (%1)"
"Products","Produtos"
"ID","ID"
"SKU","Código de Produto:"
"Recently Compared Products (%1)","Produtos Comparados Recentemente (%1)"
"Recently Viewed Products (%1)","Produtos Visualizados Recentemente (%1)"
"Add to Shopping Cart by SKU","Adicionar no Carrinho de Compras por SKU"
"Add to Shopping Cart","Adicionar ao Carrinho de Compras"
"Wish List (%1)","Lista de Desejos (%1)"
"Apply","Aplicar"
"Configure","Configurar"
"Add to Order by SKU","Adicionar no Pedido por SKU"
"Add to Order","Adicionar no Pedido"
"Add Products to Order","Adicionar Produtos no Pedido"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produto(s) requer(em) atenção.</span>"
"Remove All","Remover Todos"
"Only %1%2%3 left in stock","Somente %1%2%3 restam no estoque"
"You can buy up to %1 of these per purchase.","Você pode adquirir até %1 unidades por compra."
"You must buy at least %1 of these per purchase.","Você deve adquirir ao menos %1 unidades por compra."
"Specify the product's options.","Especifique as opções do produto."
"Alert me when this item is available.","Avise-me quando este item estiver disponível."
"We can't find this customer.","Cliente não encontrado."
"Shopping cart management is disabled for this customer.","Gestão de carrinho de compras está desabilitado para este cliente."
"We can't find this store.","Não encontramos esta loja."
"Customers","Clientes"
"Shopping Cart","Carrinho de Compras"
"Sorry, something went wrong. You can find out more in the error log.","Desculpe, algo deu errado. Você encontrará mais detalhes no log de erros."
"You do not have access to this.","Você não tem acesso."
"Ordered item id is not received.","Id do item solicitado não foi recebido."
"Ordered item is not loaded.","Item solicitado não está carregado."
"Quote item id is not received.","Id do item encomendado não recebido."
"Quote item is not loaded.","Item cotado não está carregado."
"The wish list item id is not received.","Id do item da lista de desejos não foi recebido."
"The wish list item is not loaded.","O item da lista de desejos não está carregado."
"An error has occurred. See error log for details.","Ocorreu um erro. Consulte o log de erros para obter detalhes."
"You cannot configure a product.","Você não pode configurar um produto."
"You removed the items.","Você removeu os itens."
"You removed the item.","Você removeu o item."
"You added %1 to your shopping cart.","Você adicionou %1 ao carrinho de compras."
"You cannot add a product.","Você não pode adicionar um produto."
"Order by SKU","Ordenar por SKU"
"The SKU was not found in the catalog.","O SKU não foi encontrado no catálogo."
"Availability: Out of stock.","Disponibilidade: Sem estoque."
"We don't have as many of these as you want.","Não temos tantos quanto você deseja."
"You can't add this many to your cart.","Não é possível adicionar esta quantidade no seu carrinho."
"You need to choose options for your item.","Você precisa escolher opções para seu item."
"We can't add the item to your cart.","Nós não podemos adicionar o item ao seu carrinho."
"Please enter an actual number in the ""Qty"" field.","Por favor, digite um número atual no campo ""Qtd""."
"This product is assigned to another website.","Este produto está atribuído a outro website."
"You can add only enabled products.","Você pode adicionar somente produtos habilitados."
"You cannot upload this file.","Você não pode enviar este arquivo."
