"Manage Shopping Cart","Mengelola Daftar Belanja"
"Create Order","Buat Pesanan"
"Back","Kembali"
"Add Products","Tambahkan Produk"
"Update Items and Quantities","Perbarui Produk dan Kuantitas"
"Are you sure you want to clear your cart?","Apakah anda yakin ingin menghapus trolimu?"
"Clear my shopping cart","Hapus daftar belanjaku"
"Add selections to my cart","Tambahkan pilihan ke troli saya"
"Cancel","Batal"
"Shopping Cart for %1 in %2","Daftar Belanja untuk% 1 di% 2"
"Select products you want to buy","Pilih produk yang ingin kamu beli"
"Product","Produk"
"Price","Harga"
"Quantity","Kuantitas"
"Products in the Comparison List (%1)","Produk di Daftar Perbandingan (%1)"
"Last ordered items (%1)","Item pesanan terakhir (%1)"
"Products","Produk"
"ID","Nomor"
"SKU","SKU"
"Recently Compared Products (%1)","Produk yang baru di bandingkan (%1)"
"Recently Viewed Products (%1)","Produk yang baru dilihat (%1)"
"Add to Shopping Cart by SKU","Tambahkan ke daftar belanja dengan SKU"
"Add to Shopping Cart","Tambahkan ke daftar belanja"
"Wish List (%1)","Daftar Keinginan (%1)"
"Apply","Terapkan"
"Configure","Konfigurasi"
"Add to Order by SKU","Tambahkan ke Pesanan dengan SKU"
"Add to Order","Tambahkan ke Pesanan"
"Add Products to Order","Tambahkan Produk ke Pesanan"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produk perlu perhatian.</span>"
"Remove All","Hapus Semua"
"Only %1%2%3 left in stock","Hanya %1%2%3 stok yang tersisa"
"You can buy up to %1 of these per purchase.","Anda dapat membeli hingga% 1 ini per pembelian."
"You must buy at least %1 of these per purchase.","Anda harus membeli setidaknya% 1 ini per pembelian."
"Specify the product's options.","Tentukan pilihan produk."
"Alert me when this item is available.","Peringatkan saya jika item ini tersedia."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","Pengelolaan daftar belanja dinonaktifkan untuk pelanggan ini."
"We can't find this store.","We can't find this store."
"Customers","Pelanggan"
"Shopping Cart","Keranjang Belanja"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","Anda tidak memiliki akses ke ini."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","Sebuah kesalahan telah terjadi. Lihat log kesalahan untuk rincian."
"You cannot configure a product.","Anda tidak dapat mengkonfigurasi produk."
"You removed the items.","Anda telah menghapus item."
"You removed the item.","Anda telah menghapus item."
"You added %1 to your shopping cart.","Anda menambahkan %1 ke keranjang belanja anda."
"You cannot add a product.","Anda tidak dapat menambahkan produk."
"Order by SKU","Pesan dengan SKU"
"The SKU was not found in the catalog.","SKU tidak ditemukan di katalog."
"Availability: Out of stock.","Ketersediaan: Habis."
"We don't have as many of these as you want.","Kami tidak memiliki produk sebanyak yang anda inginkan."
"You can't add this many to your cart.","You can't add this many to your cart."
"You need to choose options for your item.","Anda harus memilih opsi untuk barang Anda."
"We can't add the item to your cart.","We can't add the item to your cart."
"Please enter an actual number in the ""Qty"" field.","Silakan masukkan jumlah aktual dalam field ""Qty""."
"This product is assigned to another website.","Produk ini ditugaskan ke website lain."
"You can add only enabled products.","Anda hanya dapat menambahkan produk saat diaktifkan."
"You cannot upload this file.","Anda tidak dapat mengunggah berkas ini."
"The file is empty.","Berkas kosong."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Anda belum memasukkan produk SKU. <a Href=""%1""> klik di sini </a> untuk menambahkan produk dengan SKU."
"You have not entered a product SKU.","Anda belum memasukkan produk SKU."
"We can't add a product to cart by id ""%1"".","Kami tidak dapat menambahkan produk ke troli dengan id ""% 1""."
"Something went wrong while reordering this product.","Terjadi kesalahan saat pemesanan ulang produk ini."
"We can't find this wish list.","Kami tidak bisa menemukan daftar keinginan ini."
"You added %1 product to your shopping cart.","Anda menambahkan produk% 1 ke keranjang belanja Anda."
"You added %1 products to your shopping cart.","Anda menambahkan produk% 1 ke keranjang belanja Anda."
"%1 product requires your attention.","produk% 1 membutuhkan perhatian Anda."
"%1 products require your attention.","produk% 1 membutuhkan perhatian Anda."
"Yes, for Specified Customer Groups","Ya, untuk Grup Pelanggan Tertentu"
"Yes, for Everyone","Ya, untuk Semua orang"
"No","Tidak"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Silakan upload file dalam format .csv."
"%1 item(s) need your attention.","% 1 item membutuhkan perhatian Anda."
"Apply Coupon Code","Terapkan Kode Kupon"
"Remove Coupon Code","Hapus Kode Kupon"
"Remove","Menghapus"
"The coupon code ""%1"" is not valid.","Kode Kupon ""% 1"" tidak valid."
"Shopping Cart Items","Produk Daftar Belanja"
"Qty","Jumlah"
"Subtotal","Total bagian"
"Discount","Diskon"
"Row Subtotal","Baris Subtotal"
"Action","Tindakan"
"No ordered items","Tidak ada item pesanan"
"Total %1 product(s)","Total %1 produk"
"Subtotal:","Total bagian:"
"Please select","Silahkan pilih"
"Move to Wish List","Pindah ke Daftar Keinginan"
"No item specified.","Tidak ada item yang ditentukan."
"Are you sure you want to remove this item?","Apakah anda yakin ingin menghapus barang ini?"
"SKU number","Nomor SKU"
"Upload File","Unggah berkas"
"Your csv file must include ""sku"" and ""qty"" columns.","File csv Anda harus menyertakan kolom ""sku"" dan ""qty""."
"Reset","Atur ulang"
"SKU: ","SKU: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Hanya <span id=""%1_max_allowed"">%2</span> persediaan"
"Item","Barang"
"See price before order confirmation.","Lihat harga sebelum konfirmasi pesanan."
"What's this?","Apakah ini?"
"Incl. Tax","Termasuk Pajak"
"Excl. Tax","Tidak Termasuk Pajak"
"Edit item parameters","Edit parameter item"
"Edit","Ubah"
"Remove item","Hapus barang"
"Products Requiring Attention","Produk Membutuhkan Perhatian"
"Add to Cart","Tambahkan ke Keranjang"
"Sku","Sku"
"File","Berkas"
"File extensions allowed: .csv","Ekstensi file yang diizinkan: .csv"
"Add Row","Tambahkan Baris"
"Remove Row","Hapus Baris"
"Add Products By SKU","Tambahkan Produk dengan SKU"
"Shopping Cart Management","Pengelolaan Daftar Belanja"
"View Shopping Cart","Lihat Daftar Belanja"
"View and modify Shopping Cart","Lihat danubah Daftar Belanja"
"Order by SKU Settings","Pesan dengan Pengaturan SKU"
"Enable Order by SKU on My Account in Storefront","Aktifkan Pesanan dengan SKU di etalase Akun saya"
"Customer Groups","Grup pelanggan"
"Apply Coupon","Terapkan Kupon"
"Order by SKU Description","Pesan dengan Deskripsi SKU"
"Display a Link to Loading a Spreadsheet","Tampilkan Link untuk memuat Lembar Kerja"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Mendefinisikan apakah link ke Akun Saya & gt; Halaman pesanan dengan SKU akan ditampilkan pada widget"
"Link Text","Teks Link"
"The text of the link to the My Account &gt; Order by SKU page","Teks link ke Akun Saya & gt; Pesanan dengan halaman SKU"
"Load a list of SKUs","Memuat daftar SKU"
"Order by SKU Template","Pesan dengan SKU Template"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again."
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again."
