"Manage Shopping Cart","Gestionar la cistella"
"Create Order","Crear comanda"
"Back","Torna"
"Add Products","Afegir productes"
"Update Items and Quantities","Actualitzar articles i quantitats"
"Are you sure you want to clear your cart?","Segur que voleu buidar la cistella?"
"Clear my shopping cart","Buida la cistella"
"Add selections to my cart","Afegir selecció a la cistella"
"Cancel","Cancel·la"
"Shopping Cart for %1 in %2","Cistella per %1 a %2"
"Select products you want to buy","Seleccionar els productes que voleu comprar"
"Product","Producte"
"Price","Preu"
"Quantity","Quantitat"
"Products in the Comparison List (%1)","Productes a la llista de comparació (%1)"
"Last ordered items (%1)","Últims articles demanats (%1)"
"Products","Productes"
"ID","ID"
"SKU","SKU"
"Recently Compared Products (%1)","Productes comparats recentment (%1)"
"Recently Viewed Products (%1)","Productes vistos recentment (%1)"
"Add to Shopping Cart by SKU","Afegir a la cistella per SKU"
"Add to Shopping Cart","Afegir a la cistella"
"Wish List (%1)","Llista de desitjos (%1)"
"Apply","Aplica"
"Configure","Configura"
"Add to Order by SKU","Afegir a la comanda per SKU"
"Add to Order","Afegir a la comanda"
"Add Products to Order","Afegir productes a la comanda"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> Aquest(s) producte(s) necessita(en) atenció.</span>"
"Remove All","Elimina tot"
"Only %1%2%3 left in stock","Només %1%2%3 disponible(s) en estoc"
"You can buy up to %1 of these per purchase.","Màxim %1 per compra."
"You must buy at least %1 of these per purchase.","Mínim %1 per compra."
"Specify the product's options.","Especifiqueu les opcions del producte."
"Alert me when this item is available.","Avisa'm quan l'article estigui disponible."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","Gestió de la cistella no disponible per a aquest client."
"We can't find this store.","We can't find this store."
"Customers","Clients"
"Shopping Cart","Cistella"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","Accés no permès."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","S'ha produït un error. Mireu el registre per veure'n els detalls."
"You cannot configure a product.","No es pot configrar el producte."
"You removed the items.","Articles eliminats."
"You removed the item.","Article eliminat."
"You added %1 to your shopping cart.","Afegit %1 a la cistella."
"You cannot add a product.","No es pot afegir el producte."
"Order by SKU","Demanar per SKU"
"The SKU was not found in the catalog.","No s'ha trobat l'SKU al catàleg."
"Availability: Out of stock.","Disponibilitat: sense estoc."
"We don't have as many of these as you want.","No disposem de tants com vostè sol·licita."
"You can't add this many to your cart.","No pot afegir tants a la seva cistella."
"You need to choose options for your item.","Cal escollir les opcions de l'article."
"We can't add the item to your cart.","No podem afegir l'article a la seva cistella."
"Please enter an actual number in the ""Qty"" field.","Indiqueu un nombre real al camp ""Quantitat""."
"This product is assigned to another website.","Aquest producte està assignat a un altre lloc web."
"You can add only enabled products.","Només es poden afegir productes activats."
"You cannot upload this file.","No es pot pujar aquest arxiu."
"The file is empty.","L'arxiu està buit."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","No s'ha introduït l'SKU del producte. Si us plau <a href=""%1"">cliqueu aquí</a> per afegir producte(s) per SKU."
"You have not entered a product SKU.","No s'ha introduït l'SKU del producte."
"We can't add a product to cart by id ""%1"".","No es pot afegir el producte amb id ""%1"" a la cistella."
"Something went wrong while reordering this product.","Alguna cosa ha anat malament tornant a demanar el producte."
"We can't find this wish list.","No podem trobar aquesta llista de desitjos."
"You added %1 product to your shopping cart.","Afegit %1 producte a la cistella."
"You added %1 products to your shopping cart.","Afegits %1 productes a la cistella."
"%1 product requires your attention.","%1 producte necessita atenció."
"%1 products require your attention.","%1 productes necessiten atenció."
"Yes, for Specified Customer Groups","Si, per a grups de clients especificats"
"Yes, for Everyone","Si, per a tothom"
"No","No"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Si us plau, carregeu l'arxiu en format .csv."
"%1 item(s) need your attention.","%1 article(s) necessita(en) atenció."
"Apply Coupon Code","Aplica cupó"
"Remove Coupon Code","Elimina cupó"
"Remove","Elimina"
"The coupon code ""%1"" is not valid.","El codi de cupó ""%1"" no és vàlid."
"Shopping Cart Items","Articles de la cistella"
"Qty","Quantitat"
"Subtotal","Subtotal"
"Discount","Descompte"
"Row Subtotal","Subtotal de fila"
"Action","Acció"
"No ordered items","Articles no demanats"
"Total %1 product(s)","Total %1 producte(s)"
"Subtotal:","Subtotal:"
"Please select","Seleccioni"
"Move to Wish List","Moure a la llista de desitjos"
"No item specified.","Article no especificat."
"Are you sure you want to remove this item?","Segur que voleu eliminar aquest article?"
"SKU number","número d'SKU"
"Upload File","Pujar arxiu"
"Your csv file must include ""sku"" and ""qty"" columns.","L'arxiu csv ha d'incloure les columnes ""sku"" i ""qty""."
"Reset","Restablir"
"SKU: ","SKU: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Només <span id=""%1_max_allowed"">%2</span> en estoc"
"Item","Article"
"See price before order confirmation.","Consulteu el preu abans de la confirmació de comanda."
"What's this?","Què és això?"
"Incl. Tax","Impostos inclosos"
"Excl. Tax","Impostos exclosos"
"Edit item parameters","Edita el paràmetres de l'article"
"Edit","Edita"
"Remove item","Elimina l'article"
"Products Requiring Attention","Productes que necessiten atenció"
"Add to Cart","Afegir a la cistella"
"Sku","Sku"
"File","Arxiu"
"File extensions allowed: .csv","Extensions d'arxiu permeses: .csv"
"Add Row","Afegir fila"
"Remove Row","Eliminar fila"
"Add Products By SKU","Afegir productes per SKU"
"Shopping Cart Management","Gestió de la cistella"
"View Shopping Cart","Veure la cistella"
"View and modify Shopping Cart","Veure i modificar la cistella"
"Order by SKU Settings","Demanar per paràmetres d'SKU"
"Enable Order by SKU on My Account in Storefront","Permetre demanar per SKU al meu compte a la botiga"
"Customer Groups","Grups de clients"
"Apply Coupon","Aplica cupó"
"Order by SKU Description","Demanar per descripció SKU"
"Display a Link to Loading a Spreadsheet","Mostrar enllaç per carregar full de càlcul"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Defineix si es mostrarà un enllaç al meu compte &gt; Demanar per pàgina SKU al widget"
"Link Text","Text de l'enllaç"
"The text of the link to the My Account &gt; Order by SKU page","Text de l'enllaç al meu compte &gt; Demanar per pàgina SKU"
"Load a list of SKUs","Carrega llista d'SKUs"
"Order by SKU Template","Demanar per plantilla SKU"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again."
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again."
