"Manage Shopping Cart","Spravovať nákupný košík"
"Create Order","Vytvoriť objednávku"
"Back","Späť"
"Add Products","Pridať produkty"
"Update Items and Quantities","Aktualizovať položky a množstvo"
"Are you sure you want to clear your cart?","Naozaj chcete vyprázdniť košík?"
"Clear my shopping cart","Vyprázdniť nákupný košík"
"Add selections to my cart","Pridať výber do košíku"
"Cancel","Zrušiť"
"Shopping Cart for %1 in %2","Nákupný košík pre %1 v %2"
"Select products you want to buy","Vyberte produkty, ktoré si chcete kúpiť"
"Product","Produkt"
"Price","Cena"
"Quantity","Množstvo"
"Products in the Comparison List (%1)","Produkty v porovnaní (%1)"
"Last ordered items (%1)","Posledné objednané položky (%1)"
"Products","Produkty"
"ID","ID"
"SKU","Katalógové číslo"
"Recently Compared Products (%1)","Nedávno v porovnané produkty (%1)"
"Recently Viewed Products (%1)","Nedávno prezerané produkty (%1)"
"Add to Shopping Cart by SKU","Pridať do nákupného košíka podľa katalógového čísla"
"Add to Shopping Cart","Pridať do nákupného košíka"
"Wish List (%1)","Zoznam prianí (%1)"
"Apply","Použiť"
"Configure","Nastaviť"
"Add to Order by SKU","Pridať do objednávky podľa katalógového čísla"
"Add to Order","Pridať do objednávky"
"Add Products to Order","Pridať produkty k objednávke"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> výrobky vyžadujú pozornosť.</span>"
"Remove All","Odstrániť všetky"
"Only %1%2%3 left in stock","Len %1%2%3 ostáva na sklade"
"You can buy up to %1 of these per purchase.","Môžete si kúpiť maximálne %1 z nich v jednom nákupe."
"You must buy at least %1 of these per purchase.","Musíte si kúpiť aspoň %1 z nich v jednom nákupe."
"Specify the product's options.","Vyberte možnosti produktu."
"Alert me when this item is available.","Upozorniťe ma, keď bude táto položka k dispozícii."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","Pre tohoto zákazníka nieje možné spravovať nákupný košík."
"We can't find this store.","We can't find this store."
"Customers","Zákazníci"
"Shopping Cart","Nákupný košík"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","K tomuto nemáte prístup."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","Vyskytla sa chyba. Pre viac informácií si, prosím, prezrite záznamu konzoly."
"You cannot configure a product.","Nemožete nakonfigurovať produkt."
"You removed the items.","Odstránili ste položky."
"You removed the item.","Odstránili ste položku."
"You added %1 to your shopping cart.","Pridali ste %1 do Vašeho nákupního košíku."
"You cannot add a product.","Nemôžete pridať produkt."
"Order by SKU","Zoradiť podľa katalógového čísla"
"The SKU was not found in the catalog.","SKU sa v katalógu nenašlo."
"Availability: Out of stock.","Dostupnosť: vypredané."
"We don't have as many of these as you want.","Požadované množstvo nieje dostupné."
"You can't add this many to your cart.","Nemôžete pridať toľko položiek do košíka."
"You need to choose options for your item.","Musíte vybrať možnosti pre položku."
"We can't add the item to your cart.","Nieje možné pridať položku do košíka."
"Please enter an actual number in the ""Qty"" field.","V poli ""Množstvo"" zadajte skutočný počet."
"This product is assigned to another website.","Tento produkt je priradený k inej webovej stránke."
"You can add only enabled products.","Môžete pridať iba povolené produkty."
"You cannot upload this file.","Nieje možné nahrať zvolený súbor."
"The file is empty.","Súbor je prázdny."
