"Manage Shopping Cart","Halda ostukorvi"
"Create Order","Uus tellimus"
"Back","Tagasi"
"Add Products","Lisa toode"
"Update Items and Quantities","Värskenda artikleid ja koguseid"
"Are you sure you want to clear your cart?","Kas soovite tühjendada oma ostukorvi?"
"Clear my shopping cart","Tühjenda ostukorv"
"Add selections to my cart","Lisa valik minu ostukorvi"
"Cancel","Tühista"
"Shopping Cart for %1 in %2","%1 ostukorv %2 poes."
"Select products you want to buy","Valige tooted mida soovite osta"
"Product","Toode"
"Price","Hind"
"Quantity","Kogus"
"Products in the Comparison List (%1)","Tooted võrdluslistis (%1)"
"Last ordered items (%1)","Viimati tellitud kaubad (%1)"
"Products","Tooted"
"ID","ID"
"SKU","Laokood"
"Recently Compared Products (%1)","Viimati võrreldud tooted (%1)"
"Recently Viewed Products (%1)","Viimati vaadatud tooted (%1)"
"Add to Shopping Cart by SKU","Lisa ostukorvi SKU alusel"
"Add to Shopping Cart","Lisa ostukorvi"
"Wish List (%1)","Soovinimekiri (%1)"
"Apply","Rakenda"
"Configure","Seadista"
"Add to Order by SKU","Lisa tellimusse SKU alusel"
"Add to Order","Lisa tellimusele"
"Add Products to Order","Lisa tooteid tellimusse"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> toote(d) vajavad tähelepanu.</span>"
"Remove All","Eemalda kõik"
"Only %1%2%3 left in stock","Lattu jäänud vaid %1%2%3"
"You can buy up to %1 of these per purchase.","Iga ostu kohta saate neid osta %1."
"You must buy at least %1 of these per purchase.","Ostu miinimumkogus nende puhul on %1."
"Specify the product's options.","Määrata toote Valikud."
"Alert me when this item is available.","Teavita mind, kui see kaup on saadaval."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","Ostukorvi haldus on selle kliendi jaoks välja lülitatud."
"We can't find this store.","We can't find this store."
"Customers","Kliendid"
"Shopping Cart","Ostukorv"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","Teil pole piisavalt õiguseid."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","Ilmnes tõrge. Vaata üksikasju vea-logist."
"You cannot configure a product.","Toodet ei saa konfigureerida."
"You removed the items.","Eemaldasite artiklid/tooted."
"You removed the item.","Eemaldasite artikli/toote."
"You added %1 to your shopping cart.","Te lisasite %1 toote oma ostukorvi."
"You cannot add a product.","Te ei saa toodet lisada."
"Order by SKU","Järjesta SKU järgi"
"The SKU was not found in the catalog.","Tootekoodi ei leitud kataloogist."
"Availability: Out of stock.","Saadavus: Laost otsas."
"We don't have as many of these as you want.","Meil ei ole neid nii palju kui soovite."
"You can't add this many to your cart.","Nii suurt kogust ei saa ostukorvi lisada."
"You need to choose options for your item.","Peate tegema toote juures valikud."
"We can't add the item to your cart.","Ei saa toodet ostukorvi lisada."
"Please enter an actual number in the ""Qty"" field.","Palun sisestage koguseks numbriline väärtus."
"This product is assigned to another website.","See toode on seotud teise veebilehega."
"You can add only enabled products.","Saate lisada vaid saadaval olevaid tooteid."
"You cannot upload this file.","Seda faili ei saa üles laadida."
"The file is empty.","Fail on tühi."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Te ei ole sisestanud toote SKU'd. Palun <a href=""%1""> klõpsake siin</a>, et lisada toote(te) SKU'd."
"You have not entered a product SKU.","Te ei ole sisestanud toote SKU'd."
"We can't add a product to cart by id ""%1"".","Ei saa toodet ""%1"" ostukorvi lisada."
"Something went wrong while reordering this product.","Proovisime toodet uuesti tellida. Midagi läks valesti."
"We can't find this wish list.","Kahjuks me ei suutnud leida soovide nimekirja."
"You added %1 product to your shopping cart.","Te lisasite %1 toote oma ostukorvi."
"You added %1 products to your shopping cart.","Te lisasite %1 toodet oma ostukorvi."
