"Manage Shopping Cart","Gestionează coşul de cumpărături"
"Create Order","Creare comandă"
"Back","Inapoi"
"Add Products","Adauga Produse"
"Update Items and Quantities","Actualizeaza produsele si cantitatea"
"Are you sure you want to clear your cart?","Esti sigur ca doresti sa golesti cosul?"
"Clear my shopping cart","Golește coșul meu de cumpărături"
"Add selections to my cart","Adauga produsele selectate in cos"
"Cancel","Anuleaza"
"Shopping Cart for %1 in %2","Coș de cumpărături pentru %1 în %2"
"Select products you want to buy","Selectați produsele pe care doriți să le cumpărați"
"Product","Produs"
"Price","Preț"
"Quantity","Cantitate"
"Products in the Comparison List (%1)","Produse din lista de comparație (%1)"
"Last ordered items (%1)","Ultimele articole comandate (%1)"
"Products","Produse"
"ID","ID"
"SKU","Cod produs"
"Recently Compared Products (%1)","Produse recent comparate (%1)"
"Recently Viewed Products (%1)","Produse vizualizate recent (%1)"
"Add to Shopping Cart by SKU","Adauga la cosul de cumparaturi cu cod produs"
"Add to Shopping Cart","Adaugă în coș"
"Wish List (%1)","Listă de Dorințe (%1)"
"Apply","Aplică"
"Configure","Configurează"
"Add to Order by SKU","Adaugă la comandă prin cod produs"
"Add to Order","Adaugă la comandă"
"Add Products to Order","Adaugă produse la comandă"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produs(e) necesită atenție</span>"
"Remove All","Elimină tot"
"Only %1%2%3 left in stock","Doar %1%2%3 rămas în stoc"
"You can buy up to %1 of these per purchase.","Poți cumpăra până la %1 din acestea per achiziție."
"You must buy at least %1 of these per purchase.","Trebuie să cumperi cel puțin %1 din acestea per achiziție."
"Specify the product's options.","Specificați opțiunile produsului."
"Alert me when this item is available.","Avertizează-mă când acest articol este disponibil."
"We can't find this customer.","Nu putem găsi acest client."
"Shopping cart management is disabled for this customer.","Administrarea cosului este dezactivata pentru acest client."
"We can't find this store.","Nu putem găsi magazinul acesta."
"Customers","Clienți"
"Shopping Cart","Coș de cumpărături"
