"Manage Shopping Cart","Менаџирај кошничка"
"Create Order","Креирај нарачка"
"Back","Назад"
"Add Products","Додади продукти"
"Update Items and Quantities","Ажурирај продукти и количини"
"Are you sure you want to clear your cart?","Дали сте сигурни дека сакате да ја исчистите вашата кошничка?"
"Clear my shopping cart","Исчисти ја мојата кошничка"
"Add selections to my cart","Додади ја селекцијата во мојата кошничка"
"Cancel","Откажи"
"Shopping Cart for %1 in %2","Кошничка за %1 во %2"
"Select products you want to buy","Изберете ги продуктите што сакате да ги купите"
"Product","Продукт"
"Price","Цена"
"Quantity","Количина"
"Products in the Comparison List (%1)","Продукти во листата за споредба (%1)"
"Last ordered items (%1)","Последно порачани продукти (%1)"
"Products","Продукти"
"ID","ID"
"SKU","SKU"
"Recently Compared Products (%1)","Recently Compared Products (%1)"
"Recently Viewed Products (%1)","Последно видени продукти (%1)"
"Add to Shopping Cart by SKU","Додади во кошничка според SKU"
"Add to Shopping Cart","Додади во кошничка"
"Wish List (%1)","Листа со желби (%1)"
"Apply","Примени"
"Configure","Конфигурирај"
"Add to Order by SKU","Додади во нарачка според SKU"
"Add to Order","Додади во нарачка"
"Add Products to Order","Додади продукти во нарачка"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>"
"Remove All","Избриши ги сите"
"Only %1%2%3 left in stock","Само %1%2%3 се останати на залиха"
"You can buy up to %1 of these per purchase.","Можете да купите %1 продукт/и по нарачка."
"You must buy at least %1 of these per purchase.","Морате да купите %1 продукт/и по нарачка."
"Specify the product's options.","Дефинирај ги опциите на продуктот."
"Alert me when this item is available.","Извести ме кога овој продукт ќе биде на залиха."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","Менаџментот на кошничката е онемовозможен за овој купувач."
"We can't find this store.","We can't find this store."
"Customers","Купувачи"
"Shopping Cart","Кошничка"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","Немате пристап до ова."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","An error has occurred. See error log for details."
"You cannot configure a product.","Неможете да конфигурирате продукт."
