"Manage Shopping Cart","נהל את עגלת הקניות"
"Create Order","צור הזמנה"
"Back","חזור"
"Add Products","הוסף מוצרים"
"Update Items and Quantities","עדכון פריטים ומלאים"
"Are you sure you want to clear your cart?","האם ברצונך לרוקן את העגלה שלך?"
"Clear my shopping cart","רוקן את עגלת הקניות שלי"
"Add selections to my cart","הוסף מוצרים שנבחרו לעגלה שלי"
"Cancel","ביטול"
"Shopping Cart for %1 in %2","עגלת קניות עבור %1 ב %2"
"Select products you want to buy","בחר מוצרים שאתה רוצה לקנות"
"Product","מוצר"
"Price","מחיר"
"Quantity","כמות"
"Products in the Comparison List (%1)","מוצרים ברשימת השוואה (%1)"
"Last ordered items (%1)","פריטים אחרון שהוזמן (%1)"
"Products","מוצרים"
"ID","מזהה"
"SKU","מק''ט"
"Recently Compared Products (%1)","השוואת מוצרים לאחרונה (%1)"
"Recently Viewed Products (%1)","מוצרים שנצפו לאחרונה (%1)"
"Add to Shopping Cart by SKU","להוסיף לסל באמצעות ברקוד"
"Add to Shopping Cart","הוסף לעגלת הקניות"
"Wish List (%1)","מועדפים (%1)"
"Apply","החל"
"Configure","הגדר"
"Add to Order by SKU","להוסיף לצוות, לפי ברקוד"
"Add to Order","הוסף להזמנה"
"Add Products to Order","להוסיף מוצרים להזמנה"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span>מוצרים <span id=""sku-attention-num"">%1</span> דורשים תשומת לב.</span>"
"Remove All","הסר הכל"
"Only %1%2%3 left in stock","רק %1%2%3 נשאר במלאי"
"You can buy up to %1 of these per purchase.","יש באפשרותך לקנות לפחות %1 לרכישה הנוכחית."
"You must buy at least %1 of these per purchase.","אתה חייב לקנות לפחות %1 מזה ברכישה הנוכחית."
"Specify the product's options.","ציין את אפשרויות של המוצר."
"Alert me when this item is available.","שלח לי התראה כאשר פריט זה יהיה זמין."
"We can't find this customer.","We can't find this customer."
"Shopping cart management is disabled for this customer.","ניהול עגלת הקניות אינה זמינה עבור לקוח זה."
"We can't find this store.","We can't find this store."
"Customers","לקוחות"
"Shopping Cart","עגלת קניות"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","אין לך גישה."
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","אירעה שגיאה. ראה log שגיאות לפרטים."
"You cannot configure a product.","אתה לא יכול להגדיר את המוצר."
"You removed the items.","הסרת את הפריטים."
"You removed the item.","הסרת את הפריט."
"You added %1 to your shopping cart.","%1 נוסף לעגלת הקניות."
"You cannot add a product.","אינך יכול להוסיף מוצר."
"Order by SKU","הזמנה באמצעות ברקוד"
"The SKU was not found in the catalog.","המק""ט לא נמצא בקטלוג."
