"Manage Shopping Cart","Керувати кошиком покупок"
"Create Order","Створити Замовлення"
"Back","Назад"
"Add Products","Додати Продукти"
"Update Items and Quantities","Оновити товарні позиції та кількість"
"Are you sure you want to clear your cart?","Ви впевнені, що хочете очистити свій кошик?"
"Clear my shopping cart","Очистити мій кошик покупок"
"Add selections to my cart","Додати вибране до мого кошика"
"Cancel","Скасувати"
"Shopping Cart for %1 in %2","Кошик покупок для %1 у %2"
"Select products you want to buy","Виберіть товари, які Ви хочете придбати"
"Product","Продукт"
"Price","Ціна"
"Quantity","Кількість"
"Products in the Comparison List (%1)","Товарів у списку порівняння (%1)"
"Last ordered items (%1)","Останні замовлені позиції (%1)"
"Products","Товари"
"ID","Ідентифікатор"
"SKU","Артикул"
"Recently Compared Products (%1)","Нещодавно порівняні товари (%1)"
"Recently Viewed Products (%1)","Нещодавно переглянуті товари (%1)"
"Add to Shopping Cart by SKU","Додати до кошика покупок за артикулом"
"Add to Shopping Cart","Додати до кошика покупок"
"Wish List (%1)","Список бажань (%1)"
"Apply","Застосувати"
"Configure","Налаштувати"
"Add to Order by SKU","Додати до замовлення за артикулом"
"Add to Order","Додати до замовлення"
"Add Products to Order","Додати товари до замовлення"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> товар(и/ів) потребують уваги.</span>"
"Remove All","Видалити все"
"Only %1%2%3 left in stock","Тільки %1%2%3 залишилося на складі"
"You can buy up to %1 of these per purchase.","Ви можете придбати до %1 з них за покупку."
"You must buy at least %1 of these per purchase.","Ви повинні придбати принаймні %1 з них за покупку."
"Specify the product's options.","Вкажіть опції товару."
"Alert me when this item is available.","Сповістіть мене, коли ця позиція стане доступною."
"We can't find this customer.","Ми не можемо знайти цього покупця."
"Shopping cart management is disabled for this customer.","Керування кошиком покупок вимкнене для цього покупця."
"We can't find this store.","Ми не можемо знайти цей магазин."
"Customers","Покупці"
"Shopping Cart","Кошик"
"Sorry, something went wrong. You can find out more in the error log.","Вибачте, щось пішло не так. Ви можете дізнатися більше в журналі помилок."
"You do not have access to this.","Ви не маєте доступу до цього."
"Ordered item id is not received.","Ідентифікатор замовленої позиції не отримано."
"Ordered item is not loaded.","Замовлена позиція не завантажена."
"Quote item id is not received.","Ідентифікатор позиції котування не отриманий."
"Quote item is not loaded.","Позиція котування не завантажена."
"The wish list item id is not received.","Ідентифікатор позиції списку бажань не отриманий."
"The wish list item is not loaded.","Позиція списку бажань не завантажена."
"An error has occurred. See error log for details.","Сталася помилка. Перегляньте журнал помилок для подробиць."
"You cannot configure a product.","Ви не можете конфігурувати товар."
"You removed the items.","Ви видалили елементи."
"You removed the item.","Ви вилучили позицію."
"You added %1 to your shopping cart.","Ви додали %1 у Ваш кошик."
"You cannot add a product.","Ви не можете додати товар."
"Order by SKU","Замовити за артикулом"
"The SKU was not found in the catalog.","Артикул не знайдено в каталозі."
"Availability: Out of stock.","Наявність: немає на складі."
"We don't have as many of these as you want.","В нас немає потрібної вам кількості цього товару."
"You can't add this many to your cart.","Ви не можете додати таку кількість до кошику."
"You need to choose options for your item.","Вам потрібно вибрати опції для Вашої товарної позиції."
