"Manage Shopping Cart","Ажурирање корпе са артиклима"
"Create Order","Креирање наруџбине"
"Back","Назад"
"Add Products","Додај производе"
"Update Items and Quantities","Ажурирање ставки и количине"
"Are you sure you want to clear your cart?","Да ли сте сигурни да желите да испразните корпу?"
"Clear my shopping cart","Испразни корпу"
"Add selections to my cart","Додај изабрано у корпу"
"Cancel","Одустани"
"Shopping Cart for %1 in %2","Колица за куповину %1 у %2"
"Select products you want to buy","Изаберите производе које желите купити"
"Product","Производ"
"Price","Цена"
"Quantity","Количина"
"Products in the Comparison List (%1)","Производи на листи за поређење (%1)"
"Last ordered items (%1)","Последњи поручени артикли (%1)"
"Products","Производи"
"ID","ИД"
"SKU","Шифра"
"Recently Compared Products (%1)","Недавно упоређени производи (%1)"
"Recently Viewed Products (%1)","Недавно прегледани производи (%1)"
"Add to Shopping Cart by SKU","Додај у корпу за куповину према шифри"
"Add to Shopping Cart","Додај у корпу"
"Wish List (%1)","Листа жеља (%1)"
"Apply","Примени"
"Configure","Подеси"
"Add to Order by SKU","Додај у наруџбу по шифри"
"Add to Order","Додај у наруџбу"
"Add Products to Order","Додавање производа у наруџбу"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<спан><спан ид=""ску-аттентион-нум"">%1</спан> производ(и) захтевају вашу пазњу.</спан>"
"Remove All","Уклони све"
"Only %1%2%3 left in stock","Само %1%2%3 је остало на лагеру"
"You can buy up to %1 of these per purchase.","Можете купити до %1 од ових по наруџби."
"You must buy at least %1 of these per purchase.","Можете купити најмање %1 од ових по наруџби."
"Specify the product's options.","Наведите опције производа."
"Alert me when this item is available.","Упозори ме када ова ставка постане доступна."
"We can't find this customer.","Не можемо пронаћи овог корисника."
"Shopping cart management is disabled for this customer.","Управљање колицима за куповину је онемогућена за овог купца."
"We can't find this store.","Не можемо пронаћи ову продавницу."
"Customers","Купци"
"Shopping Cart","Корпа"
"Sorry, something went wrong. You can find out more in the error log.","Извини, нешто кренуло наопако. Више о грешци можете пронаћи у евиденцији грешака."
"You do not have access to this.","Немате приступ."
"Ordered item id is not received.","Ид порученог артикла није примљен."
"Ordered item is not loaded.","Ид порученог артикла није учитан."
"Quote item id is not received.","Количина за Ид артикла није примљена."
"Quote item is not loaded.","Количина за Ид артикла није учитана."
"The wish list item id is not received.","Ид артикла из листе жеља није примљен."
"The wish list item is not loaded.","Ид артикла из листе жеља није учитан."
"An error has occurred. See error log for details.","Дошло је до грешке. Погледајте евиденцију грешака за више детаља."
"You cannot configure a product.","Није могуће конфигурисати производ."
"You removed the items.","Ви сте уклонили ставке."
"You removed the item.","Ви сте уклонили ставку."
"You added %1 to your shopping cart.","Успешно сте додали %1 у вашу корпу."
"You cannot add a product.","Није могуће додати производ."
"Order by SKU","Наруџба по шифри"
"The SKU was not found in the catalog.","Шифра није пронађена у каталогу."
"Availability: Out of stock.","Доступност: тренутно нема на стању."
"We don't have as many of these as you want.","Немамо толико овога колико захтевате."
"You can't add this many to your cart.","Не можете додати оволико пуно у вашу корпу."
"You need to choose options for your item.","Потребно је да одаберете опције за ваш ставку."
"We can't add the item to your cart.","Не можемо додати артикал у корпу."
"Please enter an actual number in the ""Qty"" field.","Унесите један број у пољу „Кол”."
"This product is assigned to another website.","Овај производ је додељен другој Wеб локацији."
"You can add only enabled products.","Можете додати само расположиве производе."
