"Manage Shopping Cart","จัดการตะกร้าสินค้า"
"Create Order","สร้างคำสั่งซื้อ"
"Back","ย้อนกลับ"
"Add Products","เพิ่มสินค้า"
"Update Items and Quantities","อัพเดทสินค้าและจำนวน"
"Are you sure you want to clear your cart?","คุณแน่ใจหรือไม่ว่าคุณต้องการลบสินค้าจากตะกร้า?"
"Clear my shopping cart","ล้างตะกร้า"
"Add selections to my cart","ใส่สินค้าที่เลือกในตะกร้าของฉัน"
"Cancel","ยกเลิก"
"Shopping Cart for %1 in %2","รถเข็นสำหรับ %1 ใน %2"
"Select products you want to buy","เลือกสินค้าที่คุณต้องการซื้อ"
"Product","สินค้า"
"Price","ราคา"
"Quantity","จำนวน"
"Products in the Comparison List (%1)","สินค้าในรายการเปรียบเทียบ (%1)"
"Last ordered items (%1)","สินค้าที่สั่งล่าสุด (%1)"
"Products","สินค้า"
"ID","ไอดี"
"SKU","รหัสสินค้า"
"Recently Compared Products (%1)","สินค้าที่เปรียบเทียบเมื่อเร็ว ๆ นี้ (%1)"
"Recently Viewed Products (%1)","สินค้าที่ดูเมื่อเร็ว ๆ นี้ (%1)"
"Add to Shopping Cart by SKU","เพิ่มลงตะกร้า โดย รหัสสินค้า"
"Add to Shopping Cart","เพิ่มลงตะกร้าสินค้า"
"Wish List (%1)","รายการที่ชอบ (%1)"
"Apply","นำไปใช้"
"Configure","ตั้งค่า"
"Add to Order by SKU","เพิ่มคำสั่งซื้อโดย รหัสสินค้า"
"Add to Order","เพิ่มคำสั่งซื้อ"
"Add Products to Order","เพิ่มสินค้าไปยังคำสั่งซื้อ"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> ผลิตภัณฑ์ต้องการการดูแล</span>"
"Remove All","เอาออกทั้งหมด"
"Only %1%2%3 left in stock","เหลือเพียง %1%2%3 ในคลังสินค้า"
"You can buy up to %1 of these per purchase.","คุณสามารถซื้อได้มากกว่า %1ชิ้น"
"You must buy at least %1 of these per purchase.","คุณต้องซื้ออย่างน้อย %1 รายการต่อการซื้อหนึ่งครั้ง"
"Specify the product's options.","ระบุตัวเลือกของผลิตภัณฑ์"
"Alert me when this item is available.","แจ้งเตือนเมื่อมีสินค้านี้"
"We can't find this customer.","ไม่พบลูกค้าที่ตามที่ระบุ"
"Shopping cart management is disabled for this customer.","การจัดการรถเข็นช็อปปิ้งถูกปิดใช้งานสำหรับลูกค้ารายนี้"
"We can't find this store.","ไม่พบลูกค้าที่ตามที่ระบุ"
"Customers","ลูกค้า"
"Shopping Cart","ตะกร้าสินค้า"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"You do not have access to this.","คุณไม่สามารถเข้าถึงบริการนี้"
"Ordered item id is not received.","Ordered item id is not received."
"Ordered item is not loaded.","Ordered item is not loaded."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"An error has occurred. See error log for details.","เกิดข้อผิดพลาด. ดูบันทึกข้อผิดพลาดสำหรับรายละเอียด"
"You cannot configure a product.","ไม่สามารถปรับแต่งสินค้าได้"
"You removed the items.","คุณลบสินค้านี้แล้ว"
"You removed the item.","คุณลบสินค้านี้แล้ว"
"You added %1 to your shopping cart.","คุณเพิ่มสินค้า %1 ชิ้น ลงในตะกร้า"
"You cannot add a product.","คุณไม่สามารถ เพิ่มสินค้าได้"
"Order by SKU","เรียงตาม รหัสสินค้า"
"The SKU was not found in the catalog.","ไม่พบรหัสสินค้านี้ ในแค็ตตาล็อก"
"Availability: Out of stock.","สถานะ: สินค้าหมด"
"We don't have as many of these as you want.","เรามีสิ่งเหล่านี้ไม่มากเท่าที่คุณต้องการ"
"You can't add this many to your cart.","คุณไม่สามารถเพิ่มสินค้าจำนวนมากนี้ลงในรถเข็นของคุณได้"
"You need to choose options for your item.","คุณจำเป็นต้องเลือกตัวเลือก ของสินค้า"
"We can't add the item to your cart.","เราไม่สามารถเพิ่มสินค้าลงในรถเข็นของคุณได้"
"Please enter an actual number in the ""Qty"" field.","โปรดระบุตัวเลขในช่อง ""จำนวน"""
"This product is assigned to another website.","ผลิตภัณฑ์นี้ถูกกำหนดให้กับเว็บไซต์อื่น"
"You can add only enabled products.","คุณสามารถเพิ่มได้เฉพาะผลิตภัณฑ์ที่เปิดใช้งาน"
"You cannot upload this file.","คุณไม่สามารถ อัพโหลดไฟล์นี้ได้"
"The file is empty.","ไฟล์ว่างเปล่า"
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","คุณยังไม่ได้ป้อน SKU ของผลิตภัณฑ์ โปรด <a href=""%1"">คลิกที่นี่</a> เพื่อเพิ่มผลิตภัณฑ์ตาม SKU"
"You have not entered a product SKU.","คุณไม่ได้ระบุ รหัสสินค้า"
"We can't add a product to cart by id ""%1"".","เราไม่สามารถเพิ่มสินค้าลงตะกร้าด้วยรหัส ""%1"""
"Something went wrong while reordering this product.","เกิดข้อผิดพลาดขณะสั่งซื้อผลิตภัณฑ์นี้ใหม่"
"We can't find this wish list.","เราไม่พบรายการสินค้าที่ต้องการนี้"
"You added %1 product to your shopping cart.","คุณได้เพิ่มสินค้า %1 ลงในตะกร้าสินค้าของคุณ"
"You added %1 products to your shopping cart.","คุณได้เพิ่มสินค้า %1 ลงในตะกร้าสินค้าของคุณ"
"%1 product requires your attention.","%1 ผลิตภัณฑ์ต้องการความสนใจจากคุณ"
"%1 products require your attention.","%1 ผลิตภัณฑ์ต้องการการดูแลจากคุณ"
"Yes, for Specified Customer Groups","ใช่ สำหรับกลุ่มลูกค้าที่ระบุ"
"Yes, for Everyone","ใช่, สำหรับทุกคน"
"No","ไม่"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","โปรดอัพโหลดไฟล์นามสกุล .csv"
"%1 item(s) need your attention.","%1 รายการต้องการความสนใจจากคุณ"
"Apply Coupon Code","ใช้รหัสคูปอง"
"Remove Coupon Code","ลบรหัสคูปอง"
"Remove","ลบ"
"The coupon code ""%1"" is not valid.","รหัสคูปอง ""%1"" ไม่สามารถใช้ได้"
"Shopping Cart Items","รายการตะกร้าสินค้า"
"Qty","จำนวน"
"Subtotal","ผลรวมย่อย"
"Discount","ส่วนลด"
"Row Subtotal","ยอดรวมแถว"
"Action","ดำเนินการ"
"No ordered items","ไม่มีรายการสั่งซื้อ"
"Total %1 product(s)","สินค้าทั้งหมด %1 รายการ"
"Subtotal:","ยอดรวม:"
"Please select","กรุณาเลือก"
"Move to Wish List","ย้ายไปที่ รายการที่ชอบ"
"No item specified.","ไม่ได้ระบุรายการ"
"Are you sure you want to remove this item?","คุณแน่ใจหรือไม่ว่าต้องการลบรายการนี้"
"SKU number","หมายเลข SKU"
"Upload File","อัพโหลดไฟล์"
"Your csv file must include ""sku"" and ""qty"" columns.","ไฟล์ csv ของคุณต้องมีคอลัมน์ ""sku"" และ ""qty"""
"Reset","รีเซ็ต"
"SKU: ","รหัสสินค้า: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","มีเพียง <span id=""%1_max_allowed"">%2</span> ในสต็อก"
"Item","รายการ"
"See price before order confirmation.","โปรดตรวจสอบราคาก่อนยืนยันการสั่งซื้อ"
"What's this?","นี่คืออะไร?"
"Incl. Tax","รวมภาษี"
"Excl. Tax","ไม่รวมภาษี"
"Edit item parameters","แก้ไข item parameters"
"Edit","แก้ไข"
"Remove item","ลบสินค้า"
"Products Requiring Attention","สินค้าที่ต้องให้ความสนใจ"
